input_cif,action_prompt,output_cif
mp-1013842.cif,Move all surrounding atoms within 3.4699133816014474 of the center atom at index 71 by [-1.02647382 -1.04004211  2.35235442] in the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Move all surrounding atoms within 2.9583734598698808 of the center atom at index 3 by [ 0.11149514 -1.90816773  3.36142385] in the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Move all surrounding atoms within 3.3480566638544835 of the center atom at index 14 by [ 0.78311173 -0.03631505  1.14491119] in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Move all surrounding atoms within 2.650763522183625 of the center atom at index 11 by [-2.78864599 -0.848556    0.51575785] in the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Move all surrounding atoms within 3.840922725487545 of the center atom at index 36 by [-2.01708088 -3.3926902  -0.97137324] in the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Move all surrounding atoms within 2.619671547702382 of the center atom at index 36 by [ 1.16372    -2.82697339 -0.15713691] in the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Move all surrounding atoms within 3.0085461817780406 of the center atom at index 5 by [ 4.0290196   0.41756461 -0.7114904 ] in the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Move all surrounding atoms within 1.5404757493856067 of the center atom at index 10 by [ 2.0896111  -2.86939923 -1.94653468] in the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Move all surrounding atoms within 2.5787994216688617 of the center atom at index 6 by [ 0.0474285   0.44859729 -1.37591124] in the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Move all surrounding atoms within 1.741095555926317 of the center atom at index 7 by [-1.52956789  2.89532435 -0.60973893] in the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Move all surrounding atoms within 3.081083117592881 of the center atom at index 4 by [ 2.76484107  0.06483179 -1.31478585] in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Move all surrounding atoms within 2.0370215953746507 of the center atom at index 13 by [ 1.16113323 -0.55530458 -1.61433283] in the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Move all surrounding atoms within 3.637589599312526 of the center atom at index 7 by [ 3.0673049   0.3040135  -1.53004031] in the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Move all surrounding atoms within 1.55409240218218 of the center atom at index 12 by [ 0.568649    2.09742238 -0.45537576] in the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Move all surrounding atoms within 1.5093278818054963 of the center atom at index 8 by [-2.88244795  1.53055538 -0.76187258] in the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Move all surrounding atoms within 1.952704262360395 of the center atom at index 9 by [0.08220779 0.11921282 0.70814893] in the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Move all surrounding atoms within 2.2652755137337266 of the center atom at index 5 by [ 0.38522176 -1.41989333 -1.02478408] in the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Move all surrounding atoms within 2.1262410373191134 of the center atom at index 11 by [-1.54555299 -0.47948679  0.17579521] in the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Move all surrounding atoms within 3.154683659716275 of the center atom at index 3 by [0.78768657 3.54862014 4.04879775] in the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Move all surrounding atoms within 3.371464374290774 of the center atom at index 10 by [ 2.01352622  3.4115412  -2.15445793] in the cif file.,mp-1027965_processed.cif
mp-1027971.cif,Move all surrounding atoms within 2.728227677401642 of the center atom at index 4 by [-4.29366599  0.53865967  1.47098951] in the cif file.,mp-1027971_processed.cif
mp-1028124.cif,Move all surrounding atoms within 1.559072895985675 of the center atom at index 7 by [-1.77505921  3.12161288 -0.74380489] in the cif file.,mp-1028124_processed.cif
mp-1028136.cif,Move all surrounding atoms within 3.233304009606624 of the center atom at index 10 by [0.10747727 1.60143322 2.91545062] in the cif file.,mp-1028136_processed.cif
mp-1028229.cif,Move all surrounding atoms within 3.819514056568642 of the center atom at index 3 by [-0.75046812 -1.09258641 -2.64145538] in the cif file.,mp-1028229_processed.cif
mp-1028374.cif,Move all surrounding atoms within 2.6464647429141426 of the center atom at index 14 by [-0.98994026  1.60027954  0.66029676] in the cif file.,mp-1028374_processed.cif
