input_cif,action_prompt,output_cif
mp-1013842.cif,Move the atom at index 69 by [ 1.15526691 -1.06878244 -0.22478065] angstrom in the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Move the atom at index 3 by [-2.92752601  0.19792805  1.84359029] angstrom in the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Move the atom at index 8 by [ 3.58494282  2.83501341 -0.81078923] angstrom in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Move the atom at index 4 by [-2.30909108  3.2814238  -0.95230184] angstrom in the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Move the atom at index 34 by [-0.12781539  1.68151733  3.75678142] angstrom in the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Move the atom at index 10 by [ 0.76782019 -3.74918371  0.27922277] angstrom in the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Move the atom at index 13 by [-0.561458    2.79500873 -1.52079359] angstrom in the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Move the atom at index 5 by [ 1.94446227 -0.13466932  2.26083578] angstrom in the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Move the atom at index 6 by [-0.32638517 -0.34338302 -1.3309278 ] angstrom in the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Move the atom at index 6 by [-1.99663971  1.4441991   2.01040221] angstrom in the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Move the atom at index 13 by [ 2.27250436  2.31188179 -1.37854195] angstrom in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Move the atom at index 8 by [ 1.51411125 -1.45674694  3.8335694 ] angstrom in the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Move the atom at index 6 by [ 2.60774911 -1.54556844 -2.14029525] angstrom in the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Move the atom at index 14 by [-1.96674657  1.82308613 -3.98890641] angstrom in the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Move the atom at index 8 by [ 2.26964533  1.2988162  -1.83516031] angstrom in the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Move the atom at index 14 by [1.7567015  0.8150304  1.28282357] angstrom in the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Move the atom at index 6 by [-0.7727051   1.40964033  0.47163003] angstrom in the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Move the atom at index 9 by [-3.55030695  0.62194422  3.49202505] angstrom in the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Move the atom at index 7 by [ 0.21265781 -2.01025564 -3.6321625 ] angstrom in the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Move the atom at index 1 by [ 1.24742009  0.52265369 -0.63858219] angstrom in the cif file.,mp-1027965_processed.cif
mp-1027971.cif,Move the atom at index 0 by [0.25364879 2.7727434  0.66458952] angstrom in the cif file.,mp-1027971_processed.cif
mp-1028124.cif,Move the atom at index 7 by [ 3.97254611  0.37914766 -1.12047698] angstrom in the cif file.,mp-1028124_processed.cif
mp-1028136.cif,Move the atom at index 5 by [ 0.33346452 -1.07894013  1.65678173] angstrom in the cif file.,mp-1028136_processed.cif
mp-1028229.cif,Move the atom at index 13 by [-0.83165502 -2.55497386  0.25374704] angstrom in the cif file.,mp-1028229_processed.cif
mp-1028374.cif,Move the atom at index 13 by [ 5.1965316  -2.20286491 -2.06516945] angstrom in the cif file.,mp-1028374_processed.cif
mp-1028383.cif,Move the atom at index 3 by [ 0.85005411 -0.66452956 -2.84302161] angstrom in the cif file.,mp-1028383_processed.cif
mp-1028854.cif,Move the atom at index 4 by [-1.53402067 -4.13593602  0.08045379] angstrom in the cif file.,mp-1028854_processed.cif
mp-1029113.cif,Move the atom at index 10 by [-4.82403277 -1.66406167 -1.40570047] angstrom in the cif file.,mp-1029113_processed.cif
mp-1029368.cif,Move the atom at index 6 by [-5.27049738 -2.75327412  2.54548883] angstrom in the cif file.,mp-1029368_processed.cif
mp-1031131.cif,Move the atom at index 5 by [ 0.37441218 -1.80545579 -1.15387412] angstrom in the cif file.,mp-1031131_processed.cif
mp-1032360.cif,Move the atom at index 4 by [-2.30801434 -1.82164824  0.17926373] angstrom in the cif file.,mp-1032360_processed.cif
mp-1033383.cif,Move the atom at index 0 by [-1.1236478  -1.93080994  0.76876042] angstrom in the cif file.,mp-1033383_processed.cif
mp-1034355.cif,Move the atom at index 3 by [-0.5138915   2.16057052 -3.7275107 ] angstrom in the cif file.,mp-1034355_processed.cif
mp-1035597.cif,Move the atom at index 19 by [ 1.78561921 -1.58983441 -0.02050538] angstrom in the cif file.,mp-1035597_processed.cif
mp-1035800.cif,Move the atom at index 0 by [2.70241281 1.22245992 3.35097836] angstrom in the cif file.,mp-1035800_processed.cif
mp-1037450.cif,Move the atom at index 61 by [ 3.21362454 -3.13028681 -2.3411071 ] angstrom in the cif file.,mp-1037450_processed.cif
mp-1038247.cif,Move the atom at index 14 by [-0.89086627 -1.41423877 -1.93690432] angstrom in the cif file.,mp-1038247_processed.cif
mp-1038590.cif,Move the atom at index 53 by [ 4.23095377 -1.72702496  1.10233817] angstrom in the cif file.,mp-1038590_processed.cif
mp-1038638.cif,Move the atom at index 54 by [-1.57970491  1.47313541  0.78749955] angstrom in the cif file.,mp-1038638_processed.cif
mp-1039951.cif,Move the atom at index 50 by [ 4.87584346 -2.41315636 -0.53768695] angstrom in the cif file.,mp-1039951_processed.cif
mp-1040370.cif,Move the atom at index 25 by [ 2.84732404 -1.3059493  -0.83805429] angstrom in the cif file.,mp-1040370_processed.cif
mp-1041045.cif,Move the atom at index 31 by [ 4.68480645 -1.89767841 -0.88120039] angstrom in the cif file.,mp-1041045_processed.cif
mp-1041056.cif,Move the atom at index 29 by [-0.78202747 -3.36224188 -0.89449402] angstrom in the cif file.,mp-1041056_processed.cif
mp-1041213.cif,Move the atom at index 21 by [ 1.02395636 -0.64227831 -3.07410208] angstrom in the cif file.,mp-1041213_processed.cif
mp-1042028.cif,Move the atom at index 4 by [0.54604853 0.03955942 1.96311911] angstrom in the cif file.,mp-1042028_processed.cif
mp-1042158.cif,Move the atom at index 9 by [-1.46726299  4.39614415 -0.57719344] angstrom in the cif file.,mp-1042158_processed.cif
mp-1042205.cif,Move the atom at index 21 by [-2.12529796 -0.13204609 -0.6964917 ] angstrom in the cif file.,mp-1042205_processed.cif
mp-1042378.cif,Move the atom at index 36 by [ 1.02257335 -3.11721406  0.75480193] angstrom in the cif file.,mp-1042378_processed.cif
mp-1042415.cif,Move the atom at index 38 by [ 1.905594   -2.51540056 -0.67390228] angstrom in the cif file.,mp-1042415_processed.cif
mp-1042656.cif,Move the atom at index 6 by [-1.31275743 -0.87401594  3.11581492] angstrom in the cif file.,mp-1042656_processed.cif
mp-1042677.cif,Move the atom at index 28 by [ 2.23426697  1.65563988 -3.82650125] angstrom in the cif file.,mp-1042677_processed.cif
mp-1042685.cif,Move the atom at index 10 by [1.50061847 2.24032956 0.9551239 ] angstrom in the cif file.,mp-1042685_processed.cif
mp-1042896.cif,Move the atom at index 14 by [ 1.40590571 -0.84063225 -0.21733076] angstrom in the cif file.,mp-1042896_processed.cif
mp-1043828.cif,Move the atom at index 22 by [ 1.34908303 -1.3669577  -4.31872283] angstrom in the cif file.,mp-1043828_processed.cif
mp-1044049.cif,Move the atom at index 1 by [ 3.29285671 -1.33549143  0.6909506 ] angstrom in the cif file.,mp-1044049_processed.cif
mp-1044636.cif,Move the atom at index 28 by [-2.07457938 -0.23458234 -3.75397328] angstrom in the cif file.,mp-1044636_processed.cif
mp-1045786.cif,Move the atom at index 21 by [-0.19002735 -0.89348867  1.02315534] angstrom in the cif file.,mp-1045786_processed.cif
mp-1045992.cif,Move the atom at index 1 by [ 1.03063765  1.96433216 -1.47599266] angstrom in the cif file.,mp-1045992_processed.cif
mp-1046286.cif,Move the atom at index 7 by [ 2.22049815 -0.00791672 -1.92581084] angstrom in the cif file.,mp-1046286_processed.cif
mp-1047007.cif,Move the atom at index 11 by [0.40468981 2.85490328 3.88533553] angstrom in the cif file.,mp-1047007_processed.cif
mp-1047085.cif,Move the atom at index 23 by [ 2.96194432 -1.46041533  0.69336584] angstrom in the cif file.,mp-1047085_processed.cif
mp-1047504.cif,Move the atom at index 4 by [-0.8470947  -1.88383238  0.3321428 ] angstrom in the cif file.,mp-1047504_processed.cif
mp-1047641.cif,Move the atom at index 9 by [3.59560815 2.8599909  2.74218741] angstrom in the cif file.,mp-1047641_processed.cif
mp-1047798.cif,Move the atom at index 10 by [-1.15644819 -1.33977137 -5.41895628] angstrom in the cif file.,mp-1047798_processed.cif
mp-1048141.cif,Move the atom at index 8 by [-2.2091664  -1.16252521 -0.24058695] angstrom in the cif file.,mp-1048141_processed.cif
mp-1048241.cif,Move the atom at index 7 by [-2.26011229  1.42308468 -1.68984547] angstrom in the cif file.,mp-1048241_processed.cif
mp-1048742.cif,Move the atom at index 22 by [1.65078143 1.97600298 1.20937337] angstrom in the cif file.,mp-1048742_processed.cif
mp-1048819.cif,Move the atom at index 2 by [ 2.15317467 -5.72369234  0.01854074] angstrom in the cif file.,mp-1048819_processed.cif
mp-10543.cif,Move the atom at index 2 by [ 1.01789262 -1.14863418  1.61118721] angstrom in the cif file.,mp-10543_processed.cif
mp-1073454.cif,Move the atom at index 23 by [-0.58876454 -3.21848193  2.78409527] angstrom in the cif file.,mp-1073454_processed.cif
mp-1073857.cif,Move the atom at index 0 by [ 1.19289904 -1.23794204 -5.28384497] angstrom in the cif file.,mp-1073857_processed.cif
mp-1074382.cif,Move the atom at index 7 by [ 1.36930408 -2.21035336 -3.19105585] angstrom in the cif file.,mp-1074382_processed.cif
mp-1075115.cif,Move the atom at index 3 by [1.78527654 0.19280751 0.85332717] angstrom in the cif file.,mp-1075115_processed.cif
mp-1076171.cif,Move the atom at index 23 by [-0.26094318  3.68449221 -1.81066179] angstrom in the cif file.,mp-1076171_processed.cif
mp-1076264.cif,Move the atom at index 15 by [-1.3330043   4.21965312 -1.11891046] angstrom in the cif file.,mp-1076264_processed.cif
mp-1080179.cif,Move the atom at index 8 by [-1.11056442  1.20772218 -1.28093624] angstrom in the cif file.,mp-1080179_processed.cif
mp-1080349.cif,Move the atom at index 0 by [ 4.37919668  1.50847246 -0.27240379] angstrom in the cif file.,mp-1080349_processed.cif
mp-1080354.cif,Move the atom at index 21 by [-3.45416765 -1.82490969 -2.91723479] angstrom in the cif file.,mp-1080354_processed.cif
mp-1080713.cif,Move the atom at index 4 by [ 1.66341957  1.76404106 -3.47506536] angstrom in the cif file.,mp-1080713_processed.cif
mp-1094804.cif,Move the atom at index 11 by [ 1.17017817  1.04316093 -1.32689606] angstrom in the cif file.,mp-1094804_processed.cif
mp-1095083.cif,Move the atom at index 4 by [-5.21077342  0.68023077  0.06633635] angstrom in the cif file.,mp-1095083_processed.cif
mp-1095476.cif,Move the atom at index 0 by [ 0.90766886 -1.26209642  0.8867054 ] angstrom in the cif file.,mp-1095476_processed.cif
mp-1095575.cif,Move the atom at index 0 by [ 3.71465738 -1.98126449 -1.76970761] angstrom in the cif file.,mp-1095575_processed.cif
mp-1095585.cif,Move the atom at index 3 by [-1.22176244 -1.27580226 -0.61670029] angstrom in the cif file.,mp-1095585_processed.cif
mp-1095643.cif,Move the atom at index 11 by [-0.47422194  2.55544985  1.45231732] angstrom in the cif file.,mp-1095643_processed.cif
mp-1095675.cif,Move the atom at index 5 by [-1.2865244  -2.87072416 -2.6266908 ] angstrom in the cif file.,mp-1095675_processed.cif
mp-1095677.cif,Move the atom at index 9 by [-1.00271319 -0.78510441 -0.06759596] angstrom in the cif file.,mp-1095677_processed.cif
mp-1096913.cif,Move the atom at index 10 by [-1.96731124  0.10837079  0.01229583] angstrom in the cif file.,mp-1096913_processed.cif
mp-1099100.cif,Move the atom at index 12 by [-1.89047678 -0.98438162 -0.54092723] angstrom in the cif file.,mp-1099100_processed.cif
