input_cif,action_prompt,output_cif
mp-1013842.cif,Move the atom at index 62 towards the atom at index 7 by 1.126425942080598 angstrom in the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Move the atom at index 1 towards the atom at index 9 by 1.800651817475565 angstrom in the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Move the atom at index 9 towards the atom at index 15 by 2.4458832012069314 angstrom in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Move the atom at index 12 towards the atom at index 5 by 1.6223841925148361 angstrom in the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Move the atom at index 17 towards the atom at index 23 by 2.2699347139150685 angstrom in the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Move the atom at index 53 towards the atom at index 7 by 2.3916640122074075 angstrom in the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Move the atom at index 10 towards the atom at index 14 by 2.67952861473484 angstrom in the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Move the atom at index 5 towards the atom at index 6 by 2.605171495945868 angstrom in the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Move the atom at index 12 towards the atom at index 0 by 1.4334711656212649 angstrom in the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Move the atom at index 7 towards the atom at index 15 by 0.7458998436045505 angstrom in the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Move the atom at index 13 towards the atom at index 10 by 0.6148381376672556 angstrom in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Move the atom at index 11 towards the atom at index 5 by 2.216582781679383 angstrom in the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Move the atom at index 12 towards the atom at index 14 by 1.9112487331711123 angstrom in the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Move the atom at index 4 towards the atom at index 12 by 1.2797200663328578 angstrom in the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Move the atom at index 1 towards the atom at index 13 by 2.5830592538837025 angstrom in the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Move the atom at index 6 towards the atom at index 0 by 2.7618834497115117 angstrom in the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Move the atom at index 7 towards the atom at index 10 by 2.7430438518733933 angstrom in the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Move the atom at index 8 towards the atom at index 10 by 0.44945606741118027 angstrom in the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Move the atom at index 5 towards the atom at index 3 by 2.7787890218728117 angstrom in the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Move the atom at index 12 towards the atom at index 4 by 1.732042725286865 angstrom in the cif file.,mp-1027965_processed.cif
