reference_cif,generated_output,wrong_type
"# generated using pymatgen
data_Na2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48498174
_cell_length_b   5.48498174
_cell_length_c   5.48498174
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2O
_chemical_formula_sum   'Na8 O4'
_cell_volume   165.01581106
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.75000000  0.75000000  1.0
  Na  Na1  1  0.75000000  0.25000000  0.25000000  1.0
  Na  Na2  1  0.25000000  0.25000000  0.25000000  1.0
  Na  Na3  1  0.75000000  0.75000000  0.75000000  1.0
  Na  Na4  1  0.75000000  0.75000000  0.25000000  1.0
  Na  Na5  1  0.25000000  0.25000000  0.75000000  1.0
  Na  Na6  1  0.75000000  0.25000000  0.75000000  1.0
  Na  Na7  1  0.25000000  0.75000000  0.25000000  1.0
  O  O8  1  0.00000000  0.00000000  0.00000000  1.0
  O  O9  1  0.00000000  0.50000000  0.50000000  1.0
  O  O10  1  0.50000000  0.00000000  0.50000000  1.0
  O  O11  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_Na2O
_audit_creation_method 'generated by expert'
_audit_creation_date 2024-02-20

_cell_length_a  5.48498174
_cell_length_b  5.48498174
_cell_length_c  5.48498174
_cell_angle_alpha  90.0
_cell_angle_beta  90.0
_cell_angle_gamma  90.0

_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1
_symmetry_cell_setting triclinic

_atom_type_symbol
  Na  Na  22.9898  0  0  0  0
  O   O  15.9994  0  0  0  0

_atom_type_oxidation_number
  Na  1+
  O  2-

_atom_site_label
  Na1  Na  0.000000  0.000000  0.000000  0.5  0.5  0.5  1  1  0
  Na2  Na  0.500000  0.500000  0.000000  0.5  0.5  0.5  1  1  0
  Na3  Na  0.000000  0.500000  0.500000  0.5  0.5  0.5  1  1  0
  Na4  Na  0.500000  0.000000  0.500000  0.5  0.5  0.5  1  1  0
  O1   O  0.250000  0.250000  0.250000  0.5  0.5  0.5  1  1  0
  O2   O  0.750000  0.750000  0.750000  0.5  0.5  0.5  1  1  0

</cif>",CIFParsingError
"# generated using pymatgen
data_MgSe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.46744704
_cell_length_b   5.46744704
_cell_length_c   5.46744704
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgSe
_chemical_formula_sum   'Mg4 Se4'
_cell_volume   163.43826935
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.00000000  0.00000000  0.00000000  1.0
  Mg  Mg1  1  0.00000000  0.50000000  0.50000000  1.0
  Mg  Mg2  1  0.50000000  0.00000000  0.50000000  1.0
  Mg  Mg3  1  0.50000000  0.50000000  0.00000000  1.0
  Se  Se4  1  0.50000000  0.00000000  0.00000000  1.0
  Se  Se5  1  0.50000000  0.50000000  0.50000000  1.0
  Se  Se6  1  0.00000000  0.00000000  0.50000000  1.0
  Se  Se7  1  0.00000000  0.50000000  0.00000000  1.0
","<cif>
data_MgSe
_audit_creation_method 'Generated by materials science expert'
_audit_creation_date '2023-02-20'

_cell_length_a 5.46744704
_cell_length_b 5.46744704
_cell_length_c 5.46744704
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  Mg Se

_atom_type_oxidation_number
  2  -2

_atom_site_label
  Mg1 Se1

_atom_site_type_symbol
  Mg Se

_atom_site_fract_x
  0  0.5

_atom_site_fract_y
  0  0.5

_atom_site_fract_z
  0  0

_loop_
 _atom_site_occupancy
  1  1
</cif>",CIFParsingError
"# generated using pymatgen
data_Si
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44370237
_cell_length_b   5.44370237
_cell_length_c   5.44370237
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Si
_chemical_formula_sum   Si8
_cell_volume   161.31810713
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.75000000  0.75000000  0.25000000  1.0
  Si  Si1  1  0.00000000  0.50000000  0.50000000  1.0
  Si  Si2  1  0.75000000  0.25000000  0.75000000  1.0
  Si  Si3  1  0.00000000  0.00000000  0.00000000  1.0
  Si  Si4  1  0.25000000  0.75000000  0.75000000  1.0
  Si  Si5  1  0.50000000  0.50000000  0.00000000  1.0
  Si  Si6  1  0.25000000  0.25000000  0.25000000  1.0
  Si  Si7  1  0.50000000  0.00000000  0.50000000  1.0
","<cif>
data_Si
_audit_creation_method 'Generated by materials science expert'
_audit_creation_date '2024-02-20'

_cell_length_a  5.44370237
_cell_length_b  5.44370237
_cell_length_c  5.44370237
_cell_angle_alpha  90
_cell_angle_beta  90
_cell_angle_gamma  90
_cell_volume  162.86452
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_loop_
_symmetry_equiv_pos_as_xyz
 x,y,z
 -x,-y,-z

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Si  Si  0.0  0.0  0.0
 Si  Si  0.25  0.25  0.25
</cif>",CIFParsingError
"# generated using pymatgen
data_TiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.59983732
_cell_length_b   4.59983732
_cell_length_c   2.95921356
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiO2
_chemical_formula_sum   'Ti2 O4'
_cell_volume   62.61253008
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.50000000  0.50000000  0.00000000  1.0
  Ti  Ti1  1  0.00000000  0.00000000  0.50000000  1.0
  O  O2  1  0.69567869  0.69567869  0.50000000  1.0
  O  O3  1  0.19567869  0.80432131  0.00000000  1.0
  O  O4  1  0.80432131  0.19567869  0.00000000  1.0
  O  O5  1  0.30432131  0.30432131  0.50000000  1.0
","<cif>
data_TiO2_rutile
_audit_creation_method 'Generated by materials science expert'
_audit_creation_date '2023-02-20'

_cell_length_a 4.59983732
_cell_length_c 2.95921356
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_U_iso_or_U_eq

Ti  Ti  0.000000  0.000000  0.000000  1.0  0.0
O   O   0.305000  0.305000  0.000000  1.0  0.0
O   O   0.695000  0.695000  0.500000  1.0  0.0

loop_
_symmetry_equiv_pos_as_xyz
 x,y,z
 -x,-y,-z

</cif>",CIFParsingError
"# generated using pymatgen
data_Sb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.08334361
_cell_length_b   3.08334361
_cell_length_c   3.08334361
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sb
_chemical_formula_sum   Sb1
_cell_volume   29.31337180
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.00000000  0.00000000  0.00000000  1.0
","<cif>
data_Sb_sc
_audit_creation_method 'generated by expert'
_audit_creation_date 2024-02-20

_cell_length_a 3.08334361
_cell_length_b 3.08334361
_cell_length_c 3.08334361
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  Sb

_atom_type_oxidation_number
  Sb 0

_atom_site_label
  Sb1

_atom_site_type_symbol
  Sb1 Sb

_atom_site_fract_x
  Sb1 0.0

_atom_site_fract_y
  Sb1 0.0

_atom_site_fract_z
  Sb1 0.0

loop_
 _atom_site_occupancy
  Sb1 1.0
</cif>",CIFParsingError
"# generated using pymatgen
data_Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57743067
_cell_length_b   3.57743067
_cell_length_c   3.57743067
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu
_chemical_formula_sum   Cu4
_cell_volume   45.78399420
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00000000  0.00000000  0.00000000  1.0
  Cu  Cu1  1  0.00000000  0.50000000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  0.00000000  0.50000000  1.0
  Cu  Cu3  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_Cu_fcc
_audit_creation_method 'generated by materials science expert'
_loop_
_symmetry_equiv_pos_as_xyz
  x,y,z
  -y,x-y,z
  -x+y,-x,z
  -x,-y,-z
  y,-x+y,-z
  x-y,x,-z
_space_group_name_H-M 'P 1'
_space_group_IT_number 1
_cell_length_a 3.57743067
_cell_length_b 3.57743067
_cell_length_c 3.57743067
_cell_angle_alpha 90.00000000
_cell_angle_beta 90.00000000
_cell_angle_gamma 90.00000000
_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Cu Cu 0.00000000 0.00000000 0.00000000
 Cu Cu 0.50000000 0.50000000 0.00000000
 Cu Cu 0.50000000 0.00000000 0.50000000
 Cu Cu 0.00000000 0.50000000 0.50000000
</cif>",CIFParsingError
"# generated using pymatgen
data_LaFeO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.95717700
_cell_length_b   3.95717700
_cell_length_c   3.95717700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaFeO3
_chemical_formula_sum   'La1 Fe1 O3'
_cell_volume   61.96642318
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.00000000  0.00000000  0.00000000  1.0
  Fe  Fe1  1  0.50000000  0.50000000  0.50000000  1.0
  O  O2  1  0.50000000  0.50000000  0.00000000  1.0
  O  O3  1  0.50000000  0.00000000  0.50000000  1.0
  O  O4  1  0.00000000  0.50000000  0.50000000  1.0
","<cif>
data-LaFeO3
_loop_
_publ_author_name
Materials Science Expert

_cell_length_a  3.957177
_cell_length_b  3.957177
_cell_length_c  3.957177
_cell_angle_alpha  90.000000
_cell_angle_beta   90.000000
_cell_angle_gamma  90.000000
_space_group_name_H-M 'P 1'
_space_group_IT_number 1

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
La     La     0.000000  0.000000  0.000000
Fe     Fe     0.500000  0.500000  0.500000
O1     O      0.514500  0.485500  0.741100
O2     O      0.485500  0.514500  0.258900
O3     O      0.258900  0.741100  0.514500

</cif>",CIFParsingError
"# generated using pymatgen
data_W
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17031556
_cell_length_b   3.17031556
_cell_length_c   3.17031556
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   W
_chemical_formula_sum   W2
_cell_volume   31.86452704
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  W  W0  1  0.00000000  0.00000000  0.00000000  1.0
  W  W1  1  0.50000000  0.50000000  0.50000000  1.0
","<cif>
# CIF file for BCC Tungsten (W)
data_W
_audit_creation_method 'Generated using standard crystal structure'
_audit_creation_date 2024-02-20

_cell_length_a  3.17031556
_cell_length_b  3.17031556
_cell_length_c  3.17031556
_cell_angle_alpha  90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma  90.00000000
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  W

_atom_type_oxidation_number
  W 0

_atom_type_radius_bond
  W 1.3700

_loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
 _atom_site_U_iso_or_U_eq
  W1  W  0.000000  0.000000  0.000000  1.000000  0.00000
  W2  W  0.500000  0.500000  0.500000  1.000000  0.00000
</cif>",CIFParsingError
"# generated using pymatgen
data_Ar
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.36315985
_cell_length_b   5.36315985
_cell_length_c   5.36315985
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ar
_chemical_formula_sum   Ar4
_cell_volume   154.26316026
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ar  Ar0  1  0.00000000  0.00000000  0.00000000  1.0
  Ar  Ar1  1  0.00000000  0.50000000  0.50000000  1.0
  Ar  Ar2  1  0.50000000  0.00000000  0.50000000  1.0
  Ar  Ar3  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_ar_fcc
_loop_
_symmetry_equivalent_pos
  x, y, z
  0, 0, 0

_loop_
_symmetry_space_group_name_H-M
  'P 1'

_cell_length_a
  5.36315985
_cell_length_b
  5.36315985
_cell_length_c
  5.36315985
_cell_angle_alpha
  90.0
_cell_angle_beta
  90.0
_cell_angle_gamma
  90.0

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Ar1  Ar  0.000000  0.000000  0.000000
 Ar2  Ar  0.500000  0.500000  0.000000
 Ar3  Ar  0.500000  0.000000  0.500000
 Ar4  Ar  0.000000  0.500000  0.500000
</cif>",CIFParsingError
"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.46729126
_cell_length_b   2.46729126
_cell_length_c   7.80307300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C4
_cell_volume   41.13742867
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.00000000  0.00000000  0.25000000  1.0
  C  C1  1  0.00000000  0.00000000  0.75000000  1.0
  C  C2  1  0.33333333  0.66666667  0.25000000  1.0
  C  C3  1  0.66666667  0.33333333  0.75000000  1.0
","<cif>
data_C_graphite
_symmetry_space_group_name_H-M 'P 1'
_cell_length_a 2.46729126
_cell_length_c 7.803073
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120
_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1 C 0.0 0.0 0.0
C2 C 1/3 2/3 1/2
</cif>",CIFParsingError
