is_error,reference_cif,generated_output,wrong_type
True,"# generated using pymatgen
data_Na2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48498174
_cell_length_b   5.48498174
_cell_length_c   5.48498174
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2O
_chemical_formula_sum   'Na8 O4'
_cell_volume   165.01581106
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.75000000  0.75000000  1.0
  Na  Na1  1  0.75000000  0.25000000  0.25000000  1.0
  Na  Na2  1  0.25000000  0.25000000  0.25000000  1.0
  Na  Na3  1  0.75000000  0.75000000  0.75000000  1.0
  Na  Na4  1  0.75000000  0.75000000  0.25000000  1.0
  Na  Na5  1  0.25000000  0.25000000  0.75000000  1.0
  Na  Na6  1  0.75000000  0.25000000  0.75000000  1.0
  Na  Na7  1  0.25000000  0.75000000  0.25000000  1.0
  O  O8  1  0.00000000  0.00000000  0.00000000  1.0
  O  O9  1  0.00000000  0.50000000  0.50000000  1.0
  O  O10  1  0.50000000  0.00000000  0.50000000  1.0
  O  O11  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_Na2O
_audit_creation_method 'generated by expert'
_audit_creation_date 2024-02-20

_cell_length_a  5.48498174
_cell_length_b  5.48498174
_cell_length_c  5.48498174
_cell_angle_alpha  90.0
_cell_angle_beta  90.0
_cell_angle_gamma  90.0
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  Na
  O

_atom_type_oxidation_number
  Na  +1
  O  -2

_atom_site_label
  Na1
  Na2
  O1

_atom_site_type_symbol
  Na1  Na
  Na2  Na
  O1  O

_atom_site_fract_x
  Na1  0.0
  Na2  0.5
  O1  0.25

_atom_site_fract_y
  Na1  0.0
  Na2  0.0
  O1  0.25

_atom_site_fract_z
  Na1  0.0
  Na2  0.5
  O1  0.25

_loop_
_atom_site_occupancy
  Na1  1.0
  Na2  1.0
  O1  1.0
</cif>",CIFParsingError
True,"# generated using pymatgen
data_MgSe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.46744704
_cell_length_b   5.46744704
_cell_length_c   5.46744704
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgSe
_chemical_formula_sum   'Mg4 Se4'
_cell_volume   163.43826935
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.00000000  0.00000000  0.00000000  1.0
  Mg  Mg1  1  0.00000000  0.50000000  0.50000000  1.0
  Mg  Mg2  1  0.50000000  0.00000000  0.50000000  1.0
  Mg  Mg3  1  0.50000000  0.50000000  0.00000000  1.0
  Se  Se4  1  0.50000000  0.00000000  0.00000000  1.0
  Se  Se5  1  0.50000000  0.50000000  0.50000000  1.0
  Se  Se6  1  0.00000000  0.00000000  0.50000000  1.0
  Se  Se7  1  0.00000000  0.50000000  0.00000000  1.0
","<cif>
data_MgSe
_audit_creation_method 'Generated by materials science expert'
_audit_creation_date '2023-02-20'

_loop_
_symmetry_equiv_pos_as_xyz
 x,y,z
 -x,-y,-z

_space_group_name_H-M 'P 1'
_space_group_IT_number 1

_cell_length_a 5.46744704
_cell_length_b 5.46744704
_cell_length_c 5.46744704
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
 Mg Mg 0 0 0 1
 Se Se 0.5 0.5 0.5 1
</cif>",CIFParsingError
True,"# generated using pymatgen
data_Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17202329
_cell_length_b   3.17202329
_cell_length_c   5.14120490
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg
_chemical_formula_sum   Mg2
_cell_volume   44.79899582
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.33333333  0.66666667  0.25000000  1.0
  Mg  Mg1  1  0.66666667  0.33333333  0.75000000  1.0
","<cif>
data_Mg_hcp
_loop_
_symmetry_equiv_pos_as_xyz
 x,y,z
 -x,-y,-z
_loop_
_cell_length_a
 3.17202329
_cell_length_c
 5.1412049
_cell_angle_alpha
 90
_cell_angle_beta
 90
_cell_angle_gamma
 120
_space_group_name_H-M_alt '(P 1)'
_space_group_IT_number 1
_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Mg Mg 0.333333 0.666667 0.75
 Mg Mg 0.666667 0.333333 0.25
</cif>",CIFParsingError
True,"# generated using pymatgen
data_Si
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44370237
_cell_length_b   5.44370237
_cell_length_c   5.44370237
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Si
_chemical_formula_sum   Si8
_cell_volume   161.31810713
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.75000000  0.75000000  0.25000000  1.0
  Si  Si1  1  0.00000000  0.50000000  0.50000000  1.0
  Si  Si2  1  0.75000000  0.25000000  0.75000000  1.0
  Si  Si3  1  0.00000000  0.00000000  0.00000000  1.0
  Si  Si4  1  0.25000000  0.75000000  0.75000000  1.0
  Si  Si5  1  0.50000000  0.50000000  0.00000000  1.0
  Si  Si6  1  0.25000000  0.25000000  0.25000000  1.0
  Si  Si7  1  0.50000000  0.00000000  0.50000000  1.0
","<cif>
data_Si
_loop_
_symmetry.equivalent_position
  x, y, z
_loop_
_symmetry_symmetry_operation
  'x, y, z'
_loop_
_cell_length_a
  5.44370237
_loop_
_cell_length_b
  5.44370237
_loop_
_cell_length_c
  5.44370237
_loop_
_cell_angle_alpha
  90.0
_loop_
_cell_angle_beta
  90.0
_loop_
_cell_angle_gamma
  90.0
_loop_
_atom_type_symbol
  Si
_loop_
_atom_type_oxidation_number
  0
_loop_
_atom_site_label
  Si1
  Si2
_loop_
_atom_site_type_symbol
  Si
  Si
_loop_
_atom_site_fract_x
  0.0
  0.25
_loop_
_atom_site_fract_y
  0.0
  0.25
_loop_
_atom_site_fract_z
  0.0
  0.25
_loop_
_symmetry_P1
  'x, y, z'
</cif>",CIFParsingError
True,"# generated using pymatgen
data_TiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.59983732
_cell_length_b   4.59983732
_cell_length_c   2.95921356
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiO2
_chemical_formula_sum   'Ti2 O4'
_cell_volume   62.61253008
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.50000000  0.50000000  0.00000000  1.0
  Ti  Ti1  1  0.00000000  0.00000000  0.50000000  1.0
  O  O2  1  0.69567869  0.69567869  0.50000000  1.0
  O  O3  1  0.19567869  0.80432131  0.00000000  1.0
  O  O4  1  0.80432131  0.19567869  0.00000000  1.0
  O  O5  1  0.30432131  0.30432131  0.50000000  1.0
","<cif>
data_TiO2_rutile
_loop_
_symmetry_equiv_pos_as_xyz
  x,y,z
  -x,-y,-z
_loop_
_cell_length_a
  4.59983732
_cell_length_c
  2.95921356
_space_group_name_H-M_alt          'P 1'
_space_group_symop_operation_xyz
  x,y,z
_loop_
_atom_site_label
_atom_site_occupancy
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_U_iso_or_U_eq
  Ti1  1.0  0.0  0.0  0.0  0.005
  O1  1.0  0.30535  0.30535  0.0  0.012
  O2  1.0  0.19465  0.80535  0.5  0.012
</cif>",CIFParsingError
True,"# generated using pymatgen
data_Sb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.08334361
_cell_length_b   3.08334361
_cell_length_c   3.08334361
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sb
_chemical_formula_sum   Sb1
_cell_volume   29.31337180
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.00000000  0.00000000  0.00000000  1.0
","<cif>
data_Sb_sc
_audit_creation_method 'generated by materials science expert'
_loop_
_audit_author
'materials science expert'
_cell_length_a     3.08334361
_cell_length_b     3.08334361
_cell_length_c     3.08334361
_cell_angle_alpha  90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma  90.00000000
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1
_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Sb1 Sb 0.00000000 0.00000000 0.00000000
</cif>",CIFParsingError
True,"# generated using pymatgen
data_Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57743067
_cell_length_b   3.57743067
_cell_length_c   3.57743067
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu
_chemical_formula_sum   Cu4
_cell_volume   45.78399420
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00000000  0.00000000  0.00000000  1.0
  Cu  Cu1  1  0.00000000  0.50000000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  0.00000000  0.50000000  1.0
  Cu  Cu3  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_Cu
_audit_creation_method 'generated by materials science expert'
_audit_creation_date 2024-02-20

_cell_length_a 3.57743067
_cell_length_b 3.57743067
_cell_length_c 3.57743067
_cell_angle_alpha 90.00000000
_cell_angle_beta 90.00000000
_cell_angle_gamma 90.00000000
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  Cu

_atom_type_occupancy
  1.0

_atom_typeholidayty_radius
  0.0

_atom_type_scat_length_neutron
  0.0 0.0 0.0

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Cu1 Cu 0.0 0.0 0.0
 Cu2 Cu 0.5 0.5 0.0
 Cu3 Cu 0.5 0.0 0.5
 Cu4 Cu 0.0 0.5 0.5
</cif>",CIFParsingError
True,"# generated using pymatgen
data_LaFeO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.95717700
_cell_length_b   3.95717700
_cell_length_c   3.95717700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaFeO3
_chemical_formula_sum   'La1 Fe1 O3'
_cell_volume   61.96642318
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.00000000  0.00000000  0.00000000  1.0
  Fe  Fe1  1  0.50000000  0.50000000  0.50000000  1.0
  O  O2  1  0.50000000  0.50000000  0.00000000  1.0
  O  O3  1  0.50000000  0.00000000  0.50000000  1.0
  O  O4  1  0.00000000  0.50000000  0.50000000  1.0
","<cif>
# CIF file for LaFeO3 perovskite structure

data_LaFeO3
_audit_creation_method 'generated by materials science expert'
_audit_creation_date 2024-02-20

_cell_length_a     3.957177
_cell_length_b     3.957177
_cell_length_c     3.957177
_cell_angle_alpha  90.000000
_cell_angle_beta   90.000000
_cell_angle_gamma  90.000000

_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

_atom_type_symbol
  La
  Fe
  O

_atom_type_oxidation_number
  La            3
  Fe           3
  O           -2

_atom_site_label
  La1
  Fe1
  O1
  O2
  O3

_atom_site_type_symbol
  La1 La
  Fe1 Fe
  O1  O
  O2  O
  O3  O

_atom_site_fract_x
  La1 0.000000
  Fe1 0.500000
  O1  0.500000
  O2  0.000000
  O3  0.500000

_atom_site_fract_y
  La1 0.000000
  Fe1 0.500000
  O1  0.000000
  O2  0.500000
  O3  0.500000

_atom_site_fract_z
  La1 0.000000
  Fe1 0.500000
  O1  0.500000
  O2  0.000000
  O3  0.000000

</cif>",CIFParsingError
True,"# generated using pymatgen
data_W
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.17031556
_cell_length_b   3.17031556
_cell_length_c   3.17031556
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   W
_chemical_formula_sum   W2
_cell_volume   31.86452704
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  W  W0  1  0.00000000  0.00000000  0.00000000  1.0
  W  W1  1  0.50000000  0.50000000  0.50000000  1.0
","<cif>
data_W_bcc
_loop_
_symmetry_equivalent_pos
  x, y, z
  0, 0, 0

_loop_
_symmetry_space_group_name_H-M
  'P 1'

_cell_length_a
  3.17031556
_cell_length_b
  3.17031556
_cell_length_c
  3.17031556
_cell_angle_alpha
  90.00000000
_cell_angle_beta
  90.00000000
_cell_angle_gamma
  90.00000000

_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
  W1  W  0.00000000  0.00000000  0.00000000
  W2  W  0.50000000  0.50000000  0.50000000
</cif>",CIFParsingError
True,"# generated using pymatgen
data_Ar
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.36315985
_cell_length_b   5.36315985
_cell_length_c   5.36315985
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ar
_chemical_formula_sum   Ar4
_cell_volume   154.26316026
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ar  Ar0  1  0.00000000  0.00000000  0.00000000  1.0
  Ar  Ar1  1  0.00000000  0.50000000  0.50000000  1.0
  Ar  Ar2  1  0.50000000  0.00000000  0.50000000  1.0
  Ar  Ar3  1  0.50000000  0.50000000  0.00000000  1.0
","<cif>
data_ar_fcc
_symmetry_space_group_name_H-M 'P 1'
_cell_length_a 5.36315985
_cell_length_b 5.36315985
_cell_length_c 5.36315985
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_equiv_pos_as_xyz
 x,y,z
_loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
 Ar Ar 0.0 0.0 0.0
 Ar Ar 0.5 0.5 0.0
 Ar Ar 0.5 0.0 0.5
 Ar Ar 0.0 0.5 0.5
</cif>",CIFParsingError
