structure_name,bandgap_qwen3_32B,bandgap_deepseek_chat,bandgap_gemini_2_5_pro,bandgap_llama3_70B,bandgap_o3,bandgap_o4_mini,bandgap_qwen3_4B,bandgap_qwen3_8B,bandgap_qwen3_14B,bandgap_grok4_expert_web,bandgap_orig,bulkmodulus_qwen3_32B,bulkmodulus_deepseek_chat,bulkmodulus_gemini_2_5_pro,bulkmodulus_llama3_70B,bulkmodulus_o3,bulkmodulus_o4_mini,bulkmodulus_qwen3_4B,bulkmodulus_qwen3_8B,bulkmodulus_qwen3_14B,bulkmodulus_grok4_expert_web,bulkmodulus_orig
mp-160_sg_166_formula_B,0,LLM fail,0,0,0,0,0,0,0,1.3874,1.469,Structure same,DFT Unreasonable,237.4041608,Structure same,168.5513551,251.0073009,Structure same,LLM fail,Structure same,304.6444354,218.2214476
mp-239_sg_113_formula_BaS3,0,0.0246,1.5681,1.4583,0.8724,1.5691,1.1617,0,LLM fail,1.4583,1.3269,45.14300019,71.42075495,51.23722899,45.68890475,45.7482898,LLM fail,35.1754426,45.14301371,42.8169824,45.1430115,39.90811222
mp-288_sg_131_formula_PtS,0.3529,0.3529,0,0.4927,0.0548,LLM fail,0.3529,DFT fail,0.4759,0.1309,0.3552,31.66466216,120.2087068,Structure same,Structure same,115.8930298,LLM fail,Structure same,LLM fail,Structure same,115.9005707,147.5930728
mp-306_sg_152_formula_B2O3,6.2643,LLM fail,5.1874,6.2642,0.9476,LLM fail,3.8094,6.2642,3.8094,2.0807,6.4048,33.74950407,DFT fail,23.20654175,Structure same,DFT fail,40.46231218,Structure same,Structure same,40.86056834,71.04121035,44.19602242
mp-361_sg_224_formula_Cu2O,0,0,0,0.5615,0.56,LLM fail,0,0,0.4942,0.6768,0.5257,67.62333131,LLM fail,Structure same,Structure same,Structure same,Structure same,DFT fail,Structure same,Structure same,Structure same,133.2219998
mp-468_sg_167_formula_AlF3,7.3523,LLM fail,4.002,0,6.7183,7.3523,Structure same,6.5546,7.3523,7.2762,7.9991,DFT fail,7.287184062,DFT Unreasonable,Structure same,31.01035226,Structure same,123.0536681,Structure same,Structure same,Structure same,39.69184954
mp-470_sg_136_formula_GeO2,1.4575,4.4848,1.1709,2.8953,1.3422,LLM fail,0,1.4575,2.8953,2.1283,1.6876,185.0896716,186.0931789,212.5305309,Structure same,Structure same,185.3396409,Structure same,185.0889554,Structure same,199.0953113,234.9609806
mp-471_sg_98_formula_CdAs2,0,0.295,0,0.1217,0.3055,LLM fail,0.0024,0,0,0,0.185,51.4250503,51.35719331,51.66663665,LLM fail,DFT Unreasonable,DFT Unreasonable,DFT fail,51.4250503,79.7621627,51.42507751,44.51979251
mp-539_sg_9_formula_Ga2S3,0.8051,0.707,2.9498,1.3722,2.9498,2.5032,1.727,1.6621,1.8998,2.1286,1.7622,185.1377888,30.64462761,34.52367372,Structure same,DFT Unreasonable,33.69750871,Structure same,Structure same,Structure same,33.4967925,36.38433748
mp-661_sg_186_formula_AlN,0,DFT fail,5.4328,2.5727,5.441,LLM fail,0,3.9235,0,LLM fail,3.9852,Structure same,Structure same,387.979612,Structure same,387.979608,LLM fail,DFT Unreasonable,212.3338082,Structure same,264.5456577,202.2105066
