input_cif_name,generated_cif,generated_output
mp-160_sg_166_formula_B.cif,"data_B_modified
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09288144
_cell_length_b   5.09288184
_cell_length_c   5.09288235
_cell_angle_alpha   58.11864518
_cell_angle_beta    58.11864725
_cell_angle_gamma   58.11862732
_symmetry_Int_Tables_number   1
_chemical_formula_structural   B11 C1
_chemical_formula_sum            B11 C1
_cell_volume   89.35
_cell_formula_units_Z   12

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
C   C0   1   0.00997004   0.65428512   0.00997004   1.0
B   B1   1   0.00997004   0.00997004   0.65428512   1.0
B   B2   1   0.65428512   0.00997004   0.00997004   1.0
B   B3   1   0.34571488   0.99002996   0.99002996   1.0
B   B4   1   0.99002996   0.34571488   0.99002996   1.0
B   B5   1   0.99002996   0.99002996   0.34571488   1.0
B   B6   1   0.22056557   0.63163483   0.22056557   1.0
B   B7   1   0.22056557   0.22056557   0.63163483   1.0
B   B8   1   0.63163483   0.22056557   0.22056557   1.0
B   B9   1   0.36836517   0.77943443   0.77943443   1.0
B  B10   1   0.77943443   0.36836517   0.77943443   1.0
B  B11   1   0.77943443   0.77943443   0.36836517   1.0","<cif>
data_B_modified
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09288144
_cell_length_b   5.09288184
_cell_length_c   5.09288235
_cell_angle_alpha   58.11864518
_cell_angle_beta    58.11864725
_cell_angle_gamma   58.11862732
_symmetry_Int_Tables_number   1
_chemical_formula_structural   B11 C1
_chemical_formula_sum            B11 C1
_cell_volume   89.35
_cell_formula_units_Z   12

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
C   C0   1   0.00997004   0.65428512   0.00997004   1.0
B   B1   1   0.00997004   0.00997004   0.65428512   1.0
B   B2   1   0.65428512   0.00997004   0.00997004   1.0
B   B3   1   0.34571488   0.99002996   0.99002996   1.0
B   B4   1   0.99002996   0.34571488   0.99002996   1.0
B   B5   1   0.99002996   0.99002996   0.34571488   1.0
B   B6   1   0.22056557   0.63163483   0.22056557   1.0
B   B7   1   0.22056557   0.22056557   0.63163483   1.0
B   B8   1   0.63163483   0.22056557   0.22056557   1.0
B   B9   1   0.36836517   0.77943443   0.77943443   1.0
B  B10   1   0.77943443   0.36836517   0.77943443   1.0
B  B11   1   0.77943443   0.77943443   0.36836517   1.0
</cif>"
mp-239_sg_113_formula_BaS3.cif,"data_CaS3
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.00500000
_cell_length_b   6.60400000
_cell_length_c   6.60400000
_cell_angle_alpha   90.00000000
_cell_angle_beta    90.00000000
_cell_angle_gamma   90.00000000

_chemical_formula_structural   CaS3
_chemical_formula_sum          'Ca2 S6'
_cell_volume                   174.72800
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Ca Ca0 1  0.00000000  0.50000000  0.50000000  1.0
 Ca Ca1 1  0.00000000  0.00000000  0.00000000  1.0

 S  S2   1  0.47518716  0.82212087  0.32212087  1.0
 S  S3   1  0.52481284  0.32212087  0.17787913  1.0
 S  S4   1  0.21150960  0.00000000  0.50000000  1.0
 S  S5   1  0.78849040  0.50000000  0.00000000  1.0
 S  S6   1  0.47518716  0.17787913  0.67787913  1.0
 S  S7   1  0.52481284  0.67787913  0.82212087  1.0","Here we substitute Ba→Ca (smaller cation raises the band‐edge separation) and uniformly compress the cell by ~5% to further widen the gap. Atomic positions remain unchanged.

<cif>
data_CaS3
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.00500000
_cell_length_b   6.60400000
_cell_length_c   6.60400000
_cell_angle_alpha   90.00000000
_cell_angle_beta    90.00000000
_cell_angle_gamma   90.00000000

_chemical_formula_structural   CaS3
_chemical_formula_sum          'Ca2 S6'
_cell_volume                   174.72800
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Ca Ca0 1  0.00000000  0.50000000  0.50000000  1.0
 Ca Ca1 1  0.00000000  0.00000000  0.00000000  1.0

 S  S2   1  0.47518716  0.82212087  0.32212087  1.0
 S  S3   1  0.52481284  0.32212087  0.17787913  1.0
 S  S4   1  0.21150960  0.00000000  0.50000000  1.0
 S  S5   1  0.78849040  0.50000000  0.00000000  1.0
 S  S6   1  0.47518716  0.17787913  0.67787913  1.0
 S  S7   1  0.52481284  0.67787913  0.82212087  1.0
</cif>"
mp-288_sg_131_formula_PtS.cif,"data_PtSe
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1
_cell_length_a                   3.49446173
_cell_length_b                   3.49446173
_cell_length_c                   5.81047920
_cell_angle_alpha               90.00000000
_cell_angle_beta                90.00000000
_cell_angle_gamma               90.00000000
_cell_volume                    70.967
_cell_formula_units_Z           2
_chemical_formula_structural    PtSe
_chemical_formula_sum           'Pt2 Se2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.50000000  0.00000000  0.50000000  1.0
  Pt  Pt1  1  0.00000000  0.50000000  0.00000000  1.0
  Se  Se2  1  0.00000000  0.00000000  0.75000000  1.0
  Se  Se3  1  0.00000000  0.00000000  0.25000000  1.0","I propose substituting S with the heavier chalcogen Se to raise the valence‐band maximum and slightly compressing the c-axis to enhance Pt–Se orbital overlap—all aimed at reducing the band gap. The modified CIF (Pt₂Se₂, c reduced by 5%) is given below:

<cif>
data_PtSe
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1
_cell_length_a                   3.49446173
_cell_length_b                   3.49446173
_cell_length_c                   5.81047920
_cell_angle_alpha               90.00000000
_cell_angle_beta                90.00000000
_cell_angle_gamma               90.00000000
_cell_volume                    70.967
_cell_formula_units_Z           2
_chemical_formula_structural    PtSe
_chemical_formula_sum           'Pt2 Se2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.50000000  0.00000000  0.50000000  1.0
  Pt  Pt1  1  0.00000000  0.50000000  0.00000000  1.0
  Se  Se2  1  0.00000000  0.00000000  0.75000000  1.0
  Se  Se3  1  0.00000000  0.00000000  0.25000000  1.0
</cif>"
mp-306_sg_152_formula_B2O3.cif,"data_B2O3_modified
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.424165
_cell_length_b   4.424166
_cell_length_c   8.475203
_cell_angle_alpha   90.000000
_cell_angle_beta    90.000000
_cell_angle_gamma   120.000011
_cell_volume        143.65
_cell_formula_units_Z   3

_chemical_formula_structural   B2O3:S  
_chemical_formula_sum          'B6 O8.8 S0.2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

  B  B0   1  0.10014870  0.27065547  0.89931969  1.0
  B  B1   1  0.17050877  0.89985130  0.56598569  1.0
  B  B2   1  0.72934453  0.82949123  0.23265269  1.0
  B  B3   1  0.56654681  0.50382586  0.68267751  1.0
  B  B4   1  0.93727805  0.43345319  0.34934451  1.0
  B  B5   1  0.49617414  0.06272195  0.01601151  1.0

  O  O6   1  0.48233896  0.21679708  0.58562766  1.0
  O  O7   1  0.78320292  0.26554188  0.91896166  1.0
  O  O8   1  0.73445812  0.51766104  0.25229466  1.0
  O  O9   1  0.33336984  0.51095125  0.79100187  1.0
  O  O10  1  0.17758141  0.66663016  0.45766887  1.0
  O  O11  1  0.48904875  0.82241859  0.12433487  1.0
  O  O12  1  0.88348663  0.81565118  0.66303728  1.0
  O  O13  1  0.93216255  0.11651337  0.32970428  1.0
  O  O14  1  0.18434882  0.06783745  0.99637128  0.8000

  S  S15  1  0.18434882  0.06783745  0.99637128  0.2000","<cif>
data_B2O3_modified
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.424165
_cell_length_b   4.424166
_cell_length_c   8.475203
_cell_angle_alpha   90.000000
_cell_angle_beta    90.000000
_cell_angle_gamma   120.000011
_cell_volume        143.65
_cell_formula_units_Z   3

_chemical_formula_structural   B2O3:S  
_chemical_formula_sum          'B6 O8.8 S0.2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

  B  B0   1  0.10014870  0.27065547  0.89931969  1.0
  B  B1   1  0.17050877  0.89985130  0.56598569  1.0
  B  B2   1  0.72934453  0.82949123  0.23265269  1.0
  B  B3   1  0.56654681  0.50382586  0.68267751  1.0
  B  B4   1  0.93727805  0.43345319  0.34934451  1.0
  B  B5   1  0.49617414  0.06272195  0.01601151  1.0

  O  O6   1  0.48233896  0.21679708  0.58562766  1.0
  O  O7   1  0.78320292  0.26554188  0.91896166  1.0
  O  O8   1  0.73445812  0.51766104  0.25229466  1.0
  O  O9   1  0.33336984  0.51095125  0.79100187  1.0
  O  O10  1  0.17758141  0.66663016  0.45766887  1.0
  O  O11  1  0.48904875  0.82241859  0.12433487  1.0
  O  O12  1  0.88348663  0.81565118  0.66303728  1.0
  O  O13  1  0.93216255  0.11651337  0.32970428  1.0
  O  O14  1  0.18434882  0.06783745  0.99637128  0.8000

  S  S15  1  0.18434882  0.06783745  0.99637128  0.2000
</cif>"
mp-361_sg_224_formula_Cu2O.cif,"data_Cu3ZnO2
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.200000
_cell_length_b   4.200000
_cell_length_c   4.200000
_cell_angle_alpha   90.000000
_cell_angle_beta    90.000000
_cell_angle_gamma   90.000000
_cell_volume        74.088000

_chemical_formula_structural   'Cu3 Zn1 O'
_chemical_formula_sum          'Cu3 Zn1 O2'
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Zn  Zn0  1  0.00000000  0.00000000  0.00000000  1.0
 Cu  Cu0  1  0.50000000  0.50000000  0.00000000  1.0
 Cu  Cu1  1  0.00000000  0.50000000  0.50000000  1.0
 Cu  Cu2  1  0.50000000  0.00000000  0.50000000  1.0
 O   O4   1  0.75000000  0.75000000  0.75000000  1.0
 O   O5   1  0.25000000  0.25000000  0.25000000  1.0","Here we substitute the Cu at (0,0,0) by Zn (an element with a wider-gap oxide, ZnO, to push up the overall gap) and uniformly shrink the cubic cell by ~1%, which also tends to widen the band‐gap by increasing orbital overlap.  

<cif>
data_Cu3ZnO2
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   4.200000
_cell_length_b   4.200000
_cell_length_c   4.200000
_cell_angle_alpha   90.000000
_cell_angle_beta    90.000000
_cell_angle_gamma   90.000000
_cell_volume        74.088000

_chemical_formula_structural   'Cu3 Zn1 O'
_chemical_formula_sum          'Cu3 Zn1 O2'
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Zn  Zn0  1  0.00000000  0.00000000  0.00000000  1.0
 Cu  Cu0  1  0.50000000  0.50000000  0.00000000  1.0
 Cu  Cu1  1  0.00000000  0.50000000  0.50000000  1.0
 Cu  Cu2  1  0.50000000  0.00000000  0.50000000  1.0
 O   O4   1  0.75000000  0.75000000  0.75000000  1.0
 O   O5   1  0.25000000  0.25000000  0.25000000  1.0
</cif>"
mp-468_sg_167_formula_AlF3.cif,"data_Al0.5Ga0.5F3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.8610
_cell_length_b   7.0645
_cell_length_c   5.0680
_cell_angle_alpha   135.84411518
_cell_angle_beta    150.95003080
_cell_angle_gamma   34.84540193
_symmetry_Int_Tables_number   1
_chemical_formula_structural   'Al0.5 Ga0.5 F3'
_chemical_formula_sum          'Al0.5 Ga0.5 F3'
_cell_volume   88.00
_cell_formula_units_Z   2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
1  'x, y, z'

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
Al0  Al  0.49991311  0.75013768   0.00011922   0.5
Ga0  Ga  0.49991311  0.75013768   0.00011922   0.5
Al1  Al  0.49998650  0.24996728  -0.00016565   0.5
Ga1  Ga  0.49998650  0.24996728  -0.00016565   0.5
F2   F   0.41281156  -0.00027007   0.82516300   1.0
F3   F   0.00001468   0.91197287   0.41178250   1.0
F4   F   0.41180985   0.08818844   0.41163447   1.0
F5   F   0.58763630   0.50026991   0.17574064   1.0
F6   F   0.00004140   0.58739818   0.58782109   1.0
F7   F   0.58778759   0.41233672   0.58790473   1.0","<cif>
data_Al0.5Ga0.5F3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.8610
_cell_length_b   7.0645
_cell_length_c   5.0680
_cell_angle_alpha   135.84411518
_cell_angle_beta    150.95003080
_cell_angle_gamma   34.84540193
_symmetry_Int_Tables_number   1
_chemical_formula_structural   'Al0.5 Ga0.5 F3'
_chemical_formula_sum          'Al0.5 Ga0.5 F3'
_cell_volume   88.00
_cell_formula_units_Z   2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
1  'x, y, z'

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
Al0  Al  0.49991311  0.75013768   0.00011922   0.5
Ga0  Ga  0.49991311  0.75013768   0.00011922   0.5
Al1  Al  0.49998650  0.24996728  -0.00016565   0.5
Ga1  Ga  0.49998650  0.24996728  -0.00016565   0.5
F2   F   0.41281156  -0.00027007   0.82516300   1.0
F3   F   0.00001468   0.91197287   0.41178250   1.0
F4   F   0.41180985   0.08818844   0.41163447   1.0
F5   F   0.58763630   0.50026991   0.17574064   1.0
F6   F   0.00004140   0.58739818   0.58782109   1.0
F7   F   0.58778759   0.41233672   0.58790473   1.0
</cif>"
mp-470_sg_136_formula_GeO2.cif,"data_GeSnO2_doped
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   2.93304500
_cell_length_b   4.50067300
_cell_length_c   4.50067300
_cell_angle_alpha   90.00000000
_cell_angle_beta    90.00000000
_cell_angle_gamma   90.00000000
_cell_volume       59.431000

_chemical_formula_structural   Ge1.8 Sn0.2 O4
_chemical_formula_sum          'Ge1.8 Sn0.2 O4'
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1 'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

# Sn doping on both Ge sites (10% Sn, 90% Ge)
 Sn   Sn0   1   0.50000000   0.50000000   0.50000000   0.10
 Ge   Ge0   1   0.50000000   0.50000000   0.50000000   0.90

 Sn   Sn1   1   0.00000000   0.00000000   0.00000000   0.10
 Ge   Ge1   1   0.00000000   0.00000000   0.00000000   0.90

 O    O2    1  -0.00000000   0.69422923   0.69422923   1.00
 O    O3    1   0.50000000   0.80577077   0.19422923   1.00
 O    O4    1   0.00000000   0.30577077   0.30577077   1.00
 O    O5    1   0.50000000   0.19422923   0.80577077   1.00","I suggest partially substituting Ge by Sn (10 at.%), since SnO₂ has a smaller gap (≈3.6 eV) than GeO₂ (≈5.4 eV), and slightly expanding the lattice (by 2%) to better accommodate the larger Sn²⁺/Sn⁴⁺ radius.  This combined element‐substitution + lattice‐adjustment should lower the overall band‐gap.  Below is a valid CIF with Ge₁.₈Sn₀.₂O₄ (10% Sn) and ∼2% lattice expansion:

<cif>
data_GeSnO2_doped
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1

_cell_length_a   2.93304500
_cell_length_b   4.50067300
_cell_length_c   4.50067300
_cell_angle_alpha   90.00000000
_cell_angle_beta    90.00000000
_cell_angle_gamma   90.00000000
_cell_volume       59.431000

_chemical_formula_structural   Ge1.8 Sn0.2 O4
_chemical_formula_sum          'Ge1.8 Sn0.2 O4'
_cell_formula_units_Z          2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1 'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

# Sn doping on both Ge sites (10% Sn, 90% Ge)
 Sn   Sn0   1   0.50000000   0.50000000   0.50000000   0.10
 Ge   Ge0   1   0.50000000   0.50000000   0.50000000   0.90

 Sn   Sn1   1   0.00000000   0.00000000   0.00000000   0.10
 Ge   Ge1   1   0.00000000   0.00000000   0.00000000   0.90

 O    O2    1  -0.00000000   0.69422923   0.69422923   1.00
 O    O3    1   0.50000000   0.80577077   0.19422923   1.00
 O    O4    1   0.00000000   0.30577077   0.30577077   1.00
 O    O5    1   0.50000000   0.19422923   0.80577077   1.00
</cif>"
mp-471_sg_98_formula_CdAs2.cif,"# Modified CIF: Partial Sb substitution at As sites (20%) and slight cell compression to reduce band gap
data_Cd(As0.8Sb0.2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.678378   # 99% of original a
_cell_length_b   6.093817   # 99% of original b
_cell_length_c   6.093815   # 99% of original c
_cell_angle_alpha   81.52656947
_cell_angle_beta    67.42683261
_cell_angle_gamma   67.42683613
_symmetry_Int_Tables_number   1
_chemical_formula_structural   'Cd2 As3.2 Sb0.8'
_chemical_formula_sum          'Cd2 As3.2 Sb0.8'
_cell_volume    148.00        # ~152.66*(0.99)^3
_cell_formula_units_Z   2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.25000000  0.50000000  0.50000000  1.0
  Cd  Cd1  1  0.00000000  0.00000000  0.00000000  1.0

  As  As2  1  0.68670692  0.18829308  0.68829308  0.80
  Sb  Sb2  1  0.68670692  0.18829308  0.68829308  0.20

  As  As3  1  0.62500000  0.81170692  0.68829308  0.80
  Sb  Sb3  1  0.62500000  0.81170692  0.68829308  0.20

  As  As4  1  0.56329308  0.81170692  0.31170692  0.80
  Sb  Sb4  1  0.56329308  0.81170692  0.31170692  0.20

  As  As5  1  0.12500000  0.18829308  0.31170692  0.80
  Sb  Sb5  1  0.12500000  0.18829308  0.31170692  0.20","<cif>
# Modified CIF: Partial Sb substitution at As sites (20%) and slight cell compression to reduce band gap
data_Cd(As0.8Sb0.2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.678378   # 99% of original a
_cell_length_b   6.093817   # 99% of original b
_cell_length_c   6.093815   # 99% of original c
_cell_angle_alpha   81.52656947
_cell_angle_beta    67.42683261
_cell_angle_gamma   67.42683613
_symmetry_Int_Tables_number   1
_chemical_formula_structural   'Cd2 As3.2 Sb0.8'
_chemical_formula_sum          'Cd2 As3.2 Sb0.8'
_cell_volume    148.00        # ~152.66*(0.99)^3
_cell_formula_units_Z   2

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.25000000  0.50000000  0.50000000  1.0
  Cd  Cd1  1  0.00000000  0.00000000  0.00000000  1.0

  As  As2  1  0.68670692  0.18829308  0.68829308  0.80
  Sb  Sb2  1  0.68670692  0.18829308  0.68829308  0.20

  As  As3  1  0.62500000  0.81170692  0.68829308  0.80
  Sb  Sb3  1  0.62500000  0.81170692  0.68829308  0.20

  As  As4  1  0.56329308  0.81170692  0.31170692  0.80
  Sb  Sb4  1  0.56329308  0.81170692  0.31170692  0.20

  As  As5  1  0.12500000  0.18829308  0.31170692  0.80
  Sb  Sb5  1  0.12500000  0.18829308  0.31170692  0.20
</cif>"
mp-539_sg_9_formula_Ga2S3.cif,"data_Ga2S3_modified
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number   1

_chemical_formula_structural   'Ga1.5 Al0.5 S3'
_chemical_formula_sum          'Ga3 Al1 S6'
_cell_formula_units_Z           2

_cell_length_a   6.39067845
_cell_length_b   6.41182504
_cell_length_c   6.9829050
_cell_angle_alpha   116.53502820
_cell_angle_beta    90.00000000
_cell_angle_gamma   119.89095037
_cell_volume       216.914   # approx, after 1% contraction

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Al  Al0  1  0.13653814  0.40574596  0.61964728  1.0
 Ga  Ga1  1  0.26920781  0.40574596  0.11964728  1.0
 Ga  Ga2  1  0.44718999  0.08814768  0.62905923  1.0
 Ga  Ga3  1  0.64095870  0.08814768  0.12905923  1.0
 S   S4   1  0.42851516  0.67989794  0.50284171  1.0
 S   S5   1  0.25138278  0.67989794  0.00284171  1.0
 S   S6   1  0.76053466  0.34699161  0.51185829  1.0
 S   S7   1  0.58645796  0.34699161  0.01185829  1.0
 S   S8   1  0.91099758  0.00121681  0.98559649  1.0
 S   S9   1  0.09021723  0.00121681  0.48559649  1.0","<cif>
data_Ga2S3_modified
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number   1

_chemical_formula_structural   'Ga1.5 Al0.5 S3'
_chemical_formula_sum          'Ga3 Al1 S6'
_cell_formula_units_Z           2

_cell_length_a   6.39067845
_cell_length_b   6.41182504
_cell_length_c   6.9829050
_cell_angle_alpha   116.53502820
_cell_angle_beta    90.00000000
_cell_angle_gamma   119.89095037
_cell_volume       216.914   # approx, after 1% contraction

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy

 Al  Al0  1  0.13653814  0.40574596  0.61964728  1.0
 Ga  Ga1  1  0.26920781  0.40574596  0.11964728  1.0
 Ga  Ga2  1  0.44718999  0.08814768  0.62905923  1.0
 Ga  Ga3  1  0.64095870  0.08814768  0.12905923  1.0
 S   S4   1  0.42851516  0.67989794  0.50284171  1.0
 S   S5   1  0.25138278  0.67989794  0.00284171  1.0
 S   S6   1  0.76053466  0.34699161  0.51185829  1.0
 S   S7   1  0.58645796  0.34699161  0.01185829  1.0
 S   S8   1  0.91099758  0.00121681  0.98559649  1.0
 S   S9   1  0.09021723  0.00121681  0.48559649  1.0
</cif>"
mp-661_sg_186_formula_AlN.cif,"data_AlB_N_hybrid
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1
_cell_length_a                   3.09730212
_cell_length_b                   3.09730212
_cell_length_c                   4.96678545
_cell_angle_alpha                90.00000000
_cell_angle_beta                 90.00000000
_cell_angle_gamma                119.99999712
_cell_volume                     41.25
_cell_formula_units_Z            2
_chemical_formula_structural     'Al1 B1 N2'
_chemical_formula_sum            'Al B N2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
Al   Al0   1   0.666667   0.333333   0.499287   0.50
B    B0    1   0.666667   0.333333   0.499287   0.50
Al   Al1   1   0.333333   0.666667   0.999287   0.50
B    B1    1   0.333333   0.666667   0.999287   0.50
N    N2    1   0.666667   0.333333   0.880713   1.00
N    N3    1   0.333333   0.666667   0.380713   1.00","Here we substitute half of the Al by B (a known way to widen the gap, since h-BN has a larger gap than h-AlN) and apply a small (1 %) isotropic lattice compression (compressive strain tends to increase the band gap). All atomic positions remain the same, but each Al site now carries 50 % Al + 50 % B occupancy. Cell parameters are reduced by 1 %, and the volume is scaled accordingly.

<cif>
data_AlB_N_hybrid
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number      1
_cell_length_a                   3.09730212
_cell_length_b                   3.09730212
_cell_length_c                   4.96678545
_cell_angle_alpha                90.00000000
_cell_angle_beta                 90.00000000
_cell_angle_gamma                119.99999712
_cell_volume                     41.25
_cell_formula_units_Z            2
_chemical_formula_structural     'Al1 B1 N2'
_chemical_formula_sum            'Al B N2'

loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
 1  'x, y, z'

loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
Al   Al0   1   0.666667   0.333333   0.499287   0.50
B    B0    1   0.666667   0.333333   0.499287   0.50
Al   Al1   1   0.333333   0.666667   0.999287   0.50
B    B1    1   0.333333   0.666667   0.999287   0.50
N    N2    1   0.666667   0.333333   0.880713   1.00
N    N3    1   0.333333   0.666667   0.380713   1.00
</cif>"
