model_name,property,true_count,total_count,true_rate
llama3_70B,bandgap,5,10,0.5
llama3_70B,bulkmodulus,1,10,0.1
o4_mini,bandgap,3,10,0.3
o4_mini,bulkmodulus,3,10,0.3
o3,bandgap,7,10,0.7
o3,bulkmodulus,3,10,0.3
qwen3_14B,bandgap,4,10,0.4
qwen3_14B,bulkmodulus,2,10,0.2
qwen3_32B,bandgap,5,10,0.5
qwen3_32B,bulkmodulus,4,10,0.4
grok4_expert_web,bandgap,7,10,0.7
grok4_expert_web,bulkmodulus,8,10,0.8
qwen3_8B,bandgap,4,10,0.4
qwen3_8B,bulkmodulus,4,10,0.4
gemini_2_5_pro,bandgap,8,10,0.8
gemini_2_5_pro,bulkmodulus,6,10,0.6
qwen3_4B,bandgap,4,10,0.4
qwen3_4B,bulkmodulus,1,10,0.1
deepseek_chat,bandgap,1,10,0.1
deepseek_chat,bulkmodulus,5,10,0.5
