input_cif,action_prompt,output_cif
mp-1013842.cif,Add one Sn at [7.38150459 0.9454405  3.41684617] to the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Add one Os at [0.34947225 0.93919864 0.26124393] to the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Add one Y at [0.98680772 4.12177926 0.90479998] to the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Add one Re at [4.17054523 3.99921658 6.18541394] to the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Add one Pu at [4.91631697 5.81113054 7.41178573] to the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Add one Rf at [0.68115976 0.82153436 2.95876586] to the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Add one Sg at [4.65343648 1.45585614 1.82768202] to the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Add one Se at [3.49262214 0.36552261 6.30288387] to the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Add one Am at [1.80015248 3.34246345 6.16977999] to the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Add one Mn at [4.10254879 4.48363568 3.6442984 ] to the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Add one Sg at [4.60194651 2.72868866 6.65786851] to the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Add one Sb at [-1.11276077  2.57659993  5.98439287] to the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Add one Tb at [1.46195266 4.52185633 3.44757851] to the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Add one Rh at [0.71961376 3.87613858 4.94207393] to the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Add one Nh at [4.20113102 2.95617016 4.84770578] to the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Add one Lu at [3.86045968 3.26797456 2.1985987 ] to the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Add one Pr at [ 2.5769158   1.24115152 25.3706596 ] to the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Add one Zn at [2.60466992 0.0706001  2.69300986] to the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Add one Ac at [2.19637171 0.03526402 3.62237395] to the cif file.,mp-1027852_processed.cif
