input_cif,action_prompt,output_cif
mp-1013842.cif,Delete all atoms within 3.313250996951483 of the atom at index 50 in the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Delete all atoms within 2.9435426595371874 of the atom at index 5 in the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Delete all atoms within 2.6163062177729364 of the atom at index 9 in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Delete all atoms within 2.9017379068010127 of the atom at index 4 in the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Delete all atoms within 2.421620050654444 of the atom at index 1 in the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Delete all atoms within 3.8905589778102727 of the atom at index 26 in the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Delete all atoms within 3.7937322467632217 of the atom at index 5 in the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Delete all atoms within 2.514824017486456 of the atom at index 5 in the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Delete all atoms within 1.7482788851967155 of the atom at index 11 in the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Delete all atoms within 2.9689120264269038 of the atom at index 0 in the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Delete all atoms within 3.5492120021895435 of the atom at index 8 in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Delete all atoms within 1.6428690122214746 of the atom at index 0 in the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Delete all atoms within 1.8640696234830618 of the atom at index 8 in the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Delete all atoms within 2.7030993717655614 of the atom at index 15 in the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Delete all atoms within 2.6763002702420398 of the atom at index 5 in the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Delete all atoms within 2.1076857273829184 of the atom at index 5 in the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Delete all atoms within 2.5186319916559405 of the atom at index 2 in the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Delete all atoms within 1.6532313562618133 of the atom at index 4 in the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Delete all atoms within 3.674099214821542 of the atom at index 4 in the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Delete all atoms within 3.4364429504054073 of the atom at index 15 in the cif file.,mp-1027965_processed.cif
mp-1027971.cif,Delete all atoms within 3.350281389142086 of the atom at index 0 in the cif file.,mp-1027971_processed.cif
mp-1028124.cif,Delete all atoms within 2.29875513407071 of the atom at index 6 in the cif file.,mp-1028124_processed.cif
mp-1028136.cif,Delete all atoms within 3.1400140431336974 of the atom at index 2 in the cif file.,mp-1028136_processed.cif
mp-1028229.cif,Delete all atoms within 1.7534937082969915 of the atom at index 8 in the cif file.,mp-1028229_processed.cif
mp-1028374.cif,Delete all atoms within 1.6021327596392907 of the atom at index 9 in the cif file.,mp-1028374_processed.cif
mp-1028383.cif,Delete all atoms within 2.6573986985831617 of the atom at index 9 in the cif file.,mp-1028383_processed.cif
mp-1028854.cif,Delete all atoms within 3.0454352750899005 of the atom at index 5 in the cif file.,mp-1028854_processed.cif
mp-1029113.cif,Delete all atoms within 1.5992120142131179 of the atom at index 8 in the cif file.,mp-1029113_processed.cif
