input_cif,action_prompt,output_cif
mp-1013842.cif,"Move atoms at indices [51, 49, 2, 70, 74, 72, 75, 41, 1, 69, 35, 78, 50, 16, 43, 8, 6, 79, 3, 56, 55, 42, 31, 19, 23, 30, 9, 71, 62, 44, 36, 4] by [ 0.22266335 -0.15072593  0.88440213] in the cif file.",mp-1013842_processed.cif
mp-1015026.cif,"Move atoms at indices [2, 4, 3, 1, 10, 5, 0, 8, 9, 11, 6] by [-3.54881534  2.97108977  2.72170371] in the cif file.",mp-1015026_processed.cif
mp-1016569.cif,Move atoms at indices [14] by [ 2.18648833 -0.42406387 -0.17318909] in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,"Move atoms at indices [5, 4, 0, 10, 8, 13] by [0.24316668 0.63357692 5.19021535] in the cif file.",mp-1016660_processed.cif
mp-1020181.cif,"Move atoms at indices [6, 15, 24, 37, 7] by [-1.61728173 -1.99928432 -0.3220085 ] in the cif file.",mp-1020181_processed.cif
mp-1020716.cif,"Move atoms at indices [46, 38, 62, 27, 9, 19, 18, 50, 0, 66, 53, 2, 41, 22, 48, 26, 70, 14, 68, 58, 3, 74, 1, 45, 10, 31, 44, 24, 52, 54, 72, 23, 64, 28, 17, 47, 37, 60, 8, 63, 36, 69, 12, 42, 20, 5, 39, 55, 6, 34, 40, 4, 57, 16, 29] by [ 0.91842663 -2.21100565 -3.12080401] in the cif file.",mp-1020716_processed.cif
mp-1021278.cif,"Move atoms at indices [10, 12, 2, 13, 4, 1, 6, 7, 8] by [ 2.09088055 -1.66966138  0.75192276] in the cif file.",mp-1021278_processed.cif
mp-1021658.cif,"Move atoms at indices [2, 10, 13, 9, 5, 7, 0, 12] by [-2.37285853 -2.31775934 -3.5069078 ] in the cif file.",mp-1021658_processed.cif
mp-1021682.cif,"Move atoms at indices [2, 6, 14] by [-0.0746873  -0.27264744  0.24251836] in the cif file.",mp-1021682_processed.cif
mp-1022203.cif,"Move atoms at indices [1, 9, 2, 11, 15, 0] by [2.97757342 2.64635267 2.26342272] in the cif file.",mp-1022203_processed.cif
mp-1026634.cif,Move atoms at indices [5] by [0.62178656 1.14997866 0.62002218] in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,"Move atoms at indices [15, 14, 13, 1, 10, 8, 3, 2] by [-2.6478565  -0.22782797 -0.30271473] in the cif file.",mp-1026773_processed.cif
mp-1026775.cif,"Move atoms at indices [15, 2, 3, 8, 11, 13, 5, 7, 0, 14, 4, 10] by [-1.37138464 -3.60055488  0.49315721] in the cif file.",mp-1026775_processed.cif
mp-1026818.cif,"Move atoms at indices [14, 10, 7, 11, 9, 6, 5, 15, 4, 8, 3, 13, 0] by [-0.753452    1.47782738  0.26748455] in the cif file.",mp-1026818_processed.cif
mp-1026852.cif,"Move atoms at indices [7, 14, 5, 11, 9, 3, 4, 10, 8, 0, 6, 1, 12] by [ 0.50951868  1.72805575 -0.35277477] in the cif file.",mp-1026852_processed.cif
mp-1026901.cif,"Move atoms at indices [9, 3, 12, 15, 0, 14, 1, 6, 11, 10, 4, 13, 8] by [ 0.73525786 -1.93509768 -3.33524868] in the cif file.",mp-1026901_processed.cif
mp-1027134.cif,"Move atoms at indices [1, 9, 6, 11, 7, 4, 5] by [ 0.2400447   0.05974633 -1.88156301] in the cif file.",mp-1027134_processed.cif
mp-1027152.cif,"Move atoms at indices [6, 8, 9, 2, 3, 10, 1, 7, 0, 4] by [-2.81398582  0.09450754 -1.21678046] in the cif file.",mp-1027152_processed.cif
mp-1027852.cif,"Move atoms at indices [8, 15, 11, 4, 7, 2, 1, 14, 0, 5, 9, 12, 6, 13] by [-2.75917046 -0.49735023 -2.23657142] in the cif file.",mp-1027852_processed.cif
mp-1027965.cif,"Move atoms at indices [11, 14, 5, 1, 9, 15, 7, 8, 13, 4] by [ 1.39289339 -1.09554308  3.45886867] in the cif file.",mp-1027965_processed.cif
mp-1027971.cif,"Move atoms at indices [10, 9, 3, 13, 7, 2, 8, 12, 14] by [ 0.2059531  -0.93059172 -2.04029286] in the cif file.",mp-1027971_processed.cif
mp-1028124.cif,"Move atoms at indices [8, 7, 10, 5, 13, 14, 3, 6, 11, 0, 1, 4, 9, 12, 15, 2] by [-1.55356393 -3.747647    2.36603961] in the cif file.",mp-1028124_processed.cif
mp-1028136.cif,"Move atoms at indices [7, 14, 2, 15, 5, 13, 0, 3, 12, 11, 8, 9, 4, 10, 6] by [-2.62065958 -0.74730774  0.46790928] in the cif file.",mp-1028136_processed.cif
mp-1028229.cif,"Move atoms at indices [6, 15, 7, 10, 12, 8] by [-2.11546403 -3.57184547 -3.4541434 ] in the cif file.",mp-1028229_processed.cif
mp-1028374.cif,"Move atoms at indices [11, 6, 0, 3, 2, 5, 14, 13, 8] by [ 0.19086992  0.68390035 -1.0023725 ] in the cif file.",mp-1028374_processed.cif
mp-1028383.cif,"Move atoms at indices [1, 15, 14, 9, 8, 13, 10, 6, 3, 11] by [ 0.38089992  0.9974797  -0.72768268] in the cif file.",mp-1028383_processed.cif
mp-1028854.cif,"Move atoms at indices [2, 3, 10, 11, 8, 4] by [-0.07588426 -1.09168211 -0.57584093] in the cif file.",mp-1028854_processed.cif
mp-1029113.cif,"Move atoms at indices [8, 5, 3] by [0.98170217 1.03461178 0.92444954] in the cif file.",mp-1029113_processed.cif
mp-1029368.cif,"Move atoms at indices [1, 3, 2, 10, 0, 8, 9, 4] by [-2.62642547 -0.99099182  0.29851674] in the cif file.",mp-1029368_processed.cif
mp-1031131.cif,"Move atoms at indices [0, 2, 6, 9, 15, 1, 14] by [ 1.00798135 -1.97272978 -1.83662501] in the cif file.",mp-1031131_processed.cif
mp-1032360.cif,"Move atoms at indices [0, 7, 11, 4, 1, 6, 2, 15] by [0.27300694 1.32133523 1.82259539] in the cif file.",mp-1032360_processed.cif
mp-1033383.cif,"Move atoms at indices [0, 6, 5, 15, 10, 2, 1, 8, 12, 11, 3, 4, 14, 13, 9] by [2.63344052 1.11437518 3.14140049] in the cif file.",mp-1033383_processed.cif
mp-1034355.cif,"Move atoms at indices [11, 5, 25, 13, 12, 20, 31, 19, 26, 24, 6, 3, 30, 0, 14, 22, 2, 10] by [ 2.64035486 -2.97506576  0.73765137] in the cif file.",mp-1034355_processed.cif
mp-1035597.cif,"Move atoms at indices [5, 15, 30, 21, 7, 4, 1, 6, 26, 9, 18, 2, 0, 20, 17, 14, 28, 19, 11, 16, 31, 29, 3, 23, 25, 13, 10, 8, 12, 22, 24] by [ 0.68882204 -1.68687129 -2.0640006 ] in the cif file.",mp-1035597_processed.cif
mp-1035800.cif,"Move atoms at indices [29, 14, 19, 20, 2, 30, 25, 11, 4, 15, 23, 5, 27, 7, 3, 10, 0, 22, 1, 6, 28, 31, 24, 17, 13] by [-1.65657754  1.09972835  0.55020138] in the cif file.",mp-1035800_processed.cif
mp-1037450.cif,"Move atoms at indices [24, 13, 23, 0, 5, 62, 19, 3, 31, 30, 7, 47, 16, 59, 54, 12, 1, 35, 4, 42, 6, 25, 22, 14, 37, 63, 53, 44, 51, 43, 57, 21, 46, 45, 32, 60, 29, 49, 61, 27, 15, 36, 33, 17, 26, 11, 58, 41, 8, 34] by [1.0608047  1.59448243 2.12928777] in the cif file.",mp-1037450_processed.cif
mp-1038247.cif,"Move atoms at indices [7, 10, 31, 19, 30, 26, 24, 41, 28, 5, 0, 40, 59, 57, 52, 20, 60, 29, 61, 4, 32, 18, 17, 62, 13, 16, 14, 58, 27, 21, 38, 9, 35, 46, 45, 43, 1, 36, 48, 23, 2, 53, 39, 11, 42, 33, 54, 55, 22, 15, 63, 47] by [1.66753685 0.43791531 1.17575255] in the cif file.",mp-1038247_processed.cif
mp-1038590.cif,"Move atoms at indices [3, 62, 13, 39, 25, 27, 23, 2, 15, 10, 30, 43, 22, 52, 28] by [ 0.53547462 -1.09377605 -1.13683051] in the cif file.",mp-1038590_processed.cif
mp-1038638.cif,"Move atoms at indices [55, 28, 27, 59, 62, 11, 18, 35, 26, 30, 44, 54, 6, 32, 29, 61, 10, 45, 20, 22, 21, 37, 60, 0, 12, 48, 39, 1, 25, 4, 38, 58] by [ 2.06105538 -2.8723382   2.14044337] in the cif file.",mp-1038638_processed.cif
mp-1039951.cif,"Move atoms at indices [29, 36, 30, 34, 22, 54, 31, 42, 50, 21, 39, 18, 47, 51, 9, 2, 44, 63, 14] by [ 0.11541896 -4.45164874 -1.37140034] in the cif file.",mp-1039951_processed.cif
mp-1040370.cif,"Move atoms at indices [32, 23, 2, 58, 37, 51, 55, 41, 34, 33, 21, 7, 11, 13, 1, 12, 56, 8, 40, 49, 5, 39, 44, 26, 45, 20, 25, 38, 50, 30, 43, 14, 35, 10, 57, 48, 52, 31, 60, 54, 28, 15, 16, 53, 22, 42, 24, 3, 6, 4, 27, 61, 63, 17, 29, 18, 9, 59, 0] by [ 1.8790322  -1.38624263  2.06234013] in the cif file.",mp-1040370_processed.cif
mp-1041045.cif,"Move atoms at indices [28, 32, 21, 46, 26, 45, 14] by [5.21273796 0.58735062 0.43978117] in the cif file.",mp-1041045_processed.cif
mp-1041056.cif,"Move atoms at indices [22, 30, 6, 21, 24, 3, 13, 0, 28, 32, 33, 43, 50, 17, 16] by [ 1.56386     1.77073157 -2.80307076] in the cif file.",mp-1041056_processed.cif
mp-1041213.cif,Move atoms at indices [2] by [ 1.19689954  2.62490451 -1.93950992] in the cif file.,mp-1041213_processed.cif
mp-1042028.cif,"Move atoms at indices [2, 6, 9, 8, 4, 0, 7, 3, 12, 10] by [ 0.05442718 -2.03816261  0.58820906] in the cif file.",mp-1042028_processed.cif
mp-1042158.cif,"Move atoms at indices [12, 4, 18, 3, 20, 26, 1, 22, 17, 23, 10, 5, 27, 14, 21, 7, 0, 6] by [-2.03959543 -2.02602709 -0.40814561] in the cif file.",mp-1042158_processed.cif
mp-1042205.cif,"Move atoms at indices [9, 16, 5, 1, 8, 11, 2, 18, 15, 10, 6, 17, 0, 13, 14, 4, 22, 20, 3, 23, 12, 19, 7, 21] by [-2.23214241  0.20795559 -1.2523928 ] in the cif file.",mp-1042205_processed.cif
mp-1042378.cif,"Move atoms at indices [11, 13, 12, 31, 10, 24] by [-3.74963174 -4.46019268  2.07188016] in the cif file.",mp-1042378_processed.cif
mp-1042415.cif,"Move atoms at indices [37, 52, 13, 40, 54, 21, 2, 50, 18, 31, 59, 61, 44, 47] by [ 4.14665652 -0.25292404 -0.61900881] in the cif file.",mp-1042415_processed.cif
mp-1042656.cif,"Move atoms at indices [13, 16, 3, 9, 5, 0, 2, 10, 19] by [ 0.32853467 -1.2573012  -0.11764094] in the cif file.",mp-1042656_processed.cif
mp-1042677.cif,"Move atoms at indices [23, 2, 33, 12, 1, 19, 0, 15, 11, 5, 7, 3, 18, 30, 24, 22, 14, 20, 8, 10, 32, 27, 25, 6, 21, 17, 35] by [ 0.29195093 -0.87606202  0.19438219] in the cif file.",mp-1042677_processed.cif
