input_cif,action_prompt,output_cif
mp-1013842.cif,Move atom at index 24 towards atom at index 11 by 2.7188375492363903 in the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Move atom at index 6 towards atom at index 11 by 1.104326797967953 in the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Move atom at index 2 towards atom at index 15 by 2.0308203838675163 in the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Move atom at index 9 towards atom at index 1 by 2.7447362443202814 in the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Move atom at index 25 towards atom at index 14 by 0.10894205836022558 in the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Move atom at index 47 towards atom at index 8 by 1.9619656513025638 in the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Move atom at index 12 towards atom at index 7 by 2.4822697402771743 in the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Move atom at index 11 towards atom at index 14 by 2.4811056724106826 in the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Move atom at index 12 towards atom at index 1 by 2.3836562219292574 in the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Move atom at index 3 towards atom at index 1 by 0.33436283622485563 in the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Move atom at index 14 towards atom at index 1 by 1.9897501923622218 in the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Move atom at index 1 towards atom at index 11 by 2.1178281909923657 in the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Move atom at index 9 towards atom at index 2 by 2.479116147884394 in the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Move atom at index 7 towards atom at index 9 by 2.321002217481737 in the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Move atom at index 0 towards atom at index 10 by 0.5945475337108411 in the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Move atom at index 9 towards atom at index 8 by 1.8461040575412917 in the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Move atom at index 6 towards atom at index 11 by 2.3264494075675937 in the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Move atom at index 11 towards atom at index 2 by 1.943017086968579 in the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Move atom at index 2 towards atom at index 13 by 0.8443860325517641 in the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Move atom at index 14 towards atom at index 10 by 1.3606279884050008 in the cif file.,mp-1027965_processed.cif
mp-1027971.cif,Move atom at index 1 towards atom at index 10 by 0.305829802025832 in the cif file.,mp-1027971_processed.cif
mp-1028124.cif,Move atom at index 11 towards atom at index 12 by 1.489550601677831 in the cif file.,mp-1028124_processed.cif
