input_cif_name,property,trend,prompt,origin_prop_value
mp-160_sg_166_formula_B.cif,band gap,increase,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_B
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.04245687
_cell_length_b   5.04245727
_cell_length_c   5.04245777
_cell_angle_alpha   58.11864518
_cell_angle_beta   58.11864725
_cell_angle_gamma   58.11862732
_symmetry_Int_Tables_number   1
_chemical_formula_structural   B
_chemical_formula_sum   B12
_cell_volume   86.74916330
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.00997004  0.65428512  0.00997004  1.0
  B  B1  1  0.00997004  0.00997004  0.65428512  1.0
  B  B2  1  0.65428512  0.00997004  0.00997004  1.0
  B  B3  1  0.34571488  0.99002996  0.99002996  1.0
  B  B4  1  0.99002996  0.34571488  0.99002996  1.0
  B  B5  1  0.99002996  0.99002996  0.34571488  1.0
  B  B6  1  0.22056557  0.63163483  0.22056557  1.0
  B  B7  1  0.22056557  0.22056557  0.63163483  1.0
  B  B8  1  0.63163483  0.22056557  0.22056557  1.0
  B  B9  1  0.36836517  0.77943443  0.77943443  1.0
  B  B10  1  0.77943443  0.36836517  0.77943443  1.0
  B  B11  1  0.77943443  0.77943443  0.36836517  1.0

 Your goal: modify the CIF file accordingly to increase the band gap.",1.433399999999999
mp-239_sg_113_formula_BaS3.cif,band gap,increase,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_BaS3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.21601149
_cell_length_b   6.95195505
_cell_length_c   6.95195505
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaS3
_chemical_formula_sum   'Ba2 S6'
_cell_volume   203.75848204
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  -0.00000000  0.50000000  0.50000000  1.0
  Ba  Ba1  1  -0.00000000  -0.00000000  0.00000000  1.0
  S  S2  1  0.47518716  0.82212087  0.32212087  1.0
  S  S3  1  0.52481284  0.32212087  0.17787913  1.0
  S  S4  1  0.21150960  -0.00000000  0.50000000  1.0
  S  S5  1  0.78849040  0.50000000  0.00000000  1.0
  S  S6  1  0.47518716  0.17787913  0.67787913  1.0
  S  S7  1  0.52481284  0.67787913  0.82212087  1.0

 Your goal: modify the CIF file accordingly to increase the band gap.",1.391299999999999
mp-288_sg_131_formula_PtS.cif,band gap,decrease,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_PtS
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.49446173
_cell_length_b   3.49446173
_cell_length_c   6.11629389
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PtS
_chemical_formula_sum   'Pt2 S2'
_cell_volume   74.68767195
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pt  Pt0  1  0.50000000  -0.00000000  0.50000000  1.0
  Pt  Pt1  1  0.00000000  0.50000000  0.00000000  1.0
  S  S2  1  -0.00000000  -0.00000000  0.75000000  1.0
  S  S3  1  0.00000000  0.00000000  0.25000000  1.0

 Your goal: modify the CIF file accordingly to decrease the band gap.",0.3848
mp-306_sg_152_formula_B2O3.cif,band gap,decrease,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_B2O3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.33741660
_cell_length_b   4.33741787
_cell_length_c   8.30902354
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00001084
_symmetry_Int_Tables_number   1
_chemical_formula_structural   B2O3
_chemical_formula_sum   'B6 O9'
_cell_volume   135.37640458
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  B  B0  1  0.10014870  0.27065547  0.89931969  1.0
  B  B1  1  0.17050877  0.89985130  0.56598569  1.0
  B  B2  1  0.72934453  0.82949123  0.23265269  1.0
  B  B3  1  0.56654681  0.50382586  0.68267751  1.0
  B  B4  1  0.93727805  0.43345319  0.34934451  1.0
  B  B5  1  0.49617414  0.06272195  0.01601151  1.0
  O  O6  1  0.48233896  0.21679708  0.58562766  1.0
  O  O7  1  0.78320292  0.26554188  0.91896166  1.0
  O  O8  1  0.73445812  0.51766104  0.25229466  1.0
  O  O9  1  0.33336984  0.51095125  0.79100187  1.0
  O  O10  1  0.17758141  0.66663016  0.45766887  1.0
  O  O11  1  0.48904875  0.82241859  0.12433487  1.0
  O  O12  1  0.88348663  0.81565118  0.66303728  1.0
  O  O13  1  0.93216255  0.11651337  0.32970428  1.0
  O  O14  1  0.18434882  0.06783745  0.99637128  1.0

 Your goal: modify the CIF file accordingly to decrease the band gap.",6.3017
mp-361_sg_224_formula_Cu2O.cif,band gap,increase,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_Cu2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24669932
_cell_length_b   4.24669932
_cell_length_c   4.24669932
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2O
_chemical_formula_sum   'Cu4 O2'
_cell_volume   76.58690827
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.50000000  0.50000000  -0.00000000  1.0
  Cu  Cu1  1  -0.00000000  0.50000000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  -0.00000000  0.50000000  1.0
  Cu  Cu3  1  0.00000000  0.00000000  0.00000000  1.0
  O  O4  1  0.75000000  0.75000000  0.75000000  1.0
  O  O5  1  0.25000000  0.25000000  0.25000000  1.0

 Your goal: modify the CIF file accordingly to increase the band gap.",0.512699999999999
mp-468_sg_167_formula_AlF3.cif,band gap,decrease,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_AlF3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.77423069
_cell_length_b   6.99452693
_cell_length_c   5.01761712
_cell_angle_alpha   135.84411518
_cell_angle_beta   150.95003080
_cell_angle_gamma   34.84540193
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlF3
_chemical_formula_sum   'Al2 F6'
_cell_volume   85.43418366
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.49991311  0.75013768  0.00011922  1.0
  Al  Al1  1  0.49998650  0.24996728  -0.00016565  1.0
  F  F2  1  0.41281156  -0.00027007  0.82516300  1.0
  F  F3  1  0.00001468  0.91197287  0.41178250  1.0
  F  F4  1  0.41180985  0.08818844  0.41163447  1.0
  F  F5  1  0.58763630  0.50026991  0.17574064  1.0
  F  F6  1  0.00004140  0.58739818  0.58782109  1.0
  F  F7  1  0.58778759  0.41233672  0.58790473  1.0

 Your goal: modify the CIF file accordingly to decrease the band gap.",7.6012
mp-470_sg_136_formula_GeO2.cif,band gap,decrease,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_GeO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.87651434
_cell_length_b   4.41242435
_cell_length_c   4.41242435
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeO2
_chemical_formula_sum   'Ge2 O4'
_cell_volume   56.00426328
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.50000000  0.50000000  0.50000000  1.0
  Ge  Ge1  1  0.00000000  0.00000000  0.00000000  1.0
  O  O2  1  -0.00000000  0.69422923  0.69422923  1.0
  O  O3  1  0.50000000  0.80577077  0.19422923  1.0
  O  O4  1  0.00000000  0.30577077  0.30577077  1.0
  O  O5  1  0.50000000  0.19422923  0.80577077  1.0

 Your goal: modify the CIF file accordingly to decrease the band gap.",1.2157
mp-471_sg_98_formula_CdAs2.cif,band gap,decrease,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_CdAs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.72563470
_cell_length_b   6.15537009
_cell_length_c   6.15536952
_cell_angle_alpha   81.52656947
_cell_angle_beta   67.42683261
_cell_angle_gamma   67.42683613
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CdAs2
_chemical_formula_sum   'Cd2 As4'
_cell_volume   152.66478635
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.25000000  0.50000000  0.50000000  1.0
  Cd  Cd1  1  0.00000000  -0.00000000  -0.00000000  1.0
  As  As2  1  0.68670692  0.18829308  0.68829308  1.0
  As  As3  1  0.62500000  0.81170692  0.68829308  1.0
  As  As4  1  0.56329308  0.81170692  0.31170692  1.0
  As  As5  1  0.12500000  0.18829308  0.31170692  1.0

 Your goal: modify the CIF file accordingly to decrease the band gap.",0.133199999999999
mp-539_sg_9_formula_Ga2S3.cif,band gap,increase,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_Ga2S3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.45523076
_cell_length_b   6.47659095
_cell_length_c   7.05343939
_cell_angle_alpha   116.53502820
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.89095037
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ga2S3
_chemical_formula_sum   'Ga4 S6'
_cell_volume   219.10610836
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga  Ga0  1  0.13653814  0.40574596  0.61964728  1.0
  Ga  Ga1  1  0.26920781  0.40574596  0.11964728  1.0
  Ga  Ga2  1  0.44718999  0.08814768  0.62905923  1.0
  Ga  Ga3  1  0.64095870  0.08814768  0.12905923  1.0
  S  S4  1  0.42851516  0.67989794  0.50284171  1.0
  S  S5  1  0.25138278  0.67989794  0.00284171  1.0
  S  S6  1  0.76053466  0.34699161  0.51185829  1.0
  S  S7  1  0.58645796  0.34699161  0.01185829  1.0
  S  S8  1  0.91099758  0.00121681  0.98559649  1.0
  S  S9  1  0.09021723  0.00121681  0.48559649  1.0

 Your goal: modify the CIF file accordingly to increase the band gap.",1.7106
mp-661_sg_186_formula_AlN.cif,band gap,increase,"You are a material design expert. Your task is to modify a given CIF file to achieve a desired change in a specific material property. Please analyze the given CIF file and the target property. Identify the key structural features and elemental composition that influence the specified property. Propose a specific modification to the structure. This modification must be one or a combination of the following: 
 1. Element Substitution;
 2. Lattice Parameter Adjustment;
 3. Atomic Coordinate Adjustment.
 Please ensure the output is a correct CIF file. Return the modified CIF content within <cif> and </cif> tags.
 Input CIF content:
# generated using pymatgen
data_AlN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.12858800
_cell_length_b   3.12858827
_cell_length_c   5.01695500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999712
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlN
_chemical_formula_sum   'Al2 N2'
_cell_volume   42.52728308
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.66666700  0.33333300  0.49928700  1.0
  Al  Al1  1  0.33333300  0.66666700  0.99928700  1.0
  N  N2  1  0.66666700  0.33333300  0.88071300  1.0
  N  N3  1  0.33333300  0.66666700  0.38071300  1.0

 Your goal: modify the CIF file accordingly to increase the band gap.",4.0467
