input_cif,action_prompt,output_cif
mp-1013842.cif,Add one Ba atom at the Cartesian coordinate [6.54649193 4.73792382 3.90220796] to the cif file.,mp-1013842_processed.cif
mp-1015026.cif,Add one Sn atom at the Cartesian coordinate [2.30101603 1.91939141 0.66347424] to the cif file.,mp-1015026_processed.cif
mp-1016569.cif,Add one Bi atom at the Cartesian coordinate [1.78356643 3.68197271 6.6543451 ] to the cif file.,mp-1016569_processed.cif
mp-1016660.cif,Add one Ds atom at the Cartesian coordinate [0.78220043 1.82513163 3.76903984] to the cif file.,mp-1016660_processed.cif
mp-1020181.cif,Add one Pa atom at the Cartesian coordinate [ 4.40296909  4.28480156 10.02458509] to the cif file.,mp-1020181_processed.cif
mp-1020716.cif,Add one Sc atom at the Cartesian coordinate [-2.46793379 -0.83075129  5.52191043] to the cif file.,mp-1020716_processed.cif
mp-1021278.cif,Add one Ni atom at the Cartesian coordinate [4.50457337 2.35986406 5.3706199 ] to the cif file.,mp-1021278_processed.cif
mp-1021658.cif,Add one Ta atom at the Cartesian coordinate [1.87905696 4.84892411 5.74374287] to the cif file.,mp-1021658_processed.cif
mp-1021682.cif,Add one Ac atom at the Cartesian coordinate [0.14721122 5.01045417 9.3956551 ] to the cif file.,mp-1021682_processed.cif
mp-1022203.cif,Add one Rf atom at the Cartesian coordinate [0.60198981 2.14685274 3.87342454] to the cif file.,mp-1022203_processed.cif
mp-1026634.cif,Add one Tl atom at the Cartesian coordinate [-0.47141937  5.56898266  8.99888049] to the cif file.,mp-1026634_processed.cif
mp-1026773.cif,Add one Au atom at the Cartesian coordinate [-2.20492627  5.17381243  6.57974334] to the cif file.,mp-1026773_processed.cif
mp-1026775.cif,Add one La atom at the Cartesian coordinate [0.36471975 3.67748008 0.01354377] to the cif file.,mp-1026775_processed.cif
mp-1026818.cif,Add one Cf atom at the Cartesian coordinate [2.88949451 1.91456734 3.19705263] to the cif file.,mp-1026818_processed.cif
mp-1026852.cif,Add one Rh atom at the Cartesian coordinate [-0.8737028   4.13442144  8.09199178] to the cif file.,mp-1026852_processed.cif
mp-1026901.cif,Add one Os atom at the Cartesian coordinate [0.53794962 1.50666437 5.91957739] to the cif file.,mp-1026901_processed.cif
mp-1027134.cif,Add one Re atom at the Cartesian coordinate [ 2.14549062  0.79817751 27.8710987 ] to the cif file.,mp-1027134_processed.cif
mp-1027152.cif,Add one Md atom at the Cartesian coordinate [ 0.56882389  2.03739748 30.67537504] to the cif file.,mp-1027152_processed.cif
mp-1027852.cif,Add one Lu atom at the Cartesian coordinate [-0.58093353  3.52656     2.08095567] to the cif file.,mp-1027852_processed.cif
mp-1027965.cif,Add one Rb atom at the Cartesian coordinate [-0.52592591  4.22074783  6.41459411] to the cif file.,mp-1027965_processed.cif
mp-1027971.cif,Add one Rh atom at the Cartesian coordinate [3.43842301 3.21584385 1.7706856 ] to the cif file.,mp-1027971_processed.cif
mp-1028124.cif,Add one Se atom at the Cartesian coordinate [0.57697466 3.03111394 4.84075891] to the cif file.,mp-1028124_processed.cif
mp-1028136.cif,Add one Ar atom at the Cartesian coordinate [0.73774614 1.17686827 5.3941228 ] to the cif file.,mp-1028136_processed.cif
mp-1028229.cif,Add one Ce atom at the Cartesian coordinate [3.90447268 3.28868418 5.71220402] to the cif file.,mp-1028229_processed.cif
mp-1028374.cif,Add one Ti atom at the Cartesian coordinate [0.65431342 0.85701528 5.58880469] to the cif file.,mp-1028374_processed.cif
mp-1028383.cif,Add one At atom at the Cartesian coordinate [-1.34180774  2.67926227  8.19175072] to the cif file.,mp-1028383_processed.cif
mp-1028854.cif,Add one Nd atom at the Cartesian coordinate [0.2282533  2.25371479 2.00721074] to the cif file.,mp-1028854_processed.cif
mp-1029113.cif,Add one Nb atom at the Cartesian coordinate [1.2309107  2.2110882  3.72308836] to the cif file.,mp-1029113_processed.cif
mp-1029368.cif,Add one Cr atom at the Cartesian coordinate [3.81550623 2.44712865 4.58136968] to the cif file.,mp-1029368_processed.cif
mp-1031131.cif,Add one Ra atom at the Cartesian coordinate [6.40171435 4.16234825 0.79182168] to the cif file.,mp-1031131_processed.cif
mp-1032360.cif,Add one Cm atom at the Cartesian coordinate [2.96588431 1.35199725 2.62059967] to the cif file.,mp-1032360_processed.cif
mp-1033383.cif,Add one Lv atom at the Cartesian coordinate [6.91206086 2.39576355 2.08608905] to the cif file.,mp-1033383_processed.cif
mp-1034355.cif,Add one Y atom at the Cartesian coordinate [4.35942374 1.50553188 1.73428423] to the cif file.,mp-1034355_processed.cif
mp-1035597.cif,Add one N atom at the Cartesian coordinate [8.10786265 7.29797749 3.80590826] to the cif file.,mp-1035597_processed.cif
mp-1035800.cif,Add one Kr atom at the Cartesian coordinate [5.52733113 1.3575961  0.35508081] to the cif file.,mp-1035800_processed.cif
mp-1037450.cif,Add one At atom at the Cartesian coordinate [3.02465487 7.11976078 0.59744131] to the cif file.,mp-1037450_processed.cif
mp-1038247.cif,Add one Tb atom at the Cartesian coordinate [7.98736928 3.25437046 5.18827522] to the cif file.,mp-1038247_processed.cif
mp-1038590.cif,Add one Lr atom at the Cartesian coordinate [1.50125291 5.35570261 7.21648565] to the cif file.,mp-1038590_processed.cif
mp-1038638.cif,Add one Lr atom at the Cartesian coordinate [0.95791044 2.88898393 1.98428485] to the cif file.,mp-1038638_processed.cif
mp-1039951.cif,Add one Hf atom at the Cartesian coordinate [0.11026209 1.39680682 6.47111993] to the cif file.,mp-1039951_processed.cif
mp-1040370.cif,Add one Am atom at the Cartesian coordinate [2.60910306 2.7642213  6.16308522] to the cif file.,mp-1040370_processed.cif
mp-1041045.cif,Add one Pd atom at the Cartesian coordinate [13.88232925  5.00344105 12.87727794] to the cif file.,mp-1041045_processed.cif
mp-1041056.cif,Add one Sm atom at the Cartesian coordinate [2.15242199 3.3928764  4.54374151] to the cif file.,mp-1041056_processed.cif
mp-1041213.cif,Add one Ho atom at the Cartesian coordinate [7.90563189 3.74719624 1.12849406] to the cif file.,mp-1041213_processed.cif
mp-1042028.cif,Add one Th atom at the Cartesian coordinate [0.27854179 0.10015477 3.65035707] to the cif file.,mp-1042028_processed.cif
mp-1042158.cif,Add one Hg atom at the Cartesian coordinate [4.01255593 4.07605017 1.02481325] to the cif file.,mp-1042158_processed.cif
mp-1042205.cif,Add one Rn atom at the Cartesian coordinate [4.64700867 2.63709928 2.98244319] to the cif file.,mp-1042205_processed.cif
mp-1042378.cif,Add one Cs atom at the Cartesian coordinate [ 4.41824186  2.93980719 13.87410411] to the cif file.,mp-1042378_processed.cif
mp-1042415.cif,Add one Br atom at the Cartesian coordinate [1.35196384 0.57164723 2.70445873] to the cif file.,mp-1042415_processed.cif
mp-1042656.cif,Add one Pb atom at the Cartesian coordinate [3.01882658 5.90330035 5.03656128] to the cif file.,mp-1042656_processed.cif
mp-1042677.cif,Add one Cu atom at the Cartesian coordinate [-1.77040563  5.8559766   3.78205983] to the cif file.,mp-1042677_processed.cif
mp-1042685.cif,Add one Ta atom at the Cartesian coordinate [4.2064658  3.82240351 8.17358329] to the cif file.,mp-1042685_processed.cif
mp-1042896.cif,Add one Ge atom at the Cartesian coordinate [2.9587694  3.08763518 2.98343819] to the cif file.,mp-1042896_processed.cif
mp-1043828.cif,Add one Np atom at the Cartesian coordinate [5.42260609 7.93260616 4.08131047] to the cif file.,mp-1043828_processed.cif
mp-1044049.cif,Add one Li atom at the Cartesian coordinate [ 4.67648268  2.51143986 10.34173367] to the cif file.,mp-1044049_processed.cif
mp-1044636.cif,Add one Ba atom at the Cartesian coordinate [5.51596802 2.97595422 8.61940828] to the cif file.,mp-1044636_processed.cif
mp-1045786.cif,Add one Ge atom at the Cartesian coordinate [11.65385079  6.27963757  6.67915806] to the cif file.,mp-1045786_processed.cif
mp-1045992.cif,Add one Dy atom at the Cartesian coordinate [0.26881325 5.3090904  2.91544081] to the cif file.,mp-1045992_processed.cif
mp-1046286.cif,Add one Eu atom at the Cartesian coordinate [11.95383765  3.20709419  3.9488186 ] to the cif file.,mp-1046286_processed.cif
mp-1047007.cif,Add one Y atom at the Cartesian coordinate [-0.06491242  0.86272843  2.25961666] to the cif file.,mp-1047007_processed.cif
mp-1047085.cif,Add one Li atom at the Cartesian coordinate [3.97661927 1.13517515 3.1888431 ] to the cif file.,mp-1047085_processed.cif
mp-1047504.cif,Add one Rh atom at the Cartesian coordinate [1.89489435 2.22292774 1.61696746] to the cif file.,mp-1047504_processed.cif
mp-1047641.cif,Add one Yb atom at the Cartesian coordinate [-2.64226185  1.94045649  8.41358304] to the cif file.,mp-1047641_processed.cif
mp-1047798.cif,Add one Ds atom at the Cartesian coordinate [2.37229252 2.96254667 8.91096232] to the cif file.,mp-1047798_processed.cif
mp-1048141.cif,Add one Ho atom at the Cartesian coordinate [2.65832068 0.02467185 7.5195661 ] to the cif file.,mp-1048141_processed.cif
mp-1048241.cif,Add one Ga atom at the Cartesian coordinate [0.27228078 5.04935958 5.57271666] to the cif file.,mp-1048241_processed.cif
mp-1048742.cif,Add one Ti atom at the Cartesian coordinate [10.28313162  3.615084    0.4047857 ] to the cif file.,mp-1048742_processed.cif
mp-1048819.cif,Add one Sb atom at the Cartesian coordinate [3.63916602 2.28574549 5.14765944] to the cif file.,mp-1048819_processed.cif
mp-10543.cif,Add one Rf atom at the Cartesian coordinate [-0.56486821  6.01841621  4.20426866] to the cif file.,mp-10543_processed.cif
mp-1073454.cif,Add one Ag atom at the Cartesian coordinate [3.41392667 2.60852246 7.44741674] to the cif file.,mp-1073454_processed.cif
mp-1073857.cif,Add one Eu atom at the Cartesian coordinate [-0.22421507  1.42907843  4.22881395] to the cif file.,mp-1073857_processed.cif
mp-1074382.cif,Add one Bk atom at the Cartesian coordinate [ 1.50052267 -0.47230913  4.18709133] to the cif file.,mp-1074382_processed.cif
mp-1075115.cif,Add one Eu atom at the Cartesian coordinate [1.72401046 1.49762486 4.53138047] to the cif file.,mp-1075115_processed.cif
mp-1076171.cif,Add one Ga atom at the Cartesian coordinate [1.92420222 1.72877228 1.00765784] to the cif file.,mp-1076171_processed.cif
mp-1076264.cif,Add one Ba atom at the Cartesian coordinate [1.04197091 3.00848291 2.88832148] to the cif file.,mp-1076264_processed.cif
mp-1080179.cif,Add one Xe atom at the Cartesian coordinate [ 1.51087627  4.17375979 10.05696702] to the cif file.,mp-1080179_processed.cif
mp-1080349.cif,Add one Mc atom at the Cartesian coordinate [-3.38856091  0.25366734 12.29717872] to the cif file.,mp-1080349_processed.cif
mp-1080354.cif,Add one Ar atom at the Cartesian coordinate [8.2658646  6.332267   3.33220523] to the cif file.,mp-1080354_processed.cif
mp-1080713.cif,Add one Db atom at the Cartesian coordinate [1.94749107 2.38163216 0.65494821] to the cif file.,mp-1080713_processed.cif
mp-1094804.cif,Add one Hf atom at the Cartesian coordinate [2.75661551 8.71568135 3.74105304] to the cif file.,mp-1094804_processed.cif
mp-1095083.cif,Add one La atom at the Cartesian coordinate [3.63787074 2.71005803 3.31626226] to the cif file.,mp-1095083_processed.cif
mp-1095476.cif,Add one Li atom at the Cartesian coordinate [4.71248649 3.06739844 2.22340336] to the cif file.,mp-1095476_processed.cif
mp-1095575.cif,Add one Rn atom at the Cartesian coordinate [1.07197669 2.69502722 2.73691832] to the cif file.,mp-1095575_processed.cif
mp-1095585.cif,Add one Y atom at the Cartesian coordinate [2.49007743 4.12435786 7.23301146] to the cif file.,mp-1095585_processed.cif
mp-1095643.cif,Add one Pu atom at the Cartesian coordinate [3.65376666 1.34513643 0.79218352] to the cif file.,mp-1095643_processed.cif
mp-1095675.cif,Add one Ag atom at the Cartesian coordinate [2.54903005 0.813774   5.88373161] to the cif file.,mp-1095675_processed.cif
mp-1095677.cif,Add one Hf atom at the Cartesian coordinate [0.07548227 0.24435757 8.58669208] to the cif file.,mp-1095677_processed.cif
mp-1096913.cif,Add one Cl atom at the Cartesian coordinate [1.80663673 1.70748043 2.34075349] to the cif file.,mp-1096913_processed.cif
mp-1099100.cif,Add one Ga atom at the Cartesian coordinate [1.16221108 0.26232559 7.51141102] to the cif file.,mp-1099100_processed.cif
mp-1100340.cif,Add one Kr atom at the Cartesian coordinate [4.04628938 0.13387549 5.14240511] to the cif file.,mp-1100340_processed.cif
mp-1100512.cif,Add one Ni atom at the Cartesian coordinate [3.98461784 3.81820223 3.02232076] to the cif file.,mp-1100512_processed.cif
mp-1100602.cif,Add one Yb atom at the Cartesian coordinate [2.45117778 6.54251154 0.68728617] to the cif file.,mp-1100602_processed.cif
mp-1100645.cif,Add one Ds atom at the Cartesian coordinate [10.70120794  2.39262914  6.27966898] to the cif file.,mp-1100645_processed.cif
mp-1100655.cif,Add one Te atom at the Cartesian coordinate [ 4.79485919  0.4390782  15.22549192] to the cif file.,mp-1100655_processed.cif
mp-1100709.cif,Add one Nh atom at the Cartesian coordinate [1.15837    3.62222065 4.81452923] to the cif file.,mp-1100709_processed.cif
mp-1100895.cif,Add one Bh atom at the Cartesian coordinate [ 4.85325543 -0.80779349  4.05073809] to the cif file.,mp-1100895_processed.cif
mp-1101365.cif,Add one Ra atom at the Cartesian coordinate [7.02689009 4.67159967 7.55304102] to the cif file.,mp-1101365_processed.cif
mp-1101490.cif,Add one Re atom at the Cartesian coordinate [ 5.50909646  1.88375221 11.1612134 ] to the cif file.,mp-1101490_processed.cif
mp-1101729.cif,Add one Cm atom at the Cartesian coordinate [ 0.56046108  6.49262856 10.553905  ] to the cif file.,mp-1101729_processed.cif
mp-1101899.cif,Add one As atom at the Cartesian coordinate [-1.11758058  3.36303602  3.30156073] to the cif file.,mp-1101899_processed.cif
mp-1102433.cif,Add one Lu atom at the Cartesian coordinate [3.39135044 3.70594591 6.33662959] to the cif file.,mp-1102433_processed.cif
mp-1102534.cif,Add one P atom at the Cartesian coordinate [0.86279615 1.83764552 2.29346721] to the cif file.,mp-1102534_processed.cif
mp-1102795.cif,Add one Os atom at the Cartesian coordinate [1.14252135 2.35700162 4.36913757] to the cif file.,mp-1102795_processed.cif
mp-1102865.cif,Add one Lr atom at the Cartesian coordinate [4.91436745 2.45583009 1.60666425] to the cif file.,mp-1102865_processed.cif
mp-1102948.cif,Add one Zn atom at the Cartesian coordinate [0.85550667 0.73169981 6.01433154] to the cif file.,mp-1102948_processed.cif
mp-1102963.cif,Add one Nb atom at the Cartesian coordinate [2.17179189 1.02108815 1.73988549] to the cif file.,mp-1102963_processed.cif
mp-1103212.cif,Add one Tm atom at the Cartesian coordinate [0.6607142  3.56227834 4.98606367] to the cif file.,mp-1103212_processed.cif
mp-1103303.cif,Add one Ru atom at the Cartesian coordinate [ 3.03447937  3.70196402 11.19256474] to the cif file.,mp-1103303_processed.cif
mp-1103651.cif,Add one Nh atom at the Cartesian coordinate [ 0.58956326  3.89235689 12.0914098 ] to the cif file.,mp-1103651_processed.cif
mp-1104386.cif,Add one Os atom at the Cartesian coordinate [7.05952182 3.38075456 3.93307417] to the cif file.,mp-1104386_processed.cif
mp-1104404.cif,Add one Rf atom at the Cartesian coordinate [2.15269225 0.8290752  0.5335094 ] to the cif file.,mp-1104404_processed.cif
mp-1104448.cif,Add one Sr atom at the Cartesian coordinate [4.36164459 0.29518645 2.67404126] to the cif file.,mp-1104448_processed.cif
mp-1105372.cif,Add one Cm atom at the Cartesian coordinate [ 0.72778242 -1.66859728  3.23481978] to the cif file.,mp-1105372_processed.cif
mp-1105581.cif,Add one Np atom at the Cartesian coordinate [4.88596731 4.31803923 2.90701519] to the cif file.,mp-1105581_processed.cif
mp-1105587.cif,Add one Ru atom at the Cartesian coordinate [ 2.55815513 -0.05969986  0.37099402] to the cif file.,mp-1105587_processed.cif
mp-1105631.cif,Add one Po atom at the Cartesian coordinate [7.14659103 5.44274189 5.71719218] to the cif file.,mp-1105631_processed.cif
mp-1105736.cif,Add one Mn atom at the Cartesian coordinate [5.73811866 0.9979115  0.93926725] to the cif file.,mp-1105736_processed.cif
mp-1105952.cif,Add one U atom at the Cartesian coordinate [2.05435456 2.56284172 5.13870051] to the cif file.,mp-1105952_processed.cif
mp-1105985.cif,Add one Bh atom at the Cartesian coordinate [14.30058824  2.98776572  2.62039005] to the cif file.,mp-1105985_processed.cif
mp-1106159.cif,Add one Cu atom at the Cartesian coordinate [-0.17541742  0.28392909  4.63554402] to the cif file.,mp-1106159_processed.cif
mp-1110626.cif,Add one H atom at the Cartesian coordinate [5.49832218 1.55080379 0.78697364] to the cif file.,mp-1110626_processed.cif
mp-1110754.cif,Add one Th atom at the Cartesian coordinate [8.57231351 5.41383164 5.71205914] to the cif file.,mp-1110754_processed.cif
mp-1111211.cif,Add one Ca atom at the Cartesian coordinate [5.82858632 5.52911173 3.68538731] to the cif file.,mp-1111211_processed.cif
mp-1111610.cif,Add one Ta atom at the Cartesian coordinate [5.39157951 2.89829279 1.83608558] to the cif file.,mp-1111610_processed.cif
mp-1111940.cif,Add one Po atom at the Cartesian coordinate [9.81786984 6.02561738 2.76449114] to the cif file.,mp-1111940_processed.cif
mp-1112257.cif,Add one Hg atom at the Cartesian coordinate [6.11031375 3.94951668 3.05590502] to the cif file.,mp-1112257_processed.cif
mp-1112416.cif,Add one Am atom at the Cartesian coordinate [11.20433781  6.5909649   1.24658736] to the cif file.,mp-1112416_processed.cif
mp-11143.cif,Add one Dy atom at the Cartesian coordinate [3.6981082  4.70360999 2.13108369] to the cif file.,mp-11143_processed.cif
mp-11145.cif,Add one Bk atom at the Cartesian coordinate [5.95579663 4.70297753 0.42262849] to the cif file.,mp-11145_processed.cif
mp-1120749.cif,Add one In atom at the Cartesian coordinate [ 3.53823827  3.57390259 10.77119416] to the cif file.,mp-1120749_processed.cif
mp-11250.cif,Add one Ni atom at the Cartesian coordinate [0.91024686 5.36484883 2.34431472] to the cif file.,mp-11250_processed.cif
mp-1157680.cif,Add one Am atom at the Cartesian coordinate [4.37116997 5.00885249 0.32840442] to the cif file.,mp-1157680_processed.cif
mp-1173361.cif,Add one B atom at the Cartesian coordinate [1.25644827 0.71071968 4.47845228] to the cif file.,mp-1173361_processed.cif
mp-1173548.cif,Add one Pm atom at the Cartesian coordinate [1.64604328 3.91100021 1.68600164] to the cif file.,mp-1173548_processed.cif
mp-1173561.cif,Add one Ag atom at the Cartesian coordinate [4.59478387 0.89315769 7.04508947] to the cif file.,mp-1173561_processed.cif
mp-1173706.cif,Add one Mg atom at the Cartesian coordinate [0.62710407 0.81209051 5.56499639] to the cif file.,mp-1173706_processed.cif
mp-1173883.cif,Add one Fl atom at the Cartesian coordinate [1.12971534 0.74587208 1.61876855] to the cif file.,mp-1173883_processed.cif
