input_cif,action_prompt,output_cif
mp-1013842.cif,Delete all atoms below the atom at index 65 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1013842_processed.cif
mp-1015026.cif,Delete all atoms below the atom at index 11 in the cif file. Including itself and atoms with the same z coordinate.,mp-1015026_processed.cif
mp-1016569.cif,Delete all atoms below the atom at index 5 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1016569_processed.cif
mp-1016660.cif,Delete all atoms below the atom at index 1 in the cif file. Including itself and atoms with the same z coordinate.,mp-1016660_processed.cif
mp-1020181.cif,Delete all atoms below the atom at index 16 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1020181_processed.cif
mp-1020716.cif,Delete all atoms below the atom at index 52 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1020716_processed.cif
mp-1021278.cif,Delete all atoms below the atom at index 13 in the cif file. Including itself and atoms with the same z coordinate.,mp-1021278_processed.cif
mp-1021658.cif,Delete all atoms below the atom at index 8 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1021658_processed.cif
mp-1021682.cif,Delete all atoms below the atom at index 8 in the cif file. Including itself and atoms with the same z coordinate.,mp-1021682_processed.cif
mp-1022203.cif,Delete all atoms below the atom at index 5 in the cif file. Including itself and atoms with the same z coordinate.,mp-1022203_processed.cif
mp-1026634.cif,Delete all atoms below the atom at index 14 in the cif file. Including itself and atoms with the same z coordinate.,mp-1026634_processed.cif
mp-1026773.cif,Delete all atoms below the atom at index 4 in the cif file. Including itself and atoms with the same z coordinate.,mp-1026773_processed.cif
mp-1026775.cif,Delete all atoms below the atom at index 11 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1026775_processed.cif
mp-1026818.cif,Delete all atoms below the atom at index 11 in the cif file. Including itself and atoms with the same z coordinate.,mp-1026818_processed.cif
mp-1026852.cif,Delete all atoms below the atom at index 11 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1026852_processed.cif
mp-1026901.cif,Delete all atoms below the atom at index 2 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1026901_processed.cif
mp-1027134.cif,Delete all atoms below the atom at index 1 in the cif file. Including itself and atoms with the same z coordinate.,mp-1027134_processed.cif
mp-1027152.cif,Delete all atoms below the atom at index 11 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1027152_processed.cif
mp-1027852.cif,Delete all atoms below the atom at index 0 in the cif file. Including itself and atoms with the same z coordinate.,mp-1027852_processed.cif
mp-1027965.cif,Delete all atoms below the atom at index 13 in the cif file. Including itself and atoms with the same z coordinate.,mp-1027965_processed.cif
mp-1027971.cif,Delete all atoms below the atom at index 8 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1027971_processed.cif
mp-1028124.cif,Delete all atoms below the atom at index 2 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1028124_processed.cif
mp-1028136.cif,Delete all atoms below the atom at index 4 in the cif file. Including itself and atoms with the same z coordinate.,mp-1028136_processed.cif
mp-1028229.cif,Delete all atoms below the atom at index 6 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1028229_processed.cif
mp-1028374.cif,Delete all atoms below the atom at index 6 in the cif file. Including itself and atoms with the same z coordinate.,mp-1028374_processed.cif
mp-1028383.cif,Delete all atoms below the atom at index 11 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1028383_processed.cif
mp-1028854.cif,Delete all atoms below the atom at index 5 in the cif file. Excluding itself and atoms with the same z coordinate.,mp-1028854_processed.cif
