input_cif,action_prompt,output_cif
mp-1013842.cif,"Insert a H atom in the line between atoms at indices 78 and 79, and the inserted atom must be 3.38 angstrom from atom at 78 in the cif file.",mp-1013842_processed.cif
mp-1015026.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.51 angstrom from atom at 10 in the cif file.",mp-1015026_processed.cif
mp-1016569.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.83 angstrom from atom at 14 in the cif file.",mp-1016569_processed.cif
mp-1016660.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.86 angstrom from atom at 14 in the cif file.",mp-1016660_processed.cif
mp-1020181.cif,"Insert a H atom in the line between atoms at indices 38 and 39, and the inserted atom must be 2.97 angstrom from atom at 38 in the cif file.",mp-1020181_processed.cif
mp-1020716.cif,"Insert a H atom in the line between atoms at indices 74 and 75, and the inserted atom must be 4.06 angstrom from atom at 74 in the cif file.",mp-1020716_processed.cif
mp-1021278.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.83 angstrom from atom at 14 in the cif file.",mp-1021278_processed.cif
mp-1021658.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.81 angstrom from atom at 14 in the cif file.",mp-1021658_processed.cif
mp-1021682.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.81 angstrom from atom at 14 in the cif file.",mp-1021682_processed.cif
mp-1022203.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.72 angstrom from atom at 14 in the cif file.",mp-1022203_processed.cif
mp-1026634.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 4.23 angstrom from atom at 14 in the cif file.",mp-1026634_processed.cif
mp-1026773.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.04 angstrom from atom at 14 in the cif file.",mp-1026773_processed.cif
mp-1026775.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 4.18 angstrom from atom at 14 in the cif file.",mp-1026775_processed.cif
mp-1026818.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.29 angstrom from atom at 14 in the cif file.",mp-1026818_processed.cif
mp-1026852.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.37 angstrom from atom at 14 in the cif file.",mp-1026852_processed.cif
mp-1026901.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.41 angstrom from atom at 14 in the cif file.",mp-1026901_processed.cif
mp-1027134.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.37 angstrom from atom at 10 in the cif file.",mp-1027134_processed.cif
mp-1027152.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.34 angstrom from atom at 10 in the cif file.",mp-1027152_processed.cif
mp-1027852.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.38 angstrom from atom at 14 in the cif file.",mp-1027852_processed.cif
mp-1027965.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 4.18 angstrom from atom at 14 in the cif file.",mp-1027965_processed.cif
mp-1027971.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 3.80 angstrom from atom at 14 in the cif file.",mp-1027971_processed.cif
mp-1028124.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.05 angstrom from atom at 14 in the cif file.",mp-1028124_processed.cif
mp-1028136.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 3.86 angstrom from atom at 14 in the cif file.",mp-1028136_processed.cif
mp-1028229.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.24 angstrom from atom at 14 in the cif file.",mp-1028229_processed.cif
mp-1028374.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 3.78 angstrom from atom at 14 in the cif file.",mp-1028374_processed.cif
mp-1028383.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.42 angstrom from atom at 14 in the cif file.",mp-1028383_processed.cif
mp-1028854.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.35 angstrom from atom at 10 in the cif file.",mp-1028854_processed.cif
mp-1029113.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.12 angstrom from atom at 10 in the cif file.",mp-1029113_processed.cif
mp-1029368.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.56 angstrom from atom at 10 in the cif file.",mp-1029368_processed.cif
mp-1031131.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.96 angstrom from atom at 14 in the cif file.",mp-1031131_processed.cif
mp-1032360.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.02 angstrom from atom at 14 in the cif file.",mp-1032360_processed.cif
mp-1033383.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.10 angstrom from atom at 14 in the cif file.",mp-1033383_processed.cif
mp-1034355.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 2.08 angstrom from atom at 30 in the cif file.",mp-1034355_processed.cif
mp-1035597.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 1.90 angstrom from atom at 30 in the cif file.",mp-1035597_processed.cif
mp-1035800.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 1.94 angstrom from atom at 30 in the cif file.",mp-1035800_processed.cif
mp-1037450.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.93 angstrom from atom at 62 in the cif file.",mp-1037450_processed.cif
mp-1038247.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.95 angstrom from atom at 62 in the cif file.",mp-1038247_processed.cif
mp-1038590.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.94 angstrom from atom at 62 in the cif file.",mp-1038590_processed.cif
mp-1038638.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.94 angstrom from atom at 62 in the cif file.",mp-1038638_processed.cif
mp-1039951.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.98 angstrom from atom at 62 in the cif file.",mp-1039951_processed.cif
mp-1040370.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 1.94 angstrom from atom at 62 in the cif file.",mp-1040370_processed.cif
mp-1041045.cif,"Insert a H atom in the line between atoms at indices 50 and 51, and the inserted atom must be 1.52 angstrom from atom at 50 in the cif file.",mp-1041045_processed.cif
mp-1041056.cif,"Insert a H atom in the line between atoms at indices 50 and 51, and the inserted atom must be 4.40 angstrom from atom at 50 in the cif file.",mp-1041056_processed.cif
mp-1041213.cif,"Insert a H atom in the line between atoms at indices 40 and 41, and the inserted atom must be 1.70 angstrom from atom at 40 in the cif file.",mp-1041213_processed.cif
mp-1042028.cif,"Insert a H atom in the line between atoms at indices 12 and 13, and the inserted atom must be 2.49 angstrom from atom at 12 in the cif file.",mp-1042028_processed.cif
mp-1042158.cif,"Insert a H atom in the line between atoms at indices 26 and 27, and the inserted atom must be 2.06 angstrom from atom at 26 in the cif file.",mp-1042158_processed.cif
mp-1042205.cif,"Insert a H atom in the line between atoms at indices 22 and 23, and the inserted atom must be 2.24 angstrom from atom at 22 in the cif file.",mp-1042205_processed.cif
mp-1042378.cif,"Insert a H atom in the line between atoms at indices 54 and 55, and the inserted atom must be 3.77 angstrom from atom at 54 in the cif file.",mp-1042378_processed.cif
mp-1042415.cif,"Insert a H atom in the line between atoms at indices 62 and 63, and the inserted atom must be 3.77 angstrom from atom at 62 in the cif file.",mp-1042415_processed.cif
mp-1042656.cif,"Insert a H atom in the line between atoms at indices 20 and 21, and the inserted atom must be 3.99 angstrom from atom at 20 in the cif file.",mp-1042656_processed.cif
mp-1042677.cif,"Insert a H atom in the line between atoms at indices 35 and 36, and the inserted atom must be 2.77 angstrom from atom at 35 in the cif file.",mp-1042677_processed.cif
mp-1042685.cif,"Insert a H atom in the line between atoms at indices 86 and 87, and the inserted atom must be 3.65 angstrom from atom at 86 in the cif file.",mp-1042685_processed.cif
mp-1042896.cif,"Insert a H atom in the line between atoms at indices 16 and 17, and the inserted atom must be 3.50 angstrom from atom at 16 in the cif file.",mp-1042896_processed.cif
mp-1043828.cif,"Insert a H atom in the line between atoms at indices 34 and 35, and the inserted atom must be 1.30 angstrom from atom at 34 in the cif file.",mp-1043828_processed.cif
mp-1044049.cif,"Insert a H atom in the line between atoms at indices 42 and 43, and the inserted atom must be 4.87 angstrom from atom at 42 in the cif file.",mp-1044049_processed.cif
mp-1044636.cif,"Insert a H atom in the line between atoms at indices 47 and 48, and the inserted atom must be 2.48 angstrom from atom at 47 in the cif file.",mp-1044636_processed.cif
mp-1045786.cif,"Insert a H atom in the line between atoms at indices 34 and 35, and the inserted atom must be 1.28 angstrom from atom at 34 in the cif file.",mp-1045786_processed.cif
mp-1045992.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.60 angstrom from atom at 14 in the cif file.",mp-1045992_processed.cif
mp-1046286.cif,"Insert a H atom in the line between atoms at indices 24 and 25, and the inserted atom must be 5.65 angstrom from atom at 24 in the cif file.",mp-1046286_processed.cif
mp-1047007.cif,"Insert a H atom in the line between atoms at indices 12 and 13, and the inserted atom must be 3.06 angstrom from atom at 12 in the cif file.",mp-1047007_processed.cif
mp-1047085.cif,"Insert a H atom in the line between atoms at indices 22 and 23, and the inserted atom must be 5.74 angstrom from atom at 22 in the cif file.",mp-1047085_processed.cif
mp-1047504.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 1.29 angstrom from atom at 8 in the cif file.",mp-1047504_processed.cif
mp-1047641.cif,"Insert a H atom in the line between atoms at indices 12 and 13, and the inserted atom must be 2.21 angstrom from atom at 12 in the cif file.",mp-1047641_processed.cif
mp-1047798.cif,"Insert a H atom in the line between atoms at indices 46 and 47, and the inserted atom must be 3.82 angstrom from atom at 46 in the cif file.",mp-1047798_processed.cif
mp-1048141.cif,"Insert a H atom in the line between atoms at indices 24 and 25, and the inserted atom must be 2.61 angstrom from atom at 24 in the cif file.",mp-1048141_processed.cif
mp-1048241.cif,"Insert a H atom in the line between atoms at indices 28 and 29, and the inserted atom must be 2.79 angstrom from atom at 28 in the cif file.",mp-1048241_processed.cif
mp-1048742.cif,"Insert a H atom in the line between atoms at indices 24 and 25, and the inserted atom must be 2.52 angstrom from atom at 24 in the cif file.",mp-1048742_processed.cif
mp-1048819.cif,"Insert a H atom in the line between atoms at indices 38 and 39, and the inserted atom must be 4.54 angstrom from atom at 38 in the cif file.",mp-1048819_processed.cif
mp-10543.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.32 angstrom from atom at 14 in the cif file.",mp-10543_processed.cif
mp-1073454.cif,"Insert a H atom in the line between atoms at indices 22 and 23, and the inserted atom must be 2.48 angstrom from atom at 22 in the cif file.",mp-1073454_processed.cif
mp-1073857.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.09 angstrom from atom at 10 in the cif file.",mp-1073857_processed.cif
mp-1074382.cif,"Insert a H atom in the line between atoms at indices 12 and 13, and the inserted atom must be 2.67 angstrom from atom at 12 in the cif file.",mp-1074382_processed.cif
mp-1075115.cif,"Insert a H atom in the line between atoms at indices 12 and 13, and the inserted atom must be 2.63 angstrom from atom at 12 in the cif file.",mp-1075115_processed.cif
mp-1076171.cif,"Insert a H atom in the line between atoms at indices 38 and 39, and the inserted atom must be 1.71 angstrom from atom at 38 in the cif file.",mp-1076171_processed.cif
mp-1076264.cif,"Insert a H atom in the line between atoms at indices 38 and 39, and the inserted atom must be 1.67 angstrom from atom at 38 in the cif file.",mp-1076264_processed.cif
mp-1080179.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 3.79 angstrom from atom at 8 in the cif file.",mp-1080179_processed.cif
mp-1080349.cif,"Insert a H atom in the line between atoms at indices 16 and 17, and the inserted atom must be 4.41 angstrom from atom at 16 in the cif file.",mp-1080349_processed.cif
mp-1080354.cif,"Insert a H atom in the line between atoms at indices 22 and 23, and the inserted atom must be 2.66 angstrom from atom at 22 in the cif file.",mp-1080354_processed.cif
mp-1080713.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 2.31 angstrom from atom at 8 in the cif file.",mp-1080713_processed.cif
mp-1094804.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.43 angstrom from atom at 10 in the cif file.",mp-1094804_processed.cif
mp-1095083.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 2.66 angstrom from atom at 8 in the cif file.",mp-1095083_processed.cif
mp-1095476.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.09 angstrom from atom at 10 in the cif file.",mp-1095476_processed.cif
mp-1095575.cif,"Insert a H atom in the line between atoms at indices 9 and 10, and the inserted atom must be 3.46 angstrom from atom at 9 in the cif file.",mp-1095575_processed.cif
mp-1095585.cif,"Insert a H atom in the line between atoms at indices 9 and 10, and the inserted atom must be 2.02 angstrom from atom at 9 in the cif file.",mp-1095585_processed.cif
mp-1095643.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.08 angstrom from atom at 10 in the cif file.",mp-1095643_processed.cif
mp-1095675.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 3.93 angstrom from atom at 10 in the cif file.",mp-1095675_processed.cif
mp-1095677.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 3.94 angstrom from atom at 10 in the cif file.",mp-1095677_processed.cif
mp-1096913.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.80 angstrom from atom at 10 in the cif file.",mp-1096913_processed.cif
mp-1099100.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 2.80 angstrom from atom at 14 in the cif file.",mp-1099100_processed.cif
mp-1100340.cif,"Insert a H atom in the line between atoms at indices 18 and 19, and the inserted atom must be 3.40 angstrom from atom at 18 in the cif file.",mp-1100340_processed.cif
mp-1100512.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 1.39 angstrom from atom at 30 in the cif file.",mp-1100512_processed.cif
mp-1100602.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 2.35 angstrom from atom at 30 in the cif file.",mp-1100602_processed.cif
mp-1100645.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 3.74 angstrom from atom at 30 in the cif file.",mp-1100645_processed.cif
mp-1100655.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 3.72 angstrom from atom at 30 in the cif file.",mp-1100655_processed.cif
mp-1100709.cif,"Insert a H atom in the line between atoms at indices 9 and 10, and the inserted atom must be 2.01 angstrom from atom at 9 in the cif file.",mp-1100709_processed.cif
mp-1100895.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 1.94 angstrom from atom at 30 in the cif file.",mp-1100895_processed.cif
mp-1101365.cif,"Insert a H atom in the line between atoms at indices 79 and 80, and the inserted atom must be 1.13 angstrom from atom at 79 in the cif file.",mp-1101365_processed.cif
mp-1101490.cif,"Insert a H atom in the line between atoms at indices 67 and 68, and the inserted atom must be 4.01 angstrom from atom at 67 in the cif file.",mp-1101490_processed.cif
mp-1101729.cif,"Insert a H atom in the line between atoms at indices 66 and 67, and the inserted atom must be 1.14 angstrom from atom at 66 in the cif file.",mp-1101729_processed.cif
mp-1101899.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 2.11 angstrom from atom at 10 in the cif file.",mp-1101899_processed.cif
mp-1102433.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.36 angstrom from atom at 10 in the cif file.",mp-1102433_processed.cif
mp-1102534.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.52 angstrom from atom at 10 in the cif file.",mp-1102534_processed.cif
mp-1102795.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.81 angstrom from atom at 10 in the cif file.",mp-1102795_processed.cif
mp-1102865.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.69 angstrom from atom at 10 in the cif file.",mp-1102865_processed.cif
mp-1102948.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.30 angstrom from atom at 10 in the cif file.",mp-1102948_processed.cif
mp-1102963.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.24 angstrom from atom at 10 in the cif file.",mp-1102963_processed.cif
mp-1103212.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 1.24 angstrom from atom at 10 in the cif file.",mp-1103212_processed.cif
mp-1103303.cif,"Insert a H atom in the line between atoms at indices 9 and 10, and the inserted atom must be 2.25 angstrom from atom at 9 in the cif file.",mp-1103303_processed.cif
mp-1103651.cif,"Insert a H atom in the line between atoms at indices 10 and 11, and the inserted atom must be 4.13 angstrom from atom at 10 in the cif file.",mp-1103651_processed.cif
mp-1104386.cif,"Insert a H atom in the line between atoms at indices 11 and 12, and the inserted atom must be 1.54 angstrom from atom at 11 in the cif file.",mp-1104386_processed.cif
mp-1104404.cif,"Insert a H atom in the line between atoms at indices 13 and 14, and the inserted atom must be 1.77 angstrom from atom at 13 in the cif file.",mp-1104404_processed.cif
mp-1104448.cif,"Insert a H atom in the line between atoms at indices 26 and 27, and the inserted atom must be 2.48 angstrom from atom at 26 in the cif file.",mp-1104448_processed.cif
mp-1105372.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 1.98 angstrom from atom at 14 in the cif file.",mp-1105372_processed.cif
mp-1105581.cif,"Insert a H atom in the line between atoms at indices 14 and 15, and the inserted atom must be 3.09 angstrom from atom at 14 in the cif file.",mp-1105581_processed.cif
mp-1105587.cif,"Insert a H atom in the line between atoms at indices 18 and 19, and the inserted atom must be 2.60 angstrom from atom at 18 in the cif file.",mp-1105587_processed.cif
mp-1105631.cif,"Insert a H atom in the line between atoms at indices 18 and 19, and the inserted atom must be 3.14 angstrom from atom at 18 in the cif file.",mp-1105631_processed.cif
mp-1105736.cif,"Insert a H atom in the line between atoms at indices 18 and 19, and the inserted atom must be 1.02 angstrom from atom at 18 in the cif file.",mp-1105736_processed.cif
mp-1105952.cif,"Insert a H atom in the line between atoms at indices 30 and 31, and the inserted atom must be 2.50 angstrom from atom at 30 in the cif file.",mp-1105952_processed.cif
mp-1105985.cif,"Insert a H atom in the line between atoms at indices 17 and 18, and the inserted atom must be 9.82 angstrom from atom at 17 in the cif file.",mp-1105985_processed.cif
mp-1106159.cif,"Insert a H atom in the line between atoms at indices 18 and 19, and the inserted atom must be 2.23 angstrom from atom at 18 in the cif file.",mp-1106159_processed.cif
mp-1110626.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 1.63 angstrom from atom at 8 in the cif file.",mp-1110626_processed.cif
mp-1110754.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 2.06 angstrom from atom at 8 in the cif file.",mp-1110754_processed.cif
mp-1111211.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 2.06 angstrom from atom at 8 in the cif file.",mp-1111211_processed.cif
mp-1111610.cif,"Insert a H atom in the line between atoms at indices 8 and 9, and the inserted atom must be 2.20 angstrom from atom at 8 in the cif file.",mp-1111610_processed.cif
