input_cif,action_prompt,output_cif
mp-1025309-Cmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.18 angstrom from atom at 3 in the cif file.",mp-1025309-Cmmm_processed.cif
mp-1029375-R-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 4.76 angstrom from atom at 3 in the cif file.",mp-1029375-R-3m_processed.cif
mp-1031408-P4_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.38 angstrom from atom at 3 in the cif file.",mp-1031408-P4_mmm_processed.cif
mp-1031502-P4_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.41 angstrom from atom at 3 in the cif file.",mp-1031502-P4_mmm_processed.cif
mp-1031846-P4_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.38 angstrom from atom at 3 in the cif file.",mp-1031846-P4_mmm_processed.cif
mp-1033178-P4_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.42 angstrom from atom at 3 in the cif file.",mp-1033178-P4_mmm_processed.cif
mp-10412-C2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 4.31 angstrom from atom at 3 in the cif file.",mp-10412-C2_m_processed.cif
mp-1048073-Pmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.96 angstrom from atom at 3 in the cif file.",mp-1048073-Pmmm_processed.cif
mp-1048438-P4_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 3.76 angstrom from atom at 3 in the cif file.",mp-1048438-P4_mmm_processed.cif
mp-1061772-Fmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.53 angstrom from atom at 3 in the cif file.",mp-1061772-Fmmm_processed.cif
mp-1072544-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.81 angstrom from atom at 3 in the cif file.",mp-1072544-Im-3m_processed.cif
mp-1078874-C2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 3.23 angstrom from atom at 3 in the cif file.",mp-1078874-C2_m_processed.cif
mp-1079090-Cmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.64 angstrom from atom at 3 in the cif file.",mp-1079090-Cmmm_processed.cif
mp-10811-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.42 angstrom from atom at 3 in the cif file.",mp-10811-Im-3m_processed.cif
mp-1100903-Cmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.56 angstrom from atom at 3 in the cif file.",mp-1100903-Cmmm_processed.cif
mp-1102981-Pm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.55 angstrom from atom at 3 in the cif file.",mp-1102981-Pm-3m_processed.cif
mp-1103182-C2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 3.58 angstrom from atom at 3 in the cif file.",mp-1103182-C2_m_processed.cif
mp-1103521-Pm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.63 angstrom from atom at 3 in the cif file.",mp-1103521-Pm-3m_processed.cif
mp-1104461-Pm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.45 angstrom from atom at 3 in the cif file.",mp-1104461-Pm-3m_processed.cif
mp-1104485-Immm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.44 angstrom from atom at 3 in the cif file.",mp-1104485-Immm_processed.cif
mp-1105019-Pm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.45 angstrom from atom at 3 in the cif file.",mp-1105019-Pm-3m_processed.cif
mp-1105031-P6_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.10 angstrom from atom at 3 in the cif file.",mp-1105031-P6_mmm_processed.cif
mp-1105655-Pm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.11 angstrom from atom at 3 in the cif file.",mp-1105655-Pm-3m_processed.cif
mp-1105707-P6_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.10 angstrom from atom at 3 in the cif file.",mp-1105707-P6_mmm_processed.cif
mp-1105905-P6_mmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.36 angstrom from atom at 3 in the cif file.",mp-1105905-P6_mmm_processed.cif
mp-1106295-C2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 3.03 angstrom from atom at 3 in the cif file.",mp-1106295-C2_m_processed.cif
mp-1147529-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.80 angstrom from atom at 3 in the cif file.",mp-1147529-Im-3m_processed.cif
mp-1147645-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.53 angstrom from atom at 3 in the cif file.",mp-1147645-Im-3m_processed.cif
mp-1147678-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.73 angstrom from atom at 3 in the cif file.",mp-1147678-Im-3m_processed.cif
mp-1147711-Im-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.61 angstrom from atom at 3 in the cif file.",mp-1147711-Im-3m_processed.cif
mp-1173109-Cmmm.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.60 angstrom from atom at 3 in the cif file.",mp-1173109-Cmmm_processed.cif
mp-1173916-P-1.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.35 angstrom from atom at 3 in the cif file.",mp-1173916-P-1_processed.cif
mp-1173971-P-1.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.36 angstrom from atom at 3 in the cif file.",mp-1173971-P-1_processed.cif
mp-1173996-P2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.31 angstrom from atom at 3 in the cif file.",mp-1173996-P2_m_processed.cif
mp-1174004-P2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.29 angstrom from atom at 3 in the cif file.",mp-1174004-P2_m_processed.cif
mp-1175293-P2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 2.24 angstrom from atom at 3 in the cif file.",mp-1175293-P2_m_processed.cif
mp-1180197-P2_m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.64 angstrom from atom at 3 in the cif file.",mp-1180197-P2_m_processed.cif
mp-1185958-Fm-3m.cif,"Insert a H atom in the line between atoms at indices 3 and 5, and the inserted atom must be 1.45 angstrom from atom at 3 in the cif file.",mp-1185958-Fm-3m_processed.cif
