input_cif,action_prompt,output_cif
mp-1013842.cif,Move the all the atoms in the structure by [ 1.69091132  0.05040677 -3.20704228] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1013842_processed.cif
mp-1015026.cif,Move the all the atoms in the structure by [-2.13401991 -3.8581977  -7.51857564] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1015026_processed.cif
mp-1016569.cif,Move the all the atoms in the structure by [-2.92219858  0.87642256 -3.42069613] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1016569_processed.cif
mp-1016660.cif,Move the all the atoms in the structure by [3.12856049 5.57698418 2.02318261] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1016660_processed.cif
mp-1020181.cif,Move the all the atoms in the structure by [-2.45480342  2.82283191 -0.81341172] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1020181_processed.cif
mp-1020716.cif,Move the all the atoms in the structure by [-1.88144164  0.03711801  0.47060461] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1020716_processed.cif
mp-1021278.cif,Move the all the atoms in the structure by [-1.02634703  0.21158995  1.64022218] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1021278_processed.cif
mp-1021658.cif,Move the all the atoms in the structure by [-1.40303417 -3.88079286 -2.21736127] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1021658_processed.cif
mp-1021682.cif,Move the all the atoms in the structure by [-1.58195876 -2.33029907 -3.21903108] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1021682_processed.cif
mp-1022203.cif,Move the all the atoms in the structure by [-1.71108663 -1.91659419 -2.03822634] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1022203_processed.cif
mp-1026634.cif,Move the all the atoms in the structure by [0.11859562 0.0257443  0.00995181] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026634_processed.cif
mp-1026773.cif,Move the all the atoms in the structure by [ 0.53093029  2.04754244 -0.57205099] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026773_processed.cif
mp-1026775.cif,Move the all the atoms in the structure by [ 1.04804573 -0.13102326 -0.83070995] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026775_processed.cif
mp-1026818.cif,Move the all the atoms in the structure by [-2.048001    1.04765     0.42144424] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026818_processed.cif
mp-1026852.cif,Move the all the atoms in the structure by [ 0.73050405  3.65951579 -2.06960744] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026852_processed.cif
mp-1026901.cif,Move the all the atoms in the structure by [-1.08423947  2.80061204  1.46303071] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1026901_processed.cif
mp-1027134.cif,Move the all the atoms in the structure by [1.44986704 2.3499551  0.994057  ] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1027134_processed.cif
mp-1027152.cif,Move the all the atoms in the structure by [ 3.0292057  0.6280567 -3.7793656] angstrom in the cif file. Do not need to consider periodic boundary conditions. Please keep the cell and the order of atoms unchanged.,mp-1027152_processed.cif
