input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Delete all atoms below the atom at index 14 in the cif file. Including itself.,mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Delete all atoms below the atom at index 6 in the cif file. Including itself.,mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Delete all atoms below the atom at index 6 in the cif file. Including itself.,mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Delete all atoms below the atom at index 6 in the cif file. Excluding itself.,mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Delete all atoms below the atom at index 30 in the cif file. Excluding itself.,mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Delete all atoms below the atom at index 6 in the cif file. Excluding itself.,mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Delete all atoms below the atom at index 8 in the cif file. Excluding itself.,mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Delete all atoms below the atom at index 4 in the cif file. Excluding itself.,mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Delete all atoms below the atom at index 13 in the cif file. Excluding itself.,mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Delete all atoms below the atom at index 12 in the cif file. Including itself.,mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Delete all atoms below the atom at index 14 in the cif file. Excluding itself.,mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Delete all atoms below the atom at index 13 in the cif file. Excluding itself.,mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Delete all atoms below the atom at index 13 in the cif file. Excluding itself.,mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Delete all atoms below the atom at index 12 in the cif file. Excluding itself.,mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Delete all atoms below the atom at index 7 in the cif file. Including itself.,mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Delete all atoms below the atom at index 4 in the cif file. Including itself.,mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Delete all atoms below the atom at index 5 in the cif file. Including itself.,mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Delete all atoms below the atom at index 6 in the cif file. Excluding itself.,mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Delete all atoms below the atom at index 12 in the cif file. Excluding itself.,mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Delete all atoms below the atom at index 8 in the cif file. Including itself.,mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Delete all atoms below the atom at index 10 in the cif file. Excluding itself.,mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Delete all atoms below the atom at index 15 in the cif file. Including itself.,mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Delete all atoms below the atom at index 10 in the cif file. Excluding itself.,mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Delete all atoms below the atom at index 15 in the cif file. Excluding itself.,mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Delete all atoms below the atom at index 4 in the cif file. Excluding itself.,mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Delete all atoms below the atom at index 0 in the cif file. Excluding itself.,mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Delete all atoms below the atom at index 9 in the cif file. Excluding itself.,mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Delete all atoms below the atom at index 0 in the cif file. Including itself.,mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Delete all atoms below the atom at index 8 in the cif file. Excluding itself.,mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Delete all atoms below the atom at index 1 in the cif file. Including itself.,mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Delete all atoms below the atom at index 3 in the cif file. Including itself.,mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Delete all atoms below the atom at index 3 in the cif file. Excluding itself.,mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Delete all atoms below the atom at index 22 in the cif file. Excluding itself.,mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Delete all atoms below the atom at index 4 in the cif file. Excluding itself.,mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Delete all atoms below the atom at index 3 in the cif file. Excluding itself.,mp-1035800_processed.cif
input_cifs\mp-1037450.cif,Delete all atoms below the atom at index 55 in the cif file. Including itself.,mp-1037450_processed.cif
input_cifs\mp-1038247.cif,Delete all atoms below the atom at index 27 in the cif file. Including itself.,mp-1038247_processed.cif
input_cifs\mp-1038590.cif,Delete all atoms below the atom at index 62 in the cif file. Including itself.,mp-1038590_processed.cif
input_cifs\mp-1038638.cif,Delete all atoms below the atom at index 23 in the cif file. Excluding itself.,mp-1038638_processed.cif
input_cifs\mp-1039951.cif,Delete all atoms below the atom at index 50 in the cif file. Including itself.,mp-1039951_processed.cif
input_cifs\mp-1040370.cif,Delete all atoms below the atom at index 40 in the cif file. Excluding itself.,mp-1040370_processed.cif
input_cifs\mp-1041045.cif,Delete all atoms below the atom at index 4 in the cif file. Excluding itself.,mp-1041045_processed.cif
input_cifs\mp-1041056.cif,Delete all atoms below the atom at index 22 in the cif file. Including itself.,mp-1041056_processed.cif
input_cifs\mp-1041213.cif,Delete all atoms below the atom at index 13 in the cif file. Excluding itself.,mp-1041213_processed.cif
input_cifs\mp-1042028.cif,Delete all atoms below the atom at index 13 in the cif file. Excluding itself.,mp-1042028_processed.cif
input_cifs\mp-1042158.cif,Delete all atoms below the atom at index 13 in the cif file. Including itself.,mp-1042158_processed.cif
input_cifs\mp-1042205.cif,Delete all atoms below the atom at index 4 in the cif file. Including itself.,mp-1042205_processed.cif
