input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Move the atom at index 26 by [-0.42534057 -1.04613884  0.57601517] in the cif file.,mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Move the atom at index 0 by [-3.0680623  -3.1860171  -4.43249478] in the cif file.,mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Move the atom at index 14 by [-2.11098507  1.5577528   1.9393126 ] in the cif file.,mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Move the atom at index 13 by [-2.02563166 -2.66822868  0.8077188 ] in the cif file.,mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Move the atom at index 35 by [ 0.07680431 -1.77203045  1.90593404] in the cif file.,mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Move the atom at index 64 by [-0.54224924 -0.60563004  1.24339097] in the cif file.,mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Move the atom at index 10 by [-0.24173065 -0.49108029  0.36833059] in the cif file.,mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Move the atom at index 2 by [-2.43669863 -0.27272883  0.06671027] in the cif file.,mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Move the atom at index 9 by [-0.98102859  1.14336647  1.26874121] in the cif file.,mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Move the atom at index 15 by [ 3.83438269 -0.79010018 -0.56367364] in the cif file.,mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Move the atom at index 6 by [ 0.43834668 -1.46649305  1.38971277] in the cif file.,mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Move the atom at index 0 by [-3.78758573 -0.5205266   0.34318877] in the cif file.,mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Move the atom at index 2 by [-0.15434411  1.21680366 -1.61924021] in the cif file.,mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Move the atom at index 13 by [2.12217697 3.79906658 3.78745672] in the cif file.,mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Move the atom at index 4 by [ 2.12538415 -1.20572573 -0.41396518] in the cif file.,mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Move the atom at index 13 by [2.05192648 1.24840803 3.53645853] in the cif file.,mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Move the atom at index 5 by [ 2.30919617 -1.4363292   1.53763842] in the cif file.,mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Move the atom at index 2 by [-0.71860734 -1.34786334 -2.9312356 ] in the cif file.,mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Move the atom at index 3 by [-3.2938335  -0.03051961 -3.92237078] in the cif file.,mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Move the atom at index 14 by [3.69825496 0.97857739 0.51320115] in the cif file.,mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Move the atom at index 13 by [ 0.57434854 -1.50941591  1.31244165] in the cif file.,mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Move the atom at index 6 by [ 2.02838108  2.01162965 -0.51802048] in the cif file.,mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Move the atom at index 14 by [ 2.90640108  1.09255922 -4.17784491] in the cif file.,mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Move the atom at index 10 by [-1.00072229  1.14019909 -1.91987493] in the cif file.,mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Move the atom at index 12 by [-2.74047803  2.50234032 -2.13746816] in the cif file.,mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Move the atom at index 14 by [-3.35821452 -1.06490352  1.43659396] in the cif file.,mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Move the atom at index 2 by [ 2.39543509 -2.22155621  3.57971952] in the cif file.,mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Move the atom at index 1 by [-2.63864658  4.59147862  0.12199726] in the cif file.,mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Move the atom at index 2 by [0.30612078 1.71733078 1.1240081 ] in the cif file.,mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Move the atom at index 14 by [-2.41972583  4.64596543  0.98009111] in the cif file.,mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Move the atom at index 4 by [ 3.00039753 -2.61578981  0.48737252] in the cif file.,mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Move the atom at index 15 by [-1.86479927  1.50954904 -0.68864785] in the cif file.,mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Move the atom at index 23 by [ 3.22562805 -2.80136527  1.33729856] in the cif file.,mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Move the atom at index 21 by [-0.0900749  -0.92408347  0.00587615] in the cif file.,mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Move the atom at index 28 by [ 1.37351037 -0.10140717  0.51314022] in the cif file.,mp-1035800_processed.cif
input_cifs\mp-1037450.cif,Move the atom at index 10 by [-1.9527897   2.13517533 -4.94391545] in the cif file.,mp-1037450_processed.cif
input_cifs\mp-1038247.cif,Move the atom at index 26 by [ 2.41922272 -1.85900673  2.00271739] in the cif file.,mp-1038247_processed.cif
input_cifs\mp-1038590.cif,Move the atom at index 12 by [1.08166951 0.29177969 1.39222033] in the cif file.,mp-1038590_processed.cif
input_cifs\mp-1038638.cif,Move the atom at index 15 by [ 0.46672547 -1.55990597 -1.2127607 ] in the cif file.,mp-1038638_processed.cif
input_cifs\mp-1039951.cif,Move the atom at index 27 by [ 2.26429686 -1.60468002 -1.20155796] in the cif file.,mp-1039951_processed.cif
input_cifs\mp-1040370.cif,Move the atom at index 11 by [-2.4956578  -3.33706531  0.36517311] in the cif file.,mp-1040370_processed.cif
input_cifs\mp-1041045.cif,Move the atom at index 46 by [ 0.74523097  2.3236748  -0.25288563] in the cif file.,mp-1041045_processed.cif
input_cifs\mp-1041056.cif,Move the atom at index 41 by [-1.33237154 -1.70671012  1.30839416] in the cif file.,mp-1041056_processed.cif
input_cifs\mp-1041213.cif,Move the atom at index 5 by [-0.38651467  3.19717036  0.69652677] in the cif file.,mp-1041213_processed.cif
input_cifs\mp-1042028.cif,Move the atom at index 4 by [-0.51955594  0.9891226   0.76259267] in the cif file.,mp-1042028_processed.cif
input_cifs\mp-1042158.cif,Move the atom at index 8 by [-2.17736863 -1.45476858 -1.61016746] in the cif file.,mp-1042158_processed.cif
input_cifs\mp-1042205.cif,Move the atom at index 23 by [-0.18854007  0.1672933   0.23978346] in the cif file.,mp-1042205_processed.cif
input_cifs\mp-1042378.cif,Move the atom at index 16 by [ 0.48185015 -2.59139751  0.0324198 ] in the cif file.,mp-1042378_processed.cif
input_cifs\mp-1042415.cif,Move the atom at index 27 by [0.76314279 2.27294759 3.89396334] in the cif file.,mp-1042415_processed.cif
input_cifs\mp-1042656.cif,Move the atom at index 7 by [-1.25080381 -2.4222542  -0.99722278] in the cif file.,mp-1042656_processed.cif
input_cifs\mp-1042677.cif,Move the atom at index 11 by [-0.26523157  2.05437385 -1.40787087] in the cif file.,mp-1042677_processed.cif
input_cifs\mp-1042685.cif,Move the atom at index 43 by [-1.71795536  1.58990806 -5.19182836] in the cif file.,mp-1042685_processed.cif
input_cifs\mp-1042896.cif,Move the atom at index 13 by [-2.23775383  1.59135882 -0.79909591] in the cif file.,mp-1042896_processed.cif
input_cifs\mp-1043828.cif,Move the atom at index 9 by [ 0.9479725  -1.92531253 -3.12055083] in the cif file.,mp-1043828_processed.cif
input_cifs\mp-1044049.cif,Move the atom at index 1 by [-1.76024491 -2.62550714  4.17722582] in the cif file.,mp-1044049_processed.cif
input_cifs\mp-1044636.cif,Move the atom at index 24 by [4.8186305  2.26342724 3.37900702] in the cif file.,mp-1044636_processed.cif
input_cifs\mp-1045786.cif,Move the atom at index 9 by [-5.00129894 -0.74931408  2.66521437] in the cif file.,mp-1045786_processed.cif
input_cifs\mp-1045992.cif,Move the atom at index 5 by [0.94908309 1.15217482 1.47231579] in the cif file.,mp-1045992_processed.cif
input_cifs\mp-1046286.cif,Move the atom at index 2 by [-2.29259938 -3.61862604  0.04110196] in the cif file.,mp-1046286_processed.cif
input_cifs\mp-1047007.cif,Move the atom at index 11 by [-0.70557537 -0.73861556 -2.88931521] in the cif file.,mp-1047007_processed.cif
input_cifs\mp-1047085.cif,Move the atom at index 22 by [0.1923934  1.56167045 0.88269588] in the cif file.,mp-1047085_processed.cif
input_cifs\mp-1047504.cif,Move the atom at index 3 by [ 2.33752404 -3.94289511  4.5388498 ] in the cif file.,mp-1047504_processed.cif
input_cifs\mp-1047641.cif,Move the atom at index 0 by [-0.10997611 -0.96740731 -3.24027115] in the cif file.,mp-1047641_processed.cif
input_cifs\mp-1047798.cif,Move the atom at index 45 by [-0.21766999 -3.15833785 -1.55527402] in the cif file.,mp-1047798_processed.cif
input_cifs\mp-1048141.cif,Move the atom at index 2 by [ 2.50976631  1.70898482 -0.49020909] in the cif file.,mp-1048141_processed.cif
input_cifs\mp-1048241.cif,Move the atom at index 12 by [ 0.69402962 -0.913183    1.57553265] in the cif file.,mp-1048241_processed.cif
input_cifs\mp-1048742.cif,Move the atom at index 13 by [-1.52415589  1.114366    1.95869889] in the cif file.,mp-1048742_processed.cif
input_cifs\mp-1048819.cif,Move the atom at index 11 by [ 1.76422979 -0.9648629   0.37498389] in the cif file.,mp-1048819_processed.cif
input_cifs\mp-10543.cif,Move the atom at index 9 by [-0.0445689   0.51256383 -1.78200051] in the cif file.,mp-10543_processed.cif
input_cifs\mp-1073454.cif,Move the atom at index 22 by [ 1.01715076  0.59264824 -0.67518487] in the cif file.,mp-1073454_processed.cif
input_cifs\mp-1073857.cif,Move the atom at index 8 by [ 0.34681988 -0.3556745  -0.10510016] in the cif file.,mp-1073857_processed.cif
input_cifs\mp-1074382.cif,Move the atom at index 10 by [1.62956539 1.58334498 2.28794163] in the cif file.,mp-1074382_processed.cif
input_cifs\mp-1075115.cif,Move the atom at index 7 by [-1.86349138 -1.29514947  0.07438227] in the cif file.,mp-1075115_processed.cif
input_cifs\mp-1076171.cif,Move the atom at index 17 by [3.95359435 4.42784931 1.13115702] in the cif file.,mp-1076171_processed.cif
input_cifs\mp-1076264.cif,Move the atom at index 14 by [-0.08620445  1.04054081 -1.73110353] in the cif file.,mp-1076264_processed.cif
input_cifs\mp-1080179.cif,Move the atom at index 2 by [-1.91465328  1.14976683 -0.96959882] in the cif file.,mp-1080179_processed.cif
input_cifs\mp-1080349.cif,Move the atom at index 7 by [-3.00974788 -2.78687804 -2.93535156] in the cif file.,mp-1080349_processed.cif
input_cifs\mp-1080354.cif,Move the atom at index 21 by [ 1.40263846 -1.24558755  0.24815652] in the cif file.,mp-1080354_processed.cif
input_cifs\mp-1080713.cif,Move the atom at index 7 by [ 1.5184494  -0.91191232 -0.0156567 ] in the cif file.,mp-1080713_processed.cif
input_cifs\mp-1094804.cif,Move the atom at index 10 by [-1.49681858  1.94899848 -0.72834896] in the cif file.,mp-1094804_processed.cif
input_cifs\mp-1095083.cif,Move the atom at index 2 by [-0.7721368   0.49544153 -0.27016143] in the cif file.,mp-1095083_processed.cif
input_cifs\mp-1095476.cif,Move the atom at index 9 by [-0.80019766  2.23772102 -2.50907649] in the cif file.,mp-1095476_processed.cif
input_cifs\mp-1095575.cif,Move the atom at index 8 by [-1.81761343 -0.55202174 -2.33507832] in the cif file.,mp-1095575_processed.cif
input_cifs\mp-1095585.cif,Move the atom at index 8 by [ 3.4376419   2.60993206 -1.46576669] in the cif file.,mp-1095585_processed.cif
input_cifs\mp-1095643.cif,Move the atom at index 11 by [ 0.50884406 -1.92809955  2.32496784] in the cif file.,mp-1095643_processed.cif
input_cifs\mp-1095675.cif,Move the atom at index 11 by [-1.04368492  0.35311609  1.53466109] in the cif file.,mp-1095675_processed.cif
input_cifs\mp-1095677.cif,Move the atom at index 9 by [-0.05946042 -3.27695345  0.05943826] in the cif file.,mp-1095677_processed.cif
input_cifs\mp-1096913.cif,Move the atom at index 4 by [ 2.99848128  2.68192629 -3.49455409] in the cif file.,mp-1096913_processed.cif
input_cifs\mp-1099100.cif,Move the atom at index 8 by [-0.44723763  0.42564978  1.13592182] in the cif file.,mp-1099100_processed.cif
input_cifs\mp-1100340.cif,Move the atom at index 17 by [ 2.46525404 -2.88179916  3.7103105 ] in the cif file.,mp-1100340_processed.cif
input_cifs\mp-1100512.cif,Move the atom at index 22 by [ 0.653481   -1.00943568 -0.6953964 ] in the cif file.,mp-1100512_processed.cif
input_cifs\mp-1100602.cif,Move the atom at index 31 by [-2.36723671  3.04125535  0.25834371] in the cif file.,mp-1100602_processed.cif
input_cifs\mp-1100645.cif,Move the atom at index 24 by [ 0.98897025 -4.32917524 -0.53310555] in the cif file.,mp-1100645_processed.cif
input_cifs\mp-1100655.cif,Move the atom at index 6 by [1.91781329 0.8025146  0.73821448] in the cif file.,mp-1100655_processed.cif
input_cifs\mp-1100709.cif,Move the atom at index 3 by [-1.07382774 -1.03291609 -0.67981104] in the cif file.,mp-1100709_processed.cif
input_cifs\mp-1100895.cif,Move the atom at index 31 by [-2.20536295 -0.10619086 -0.42875805] in the cif file.,mp-1100895_processed.cif
input_cifs\mp-1101365.cif,Move the atom at index 40 by [ 1.67690049  0.97860473 -0.7044689 ] in the cif file.,mp-1101365_processed.cif
input_cifs\mp-1101490.cif,Move the atom at index 26 by [-1.87080184 -1.31733062  0.9440368 ] in the cif file.,mp-1101490_processed.cif
input_cifs\mp-1101729.cif,Move the atom at index 49 by [-2.86623453  0.74663305 -2.76572049] in the cif file.,mp-1101729_processed.cif
input_cifs\mp-1101899.cif,Move the atom at index 2 by [2.0769927  0.18929824 2.0999521 ] in the cif file.,mp-1101899_processed.cif
input_cifs\mp-1102433.cif,Move the atom at index 10 by [2.06341171 0.25339692 2.69813177] in the cif file.,mp-1102433_processed.cif
input_cifs\mp-1102534.cif,Move the atom at index 4 by [-0.20139041 -1.75014524 -0.56504051] in the cif file.,mp-1102534_processed.cif
input_cifs\mp-1102795.cif,Move the atom at index 4 by [ 0.54957082  3.21526678 -0.43973943] in the cif file.,mp-1102795_processed.cif
input_cifs\mp-1102865.cif,Move the atom at index 7 by [2.40942933 1.82873146 2.10066497] in the cif file.,mp-1102865_processed.cif
input_cifs\mp-1102948.cif,Move the atom at index 4 by [1.90925736 2.91304624 0.1893409 ] in the cif file.,mp-1102948_processed.cif
input_cifs\mp-1102963.cif,Move the atom at index 5 by [-0.63155224 -2.02974428 -0.08093723] in the cif file.,mp-1102963_processed.cif
input_cifs\mp-1103212.cif,Move the atom at index 1 by [-2.26057751 -1.49822258  1.71922144] in the cif file.,mp-1103212_processed.cif
input_cifs\mp-1103303.cif,Move the atom at index 9 by [ 0.35551588 -0.59421691 -1.94408569] in the cif file.,mp-1103303_processed.cif
input_cifs\mp-1103651.cif,Move the atom at index 11 by [-0.10373632 -0.44723055 -3.76448595] in the cif file.,mp-1103651_processed.cif
input_cifs\mp-1104386.cif,Move the atom at index 9 by [ 1.04094024  2.04216903 -1.64261254] in the cif file.,mp-1104386_processed.cif
input_cifs\mp-1104404.cif,Move the atom at index 4 by [-3.09340499 -0.13157735 -1.48821717] in the cif file.,mp-1104404_processed.cif
input_cifs\mp-1104448.cif,Move the atom at index 1 by [0.40426902 2.39399062 2.59729105] in the cif file.,mp-1104448_processed.cif
input_cifs\mp-1105372.cif,Move the atom at index 8 by [-1.35206639 -0.44573116 -0.12550359] in the cif file.,mp-1105372_processed.cif
input_cifs\mp-1105581.cif,Move the atom at index 3 by [-0.43336156  1.73261388  1.1823324 ] in the cif file.,mp-1105581_processed.cif
input_cifs\mp-1105587.cif,Move the atom at index 16 by [1.29114963 0.19995014 0.97768332] in the cif file.,mp-1105587_processed.cif
input_cifs\mp-1105631.cif,Move the atom at index 9 by [-2.25957104 -2.92365201  1.05122141] in the cif file.,mp-1105631_processed.cif
input_cifs\mp-1105736.cif,Move the atom at index 16 by [ 0.18716682 -0.71282757  0.94216675] in the cif file.,mp-1105736_processed.cif
input_cifs\mp-1105952.cif,Move the atom at index 4 by [ 1.99397987  3.60989513 -1.84194037] in the cif file.,mp-1105952_processed.cif
input_cifs\mp-1105985.cif,Move the atom at index 17 by [ 2.70732325 -1.31868328  3.13940147] in the cif file.,mp-1105985_processed.cif
input_cifs\mp-1106159.cif,Move the atom at index 4 by [ 0.83641889 -1.43141128  3.22383566] in the cif file.,mp-1106159_processed.cif
input_cifs\mp-1110626.cif,Move the atom at index 7 by [-0.58026594  0.97905063 -0.47316703] in the cif file.,mp-1110626_processed.cif
input_cifs\mp-1110754.cif,Move the atom at index 2 by [ 0.21812092 -5.3374364  -0.11963   ] in the cif file.,mp-1110754_processed.cif
input_cifs\mp-1111211.cif,Move the atom at index 1 by [-1.75064423 -5.94033657 -0.40889264] in the cif file.,mp-1111211_processed.cif
input_cifs\mp-1111610.cif,Move the atom at index 3 by [-1.66404092  1.28195138 -0.08551746] in the cif file.,mp-1111610_processed.cif
input_cifs\mp-1111940.cif,Move the atom at index 3 by [ 4.94733352 -2.15964054  3.58813588] in the cif file.,mp-1111940_processed.cif
input_cifs\mp-1112257.cif,Move the atom at index 8 by [-0.17729858  2.00310642  1.5936425 ] in the cif file.,mp-1112257_processed.cif
input_cifs\mp-1112416.cif,Move the atom at index 4 by [ 2.7881826   0.89296356 -0.57687604] in the cif file.,mp-1112416_processed.cif
input_cifs\mp-11143.cif,Move the atom at index 8 by [-1.21462158 -0.17499943 -0.6356847 ] in the cif file.,mp-11143_processed.cif
input_cifs\mp-11145.cif,Move the atom at index 25 by [ 2.60121251 -0.18004231 -1.93330406] in the cif file.,mp-11145_processed.cif
input_cifs\mp-1120749.cif,Move the atom at index 6 by [-2.22434741e-03 -1.49957399e+00 -3.52700201e+00] in the cif file.,mp-1120749_processed.cif
input_cifs\mp-11250.cif,Move the atom at index 11 by [-0.49304192  0.50173881 -1.3751118 ] in the cif file.,mp-11250_processed.cif
input_cifs\mp-1157680.cif,Move the atom at index 1 by [-0.01021154 -2.93301103 -0.76890092] in the cif file.,mp-1157680_processed.cif
