input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Add Pb at [3.00948843 1.94435874 8.30211934] to the cif file.,output_cifs\add_atom_action\mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Add K at [0.32211455 1.68040861 2.26580273] to the cif file.,output_cifs\add_atom_action\mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Add Re at [3.41792324 5.95173295 6.69763224] to the cif file.,output_cifs\add_atom_action\mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Add Md at [4.8177309  5.52987792 9.45974475] to the cif file.,output_cifs\add_atom_action\mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Add Ba at [8.94910787 3.99789434 7.00665746] to the cif file.,output_cifs\add_atom_action\mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Add Ge at [ 5.8283826  -0.68581926  2.46921711] to the cif file.,output_cifs\add_atom_action\mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Add Am at [4.22630527 3.13239134 4.06977501] to the cif file.,output_cifs\add_atom_action\mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Add Ra at [2.88052885 1.20000889 5.26541856] to the cif file.,output_cifs\add_atom_action\mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Add C at [4.8228651  0.71072346 0.08627828] to the cif file.,output_cifs\add_atom_action\mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Add Pm at [1.03416648 3.28672593 7.46252584] to the cif file.,output_cifs\add_atom_action\mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Add I at [4.02371242 0.38279411 4.25827936] to the cif file.,output_cifs\add_atom_action\mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Add U at [0.11303022 3.82187652 0.10951987] to the cif file.,output_cifs\add_atom_action\mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Add Cf at [1.2752339  1.83169282 8.88449259] to the cif file.,output_cifs\add_atom_action\mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Add Hf at [0.61737111 0.89617941 2.52706241] to the cif file.,output_cifs\add_atom_action\mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Add Ts at [4.7198093  2.59533895 9.67221337] to the cif file.,output_cifs\add_atom_action\mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Add Cr at [-0.94830748  4.60443116  2.88129185] to the cif file.,output_cifs\add_atom_action\mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Add F at [ 0.07205557  1.58865608 25.27645624] to the cif file.,output_cifs\add_atom_action\mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Add Rb at [ 1.58246739  1.9681045  38.75056956] to the cif file.,output_cifs\add_atom_action\mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Add Os at [2.04472681 2.82951596 6.56892565] to the cif file.,output_cifs\add_atom_action\mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Add Cf at [0.5617731  4.19030894 0.13698643] to the cif file.,output_cifs\add_atom_action\mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Add Pd at [2.7641162  4.00764224 3.85859862] to the cif file.,output_cifs\add_atom_action\mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Add Es at [0.51102918 4.12338436 3.54942031] to the cif file.,output_cifs\add_atom_action\mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Add Og at [4.28312262 2.26387836 7.83244904] to the cif file.,output_cifs\add_atom_action\mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Add Al at [2.57636773 4.94105724 2.95272216] to the cif file.,output_cifs\add_atom_action\mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Add In at [-0.2558288   4.80018764  2.44414235] to the cif file.,output_cifs\add_atom_action\mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Add Cl at [2.01198634 1.13415729 3.20197911] to the cif file.,output_cifs\add_atom_action\mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Add Sr at [ 2.00825272  0.19695349 18.10653093] to the cif file.,output_cifs\add_atom_action\mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Add Ge at [-0.16011719  0.88959901 21.25649565] to the cif file.,output_cifs\add_atom_action\mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Add Sc at [0.98581218 4.59906387 0.30168265] to the cif file.,output_cifs\add_atom_action\mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Add In at [7.43810861 3.09745876 0.40434221] to the cif file.,output_cifs\add_atom_action\mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Add No at [3.43943338 1.15560775 3.46312291] to the cif file.,output_cifs\add_atom_action\mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Add Kr at [1.37709089 2.42299331 2.84004198] to the cif file.,output_cifs\add_atom_action\mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Add Tb at [0.71447474 3.96018881 2.74655188] to the cif file.,output_cifs\add_atom_action\mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Add Zn at [5.41210289 6.5382312  0.68064423] to the cif file.,output_cifs\add_atom_action\mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Add Na at [4.9157989  3.96137851 3.63490395] to the cif file.,output_cifs\add_atom_action\mp-1035800_processed.cif
