input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Change atom at index 29 to Pa in the cif file.,output_cifs\change_atom_action\mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Change atom at index 1 to Cn in the cif file.,output_cifs\change_atom_action\mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Change atom at index 2 to Am in the cif file.,output_cifs\change_atom_action\mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Change atom at index 1 to B in the cif file.,output_cifs\change_atom_action\mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Change atom at index 4 to Cu in the cif file.,output_cifs\change_atom_action\mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Change atom at index 15 to Og in the cif file.,output_cifs\change_atom_action\mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Change atom at index 2 to No in the cif file.,output_cifs\change_atom_action\mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Change atom at index 13 to Se in the cif file.,output_cifs\change_atom_action\mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Change atom at index 5 to Pr in the cif file.,output_cifs\change_atom_action\mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Change atom at index 4 to Pm in the cif file.,output_cifs\change_atom_action\mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Change atom at index 14 to Na in the cif file.,output_cifs\change_atom_action\mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Change atom at index 13 to Ds in the cif file.,output_cifs\change_atom_action\mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Change atom at index 4 to Os in the cif file.,output_cifs\change_atom_action\mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Change atom at index 11 to Am in the cif file.,output_cifs\change_atom_action\mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Change atom at index 7 to P in the cif file.,output_cifs\change_atom_action\mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Change atom at index 8 to Rg in the cif file.,output_cifs\change_atom_action\mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Change atom at index 11 to Cr in the cif file.,output_cifs\change_atom_action\mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Change atom at index 10 to Tl in the cif file.,output_cifs\change_atom_action\mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Change atom at index 1 to Mo in the cif file.,output_cifs\change_atom_action\mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Change atom at index 3 to Te in the cif file.,output_cifs\change_atom_action\mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Change atom at index 4 to Re in the cif file.,output_cifs\change_atom_action\mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Change atom at index 3 to Hs in the cif file.,output_cifs\change_atom_action\mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Change atom at index 1 to V in the cif file.,output_cifs\change_atom_action\mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Change atom at index 8 to Cu in the cif file.,output_cifs\change_atom_action\mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Change atom at index 12 to Fr in the cif file.,output_cifs\change_atom_action\mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Change atom at index 8 to Bh in the cif file.,output_cifs\change_atom_action\mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Change atom at index 11 to Bk in the cif file.,output_cifs\change_atom_action\mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Change atom at index 9 to Ra in the cif file.,output_cifs\change_atom_action\mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Change atom at index 5 to H in the cif file.,output_cifs\change_atom_action\mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Change atom at index 10 to Ga in the cif file.,output_cifs\change_atom_action\mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Change atom at index 9 to Kr in the cif file.,output_cifs\change_atom_action\mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Change atom at index 8 to Cl in the cif file.,output_cifs\change_atom_action\mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Change atom at index 16 to Gd in the cif file.,output_cifs\change_atom_action\mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Change atom at index 8 to Bk in the cif file.,output_cifs\change_atom_action\mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Change atom at index 20 to Zn in the cif file.,output_cifs\change_atom_action\mp-1035800_processed.cif
input_cifs\mp-1037450.cif,Change atom at index 0 to Ti in the cif file.,output_cifs\change_atom_action\mp-1037450_processed.cif
input_cifs\mp-1038247.cif,Change atom at index 49 to Fr in the cif file.,output_cifs\change_atom_action\mp-1038247_processed.cif
input_cifs\mp-1038590.cif,Change atom at index 2 to Bi in the cif file.,output_cifs\change_atom_action\mp-1038590_processed.cif
input_cifs\mp-1038638.cif,Change atom at index 54 to H in the cif file.,output_cifs\change_atom_action\mp-1038638_processed.cif
input_cifs\mp-1039951.cif,Change atom at index 5 to Nb in the cif file.,output_cifs\change_atom_action\mp-1039951_processed.cif
input_cifs\mp-1040370.cif,Change atom at index 32 to Hg in the cif file.,output_cifs\change_atom_action\mp-1040370_processed.cif
input_cifs\mp-1041045.cif,Change atom at index 15 to Fe in the cif file.,output_cifs\change_atom_action\mp-1041045_processed.cif
input_cifs\mp-1041056.cif,Change atom at index 34 to Yb in the cif file.,output_cifs\change_atom_action\mp-1041056_processed.cif
input_cifs\mp-1041213.cif,Change atom at index 16 to Yb in the cif file.,output_cifs\change_atom_action\mp-1041213_processed.cif
input_cifs\mp-1042028.cif,Change atom at index 1 to Pb in the cif file.,output_cifs\change_atom_action\mp-1042028_processed.cif
input_cifs\mp-1042158.cif,Change atom at index 5 to Rg in the cif file.,output_cifs\change_atom_action\mp-1042158_processed.cif
