input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Move atom at index 64 by [ 0.29787301 -1.52335959 -0.91117773] in the cif file.,output_cifs\move_atom_action\mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Move atom at index 3 by [-0.74158975  2.6751866   1.88903357] in the cif file.,output_cifs\move_atom_action\mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Move atom at index 4 by [ 0.00653703  0.855857   -2.04616835] in the cif file.,output_cifs\move_atom_action\mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Move atom at index 5 by [ 1.87674456 -1.17268414  1.17351553] in the cif file.,output_cifs\move_atom_action\mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Move atom at index 14 by [0.54664312 3.44462387 0.95988435] in the cif file.,output_cifs\move_atom_action\mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Move atom at index 16 by [-1.57009786 -0.91558779  4.98510503] in the cif file.,output_cifs\move_atom_action\mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Move atom at index 11 by [-2.12059925  2.58547159  0.15621401] in the cif file.,output_cifs\move_atom_action\mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Move atom at index 6 by [-0.83682019  2.46471692 -1.86409553] in the cif file.,output_cifs\move_atom_action\mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Move atom at index 9 by [2.84588941 1.27754959 1.50145105] in the cif file.,output_cifs\move_atom_action\mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Move atom at index 10 by [ 0.14283524  0.42458447 -1.91419279] in the cif file.,output_cifs\move_atom_action\mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Move atom at index 11 by [-0.67286599  0.56745795 -1.03087838] in the cif file.,output_cifs\move_atom_action\mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Move atom at index 9 by [-0.17173021  0.45445137 -0.33322553] in the cif file.,output_cifs\move_atom_action\mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Move atom at index 10 by [2.37228042 0.52853434 3.55077199] in the cif file.,output_cifs\move_atom_action\mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Move atom at index 2 by [-0.77023351  2.23051299  3.06626439] in the cif file.,output_cifs\move_atom_action\mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Move atom at index 7 by [-2.72299945  1.67899017 -2.89700293] in the cif file.,output_cifs\move_atom_action\mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Move atom at index 7 by [-2.07230774 -1.67492639  0.82734022] in the cif file.,output_cifs\move_atom_action\mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Move atom at index 7 by [3.32324315 3.9224301  0.37353788] in the cif file.,output_cifs\move_atom_action\mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Move atom at index 6 by [-1.17781402 -0.27654401 -3.51623765] in the cif file.,output_cifs\move_atom_action\mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Move atom at index 15 by [-0.74942498 -2.13300044  1.0538521 ] in the cif file.,output_cifs\move_atom_action\mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Move atom at index 15 by [-1.55611804 -0.39318152 -2.36276297] in the cif file.,output_cifs\move_atom_action\mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Move atom at index 7 by [-0.41247333 -2.3769499   1.76553255] in the cif file.,output_cifs\move_atom_action\mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Move atom at index 6 by [ 2.62183068 -0.07982591 -0.9719207 ] in the cif file.,output_cifs\move_atom_action\mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Move atom at index 9 by [-1.56586459  2.5851923  -0.64777184] in the cif file.,output_cifs\move_atom_action\mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Move atom at index 6 by [0.77356446 1.9124706  0.96829375] in the cif file.,output_cifs\move_atom_action\mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Move atom at index 12 by [-2.21086704  1.94493631 -2.59889988] in the cif file.,output_cifs\move_atom_action\mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Move atom at index 6 by [-1.68249873 -0.01844662  1.22244441] in the cif file.,output_cifs\move_atom_action\mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Move atom at index 9 by [-0.59876269 -1.27607399 -3.5093177 ] in the cif file.,output_cifs\move_atom_action\mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Move atom at index 2 by [-0.58043866 -1.77735547  1.9194646 ] in the cif file.,output_cifs\move_atom_action\mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Move atom at index 7 by [-1.09793708 -2.83904887  0.35164116] in the cif file.,output_cifs\move_atom_action\mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Move atom at index 3 by [ 2.13465046  1.41679319 -3.12419509] in the cif file.,output_cifs\move_atom_action\mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Move atom at index 1 by [-0.6284068   1.75704244  0.24894593] in the cif file.,output_cifs\move_atom_action\mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Move atom at index 4 by [ 3.02214843 -1.19466173  0.3972412 ] in the cif file.,output_cifs\move_atom_action\mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Move atom at index 3 by [ 2.7618163  -2.67286139 -0.98658759] in the cif file.,output_cifs\move_atom_action\mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Move atom at index 16 by [-0.73182834 -1.56833286  4.38188292] in the cif file.,output_cifs\move_atom_action\mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Move atom at index 0 by [ 2.48427896e+00  1.01029570e+00 -1.92238391e-03] in the cif file.,output_cifs\move_atom_action\mp-1035800_processed.cif
input_cifs\mp-1037450.cif,Move atom at index 51 by [-3.38670652 -1.44659324  0.44943684] in the cif file.,output_cifs\move_atom_action\mp-1037450_processed.cif
input_cifs\mp-1038247.cif,Move atom at index 22 by [ 2.72478562 -2.47183143  0.98390528] in the cif file.,output_cifs\move_atom_action\mp-1038247_processed.cif
input_cifs\mp-1038590.cif,Move atom at index 59 by [-1.69287834  1.48278367  1.59190158] in the cif file.,output_cifs\move_atom_action\mp-1038590_processed.cif
