input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Rotate  all surrounding atoms within 3.9966968395961073 of the center atom at index 5 by 5.843512567336223 radians around the axis [0. 0. 1.] in the cif file.,mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Rotate  all surrounding atoms within 3.0615524075236875 of the center atom at index 2 by 3.3471718980551297 radians around the axis [0. 1. 0.] in the cif file.,mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Rotate  all surrounding atoms within 2.337339775261401 of the center atom at index 1 by 2.2683248240438942 radians around the axis [1. 0. 0.] in the cif file.,mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Rotate  all surrounding atoms within 2.2097055146492344 of the center atom at index 2 by 4.261743105729452 radians around the axis [0. 1. 0.] in the cif file.,mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Rotate  all surrounding atoms within 3.2074258982613433 of the center atom at index 30 by 2.628538809148285 radians around the axis [1. 0. 0.] in the cif file.,mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Rotate  all surrounding atoms within 1.8492304027379303 of the center atom at index 54 by 2.9333971372589955 radians around the axis [0. 1. 0.] in the cif file.,mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Rotate  all surrounding atoms within 2.204821206621007 of the center atom at index 8 by 0.7405900573528988 radians around the axis [1. 0. 0.] in the cif file.,mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Rotate  all surrounding atoms within 3.959289210186831 of the center atom at index 11 by 4.948426303187636 radians around the axis [1. 0. 0.] in the cif file.,mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Rotate  all surrounding atoms within 3.4000841782916447 of the center atom at index 7 by 2.9164265830581084 radians around the axis [1. 0. 0.] in the cif file.,mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Rotate  all surrounding atoms within 2.2372401022598414 of the center atom at index 10 by 5.014336675676013 radians around the axis [1. 0. 0.] in the cif file.,mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Rotate  all surrounding atoms within 3.409956981353472 of the center atom at index 14 by 2.525148623265664 radians around the axis [0. 0. 1.] in the cif file.,mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Rotate  all surrounding atoms within 2.181304173831374 of the center atom at index 10 by 1.287914976594693 radians around the axis [0. 1. 0.] in the cif file.,mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Rotate  all surrounding atoms within 3.1365203892337448 of the center atom at index 3 by 4.978071514985114 radians around the axis [0. 1. 0.] in the cif file.,mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Rotate  all surrounding atoms within 1.8323817810387075 of the center atom at index 6 by 3.9533768208639364 radians around the axis [0. 0. 1.] in the cif file.,mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Rotate  all surrounding atoms within 3.6803231588763814 of the center atom at index 1 by 2.4407697452957153 radians around the axis [1. 0. 0.] in the cif file.,mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Rotate  all surrounding atoms within 2.089522917895338 of the center atom at index 7 by 4.841429377602086 radians around the axis [1. 0. 0.] in the cif file.,mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Rotate  all surrounding atoms within 3.574009472211828 of the center atom at index 4 by 4.365260698490399 radians around the axis [0. 0. 1.] in the cif file.,mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Rotate  all surrounding atoms within 2.466190499205031 of the center atom at index 5 by 2.4482591689912203 radians around the axis [0. 1. 0.] in the cif file.,mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Rotate  all surrounding atoms within 3.578832487978661 of the center atom at index 1 by 2.008755619338338 radians around the axis [1. 0. 0.] in the cif file.,mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Rotate  all surrounding atoms within 1.7161677432055564 of the center atom at index 0 by 5.82590830175317 radians around the axis [0. 1. 0.] in the cif file.,mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Rotate  all surrounding atoms within 3.615260126669493 of the center atom at index 0 by 5.164522945058414 radians around the axis [1. 0. 0.] in the cif file.,mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Rotate  all surrounding atoms within 1.7228348679202508 of the center atom at index 1 by 0.9783661871845482 radians around the axis [0. 1. 0.] in the cif file.,mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Rotate  all surrounding atoms within 3.7468434133129502 of the center atom at index 6 by 4.038453717013933 radians around the axis [0. 1. 0.] in the cif file.,mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Rotate  all surrounding atoms within 2.000053344066589 of the center atom at index 7 by 3.7342687586436667 radians around the axis [0. 0. 1.] in the cif file.,mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Rotate  all surrounding atoms within 3.5443811824943174 of the center atom at index 14 by 3.2229951920690185 radians around the axis [0. 1. 0.] in the cif file.,mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Rotate  all surrounding atoms within 2.12384300068693 of the center atom at index 5 by 1.5521545146282874 radians around the axis [1. 0. 0.] in the cif file.,mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Rotate  all surrounding atoms within 1.7172852197840314 of the center atom at index 10 by 2.5571411574386866 radians around the axis [0. 0. 1.] in the cif file.,mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Rotate  all surrounding atoms within 3.874472269735305 of the center atom at index 4 by 1.034377230115164 radians around the axis [0. 0. 1.] in the cif file.,mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Rotate  all surrounding atoms within 1.5365336341347953 of the center atom at index 1 by 0.502639708716782 radians around the axis [1. 0. 0.] in the cif file.,mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Rotate  all surrounding atoms within 3.262395990362247 of the center atom at index 10 by 3.467983747140767 radians around the axis [0. 0. 1.] in the cif file.,mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Rotate  all surrounding atoms within 1.7134023167165988 of the center atom at index 4 by 2.037756570706121 radians around the axis [1. 0. 0.] in the cif file.,mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Rotate  all surrounding atoms within 3.485022168703389 of the center atom at index 0 by 3.0875584014643174 radians around the axis [1. 0. 0.] in the cif file.,mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Rotate  all surrounding atoms within 1.6487272062738485 of the center atom at index 26 by 1.570697572949384 radians around the axis [0. 1. 0.] in the cif file.,mp-1034355_processed.cif
