input_cif,action_prompt,output_cif
input_cifs\mp-1013842.cif,Swap atoms at indices 18 and 62 in the cif file.,mp-1013842_processed.cif
input_cifs\mp-1015026.cif,Swap atoms at indices 6 and 2 in the cif file.,mp-1015026_processed.cif
input_cifs\mp-1016569.cif,Swap atoms at indices 5 and 12 in the cif file.,mp-1016569_processed.cif
input_cifs\mp-1016660.cif,Swap atoms at indices 1 and 9 in the cif file.,mp-1016660_processed.cif
input_cifs\mp-1020181.cif,Swap atoms at indices 13 and 39 in the cif file.,mp-1020181_processed.cif
input_cifs\mp-1020716.cif,Swap atoms at indices 23 and 5 in the cif file.,mp-1020716_processed.cif
input_cifs\mp-1021278.cif,Swap atoms at indices 6 and 14 in the cif file.,mp-1021278_processed.cif
input_cifs\mp-1021658.cif,Swap atoms at indices 13 and 11 in the cif file.,mp-1021658_processed.cif
input_cifs\mp-1021682.cif,Swap atoms at indices 0 and 3 in the cif file.,mp-1021682_processed.cif
input_cifs\mp-1022203.cif,Swap atoms at indices 15 and 3 in the cif file.,mp-1022203_processed.cif
input_cifs\mp-1026634.cif,Swap atoms at indices 15 and 12 in the cif file.,mp-1026634_processed.cif
input_cifs\mp-1026773.cif,Swap atoms at indices 0 and 3 in the cif file.,mp-1026773_processed.cif
input_cifs\mp-1026775.cif,Swap atoms at indices 6 and 15 in the cif file.,mp-1026775_processed.cif
input_cifs\mp-1026818.cif,Swap atoms at indices 1 and 2 in the cif file.,mp-1026818_processed.cif
input_cifs\mp-1026852.cif,Swap atoms at indices 1 and 3 in the cif file.,mp-1026852_processed.cif
input_cifs\mp-1026901.cif,Swap atoms at indices 14 and 8 in the cif file.,mp-1026901_processed.cif
input_cifs\mp-1027134.cif,Swap atoms at indices 9 and 0 in the cif file.,mp-1027134_processed.cif
input_cifs\mp-1027152.cif,Swap atoms at indices 9 and 11 in the cif file.,mp-1027152_processed.cif
input_cifs\mp-1027852.cif,Swap atoms at indices 15 and 1 in the cif file.,mp-1027852_processed.cif
input_cifs\mp-1027965.cif,Swap atoms at indices 10 and 15 in the cif file.,mp-1027965_processed.cif
input_cifs\mp-1027971.cif,Swap atoms at indices 7 and 0 in the cif file.,mp-1027971_processed.cif
input_cifs\mp-1028124.cif,Swap atoms at indices 2 and 15 in the cif file.,mp-1028124_processed.cif
input_cifs\mp-1028136.cif,Swap atoms at indices 15 and 9 in the cif file.,mp-1028136_processed.cif
input_cifs\mp-1028229.cif,Swap atoms at indices 3 and 14 in the cif file.,mp-1028229_processed.cif
input_cifs\mp-1028374.cif,Swap atoms at indices 13 and 0 in the cif file.,mp-1028374_processed.cif
input_cifs\mp-1028383.cif,Swap atoms at indices 14 and 7 in the cif file.,mp-1028383_processed.cif
input_cifs\mp-1028854.cif,Swap atoms at indices 6 and 3 in the cif file.,mp-1028854_processed.cif
input_cifs\mp-1029113.cif,Swap atoms at indices 2 and 6 in the cif file.,mp-1029113_processed.cif
input_cifs\mp-1029368.cif,Swap atoms at indices 7 and 2 in the cif file.,mp-1029368_processed.cif
input_cifs\mp-1031131.cif,Swap atoms at indices 4 and 10 in the cif file.,mp-1031131_processed.cif
input_cifs\mp-1032360.cif,Swap atoms at indices 7 and 3 in the cif file.,mp-1032360_processed.cif
input_cifs\mp-1033383.cif,Swap atoms at indices 10 and 7 in the cif file.,mp-1033383_processed.cif
input_cifs\mp-1034355.cif,Swap atoms at indices 13 and 30 in the cif file.,mp-1034355_processed.cif
input_cifs\mp-1035597.cif,Swap atoms at indices 14 and 23 in the cif file.,mp-1035597_processed.cif
input_cifs\mp-1035800.cif,Swap atoms at indices 23 and 10 in the cif file.,mp-1035800_processed.cif
input_cifs\mp-1037450.cif,Swap atoms at indices 25 and 55 in the cif file.,mp-1037450_processed.cif
input_cifs\mp-1038247.cif,Swap atoms at indices 50 and 24 in the cif file.,mp-1038247_processed.cif
input_cifs\mp-1038590.cif,Swap atoms at indices 6 and 35 in the cif file.,mp-1038590_processed.cif
input_cifs\mp-1038638.cif,Swap atoms at indices 42 and 10 in the cif file.,mp-1038638_processed.cif
input_cifs\mp-1039951.cif,Swap atoms at indices 45 and 16 in the cif file.,mp-1039951_processed.cif
input_cifs\mp-1040370.cif,Swap atoms at indices 31 and 22 in the cif file.,mp-1040370_processed.cif
input_cifs\mp-1041045.cif,Swap atoms at indices 5 and 35 in the cif file.,mp-1041045_processed.cif
input_cifs\mp-1041056.cif,Swap atoms at indices 28 and 14 in the cif file.,mp-1041056_processed.cif
input_cifs\mp-1041213.cif,Swap atoms at indices 7 and 18 in the cif file.,mp-1041213_processed.cif
input_cifs\mp-1042028.cif,Swap atoms at indices 8 and 5 in the cif file.,mp-1042028_processed.cif
input_cifs\mp-1042158.cif,Swap atoms at indices 2 and 12 in the cif file.,mp-1042158_processed.cif
input_cifs\mp-1042205.cif,Swap atoms at indices 5 and 8 in the cif file.,mp-1042205_processed.cif
input_cifs\mp-1042378.cif,Swap atoms at indices 13 and 37 in the cif file.,mp-1042378_processed.cif
input_cifs\mp-1042415.cif,Swap atoms at indices 51 and 5 in the cif file.,mp-1042415_processed.cif
input_cifs\mp-1042656.cif,Swap atoms at indices 4 and 6 in the cif file.,mp-1042656_processed.cif
input_cifs\mp-1042677.cif,Swap atoms at indices 3 and 15 in the cif file.,mp-1042677_processed.cif
input_cifs\mp-1042685.cif,Swap atoms at indices 48 and 25 in the cif file.,mp-1042685_processed.cif
input_cifs\mp-1042896.cif,Swap atoms at indices 12 and 3 in the cif file.,mp-1042896_processed.cif
input_cifs\mp-1043828.cif,Swap atoms at indices 23 and 9 in the cif file.,mp-1043828_processed.cif
input_cifs\mp-1044049.cif,Swap atoms at indices 15 and 43 in the cif file.,mp-1044049_processed.cif
input_cifs\mp-1044636.cif,Swap atoms at indices 46 and 20 in the cif file.,mp-1044636_processed.cif
input_cifs\mp-1045786.cif,Swap atoms at indices 8 and 18 in the cif file.,mp-1045786_processed.cif
input_cifs\mp-1045992.cif,Swap atoms at indices 3 and 9 in the cif file.,mp-1045992_processed.cif
input_cifs\mp-1046286.cif,Swap atoms at indices 7 and 19 in the cif file.,mp-1046286_processed.cif
input_cifs\mp-1047007.cif,Swap atoms at indices 3 and 9 in the cif file.,mp-1047007_processed.cif
input_cifs\mp-1047085.cif,Swap atoms at indices 13 and 4 in the cif file.,mp-1047085_processed.cif
input_cifs\mp-1047504.cif,Swap atoms at indices 3 and 2 in the cif file.,mp-1047504_processed.cif
input_cifs\mp-1047641.cif,Swap atoms at indices 0 and 7 in the cif file.,mp-1047641_processed.cif
input_cifs\mp-1047798.cif,Swap atoms at indices 5 and 16 in the cif file.,mp-1047798_processed.cif
input_cifs\mp-1048141.cif,Swap atoms at indices 22 and 1 in the cif file.,mp-1048141_processed.cif
input_cifs\mp-1048241.cif,Swap atoms at indices 10 and 25 in the cif file.,mp-1048241_processed.cif
input_cifs\mp-1048742.cif,Swap atoms at indices 10 and 25 in the cif file.,mp-1048742_processed.cif
input_cifs\mp-1048819.cif,Swap atoms at indices 23 and 1 in the cif file.,mp-1048819_processed.cif
input_cifs\mp-10543.cif,Swap atoms at indices 0 and 7 in the cif file.,mp-10543_processed.cif
input_cifs\mp-1073454.cif,Swap atoms at indices 6 and 20 in the cif file.,mp-1073454_processed.cif
input_cifs\mp-1073857.cif,Swap atoms at indices 8 and 2 in the cif file.,mp-1073857_processed.cif
